stat	value
thetaS_last_obs_p_mean	0.9685055
thetaI_last_obs_p_mean	0.004327884
thetaR_last_obs_p_mean	0.0271666
thetaS_last_obs_p_ci_low	0.9677479
thetaS_last_obs_p_ci_med	0.968505
thetaS_last_obs_p_ci_up	0.9692693
thetaI_last_obs_p_ci_low	0.004045108
thetaI_last_obs_p_ci_med	0.004325539
thetaI_last_obs_p_ci_up	0.004622128
thetaR_last_obs_p_ci_low	0.02646254
thetaR_last_obs_p_ci_med	0.02716717
thetaR_last_obs_p_ci_up	0.02787355
R0_p_mean	1.595921
R0_p_ci_low	1.267204
R0_p_ci_med	1.540801
R0_p_ci_up	2.257464
gamma_p_mean	0.07419094
gamma_p_ci_low	0.03189607
gamma_p_ci_med	0.07385508
gamma_p_ci_up	0.1189391
beta_p_mean	0.1140638
beta_p_ci_low	0.06597665
beta_p_ci_med	0.1138837
beta_p_ci_up	0.1632154
incidence_mean	0.469603
incidence_ci_low	0.1968455
incidence_ci_median	0.4749129
incidence_ci_up	0.7136129
thetaI_tp1_mean	0.03995681
thetaI_tp1_ci_low	0.0119335
thetaI_tp1_ci_med	0.03625427
thetaI_tp1_ci_up	0.08931145
thetaR_tp1_mean	0.113027
thetaR_tp1_ci_low	0.05292078
thetaR_tp1_ci_med	0.1072987
thetaR_tp1_ci_up	0.2053603
Y_tp1_mean	0.03995779
Y_tp1_ci_low	0.01193354
Y_tp1_ci_med	0.0362653
Y_tp1_ci_up	0.08930176
R_tp1_mean	0.1130291
R_tp1_ci_low	0.05293505
R_tp1_ci_med	0.1073233
R_tp1_ci_up	0.2053965
thetaI_tp2_mean	0.06479247
thetaI_tp2_ci_low	0.01809054
thetaI_tp2_ci_med	0.05644805
thetaI_tp2_ci_up	0.1593956
thetaR_tp2_mean	0.2856081
thetaR_tp2_ci_low	0.1043718
thetaR_tp2_ci_med	0.2798556
thetaR_tp2_ci_up	0.4996306
Y_tp2_mean	0.06479315
Y_tp2_ci_low	0.01807606
Y_tp2_ci_med	0.05647792
Y_tp2_ci_up	0.1596421
R_tp2_mean	0.2856045
R_tp2_ci_low	0.1044501
R_tp2_ci_med	0.2798069
R_tp2_ci_up	0.4994638
thetaR_max_mean	0.4395134
thetaR_max_ci_low	0.180138
thetaR_max_ci_med	0.4460522
thetaR_max_ci_up	0.6662183
cumInf_mean	0.4879324
cumInf_ci_low	0.2162289
cumInf_ci_med	0.4928503
cumInf_ci_up	0.73357
dthetaI_tp1_date	07/29/21
first_tp_mean	07/27/21
first_tp_ci_low	05/02/21
first_tp_ci_med	07/31/21
first_tp_ci_up	09/18/21
dthetaI_tp2_date	09/12/21
second_tp_mean	08/30/21
second_tp_ci_low	05/08/21
second_tp_ci_med	09/07/21
second_tp_ci_up	10/18/21
end_p_mean	10/24/21
end_p_ci_low	10/24/21
end_p_ci_med	10/24/21
end_p_ci_up	10/24/21
begin_str	04/08/2021
