stat	value
thetaS_last_obs_p_mean	0.991608
thetaI_last_obs_p_mean	0.0004117111
thetaR_last_obs_p_mean	0.007980331
thetaS_last_obs_p_ci_low	0.9912004
thetaS_last_obs_p_ci_med	0.9916089
thetaS_last_obs_p_ci_up	0.9920096
thetaI_last_obs_p_ci_low	0.0003256797
thetaI_last_obs_p_ci_med	0.0004103169
thetaI_last_obs_p_ci_up	0.0005060472
thetaR_last_obs_p_ci_low	0.007589536
thetaR_last_obs_p_ci_med	0.00797945
thetaR_last_obs_p_ci_up	0.008379084
R0_p_mean	1.101721
R0_p_ci_low	0.757212
R0_p_ci_med	1.076016
R0_p_ci_up	1.613337
gamma_p_mean	0.08340047
gamma_p_ci_low	0.02487468
gamma_p_ci_med	0.08326169
gamma_p_ci_up	0.1434105
beta_p_mean	0.08969158
beta_p_ci_low	0.02926719
beta_p_ci_med	0.08916925
beta_p_ci_up	0.1540583
incidence_mean	0.02403222
incidence_ci_low	0.00203746
incidence_ci_median	0.008920871
incidence_ci_up	0.1503062
thetaI_tp1_mean	0.0009500756
thetaI_tp1_ci_low	0.0008332185
thetaI_tp1_ci_med	0.0009492955
thetaI_tp1_ci_up	0.001071719
thetaR_tp1_mean	0.00331001
thetaR_tp1_ci_low	0.003093284
thetaR_tp1_ci_med	0.003308768
thetaR_tp1_ci_up	0.003530948
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.01348277
R_tp1_ci_low	0.00512295
R_tp1_ci_med	0.01001026
R_tp1_ci_up	0.04401145
thetaI_tp2_mean	0.001537203
thetaI_tp2_ci_low	0.001388174
thetaI_tp2_ci_med	0.00153675
thetaI_tp2_ci_up	0.001689958
thetaR_tp2_mean	0.004730109
thetaR_tp2_ci_low	0.004471579
thetaR_tp2_ci_med	0.004729504
thetaR_tp2_ci_up	0.004993779
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.0247122
thetaR_max_ci_low	0.004000657
thetaR_max_ci_med	0.01370475
thetaR_max_ci_up	0.1233266
cumInf_mean	0.02823513
cumInf_ci_low	0.004025328
cumInf_ci_med	0.01415407
cumInf_ci_up	0.1527442
dthetaI_tp1_date	04/18/21
first_tp_mean	05/02/21
first_tp_ci_low	04/14/21
first_tp_ci_med	04/19/21
first_tp_ci_up	10/26/21
dthetaI_tp2_date	04/30/21
second_tp_mean	05/09/21
second_tp_ci_low	04/20/21
second_tp_ci_med	04/26/21
second_tp_ci_up	10/26/21
end_p_mean	09/20/21
end_p_ci_low	06/19/21
end_p_ci_med	10/26/21
end_p_ci_up	10/26/21
begin_str	04/10/2021
