stat	value
thetaS_last_obs_p_mean	0.9826967
thetaI_last_obs_p_mean	0.002423493
thetaR_last_obs_p_mean	0.01487986
thetaS_last_obs_p_ci_low	0.9821445
thetaS_last_obs_p_ci_med	0.982697
thetaS_last_obs_p_ci_up	0.983247
thetaI_last_obs_p_ci_low	0.00221883
thetaI_last_obs_p_ci_med	0.002421458
thetaI_last_obs_p_ci_up	0.002636858
thetaR_last_obs_p_ci_low	0.0143696
thetaR_last_obs_p_ci_med	0.01487975
thetaR_last_obs_p_ci_up	0.01539127
R0_p_mean	1.450823
R0_p_ci_low	1.158673
R0_p_ci_med	1.406136
R0_p_ci_up	2.016919
gamma_p_mean	0.08674483
gamma_p_ci_low	0.03601198
gamma_p_ci_med	0.08660853
gamma_p_ci_up	0.1387742
beta_p_mean	0.1218083
beta_p_ci_low	0.06485177
beta_p_ci_med	0.1219329
beta_p_ci_up	0.1783284
incidence_mean	0.354775
incidence_ci_low	0.07837397
incidence_ci_median	0.3550134
incidence_ci_up	0.647751
thetaI_tp1_mean	0.02675579
thetaI_tp1_ci_low	0.004691061
thetaI_tp1_ci_med	0.0224367
thetaI_tp1_ci_up	0.07368639
thetaR_tp1_mean	0.08630176
thetaR_tp1_ci_low	0.03036788
thetaR_tp1_ci_med	0.07762079
thetaR_tp1_ci_up	0.1914848
Y_tp1_mean	0.0267564
Y_tp1_ci_low	0.004680531
Y_tp1_ci_med	0.02242489
Y_tp1_ci_up	0.07375026
R_tp1_mean	0.08630278
R_tp1_ci_low	0.03034688
R_tp1_ci_med	0.07759764
R_tp1_ci_up	0.1915297
thetaI_tp2_mean	0.04404046
thetaI_tp2_ci_low	0.007037911
thetaI_tp2_ci_med	0.03671139
thetaI_tp2_ci_up	0.1249814
thetaR_tp2_mean	0.2343962
thetaR_tp2_ci_low	0.05430804
thetaR_tp2_ci_med	0.2202435
thetaR_tp2_ci_up	0.4906988
Y_tp2_mean	0.04404087
Y_tp2_ci_low	0.007039498
Y_tp2_ci_med	0.03670995
Y_tp2_ci_up	0.1249632
R_tp2_mean	0.2343914
R_tp2_ci_low	0.05437205
R_tp2_ci_med	0.2202324
R_tp2_ci_up	0.4906159
thetaR_max_mean	0.3241092
thetaR_max_ci_low	0.07460359
thetaR_max_ci_med	0.3213914
thetaR_max_ci_up	0.6000928
cumInf_mean	0.3628447
cumInf_ci_low	0.08784546
cumInf_ci_med	0.3625222
cumInf_ci_up	0.6564674
dthetaI_tp1_date	08/11/21
first_tp_mean	08/07/21
first_tp_ci_low	04/28/21
first_tp_ci_med	08/15/21
first_tp_ci_up	10/19/21
dthetaI_tp2_date	09/29/21
second_tp_mean	09/06/21
second_tp_ci_low	05/06/21
second_tp_ci_med	09/20/21
second_tp_ci_up	10/27/21
end_p_mean	10/27/21
end_p_ci_low	10/28/21
end_p_ci_med	10/28/21
end_p_ci_up	10/28/21
begin_str	04/12/2021
