date	value	lower_ci	upper_ci	incidence	scenario
2021-05-30	7882	7263	8526	NA	No intervention
2021-05-31	8117	7289	8981	235	No intervention
2021-06-01	8358	7350	9409	241	No intervention
2021-06-02	8602	7431	9833	244	No intervention
2021-06-03	8854	7530	10257	252	No intervention
2021-06-04	9110	7634	10680	256	No intervention
2021-06-05	9371	7750	11113	261	No intervention
2021-06-06	9640	7869	11546	269	No intervention
2021-06-07	9911	7995	11983	271	No intervention
2021-06-08	10189	8124	12441	278	No intervention
2021-06-09	10472	8263	12892	283	No intervention
2021-06-10	10759	8410	13352	287	No intervention
2021-06-11	11052	8550	13830	293	No intervention
2021-06-12	11347	8695	14308	295	No intervention
2021-06-13	11648	8843	14785	301	No intervention
2021-06-14	11953	8995	15284	305	No intervention
2021-06-15	12262	9152	15780	309	No intervention
2021-06-16	12574	9305	16295	312	No intervention
2021-06-17	12892	9464	16806	318	No intervention
2021-06-18	13213	9617	17333	321	No intervention
2021-06-19	13535	9785	17861	322	No intervention
2021-06-20	13863	9942	18409	328	No intervention
2021-06-21	14192	10109	18952	329	No intervention
2021-06-22	14526	10275	19499	334	No intervention
2021-06-23	14859	10441	20053	333	No intervention
2021-06-24	15195	10600	20610	336	No intervention
2021-06-25	15532	10772	21174	337	No intervention
2021-06-26	15873	10934	21746	341	No intervention
2021-06-27	16214	11102	22313	341	No intervention
2021-06-28	16557	11266	22875	343	No intervention
2021-06-29	16899	11429	23447	342	No intervention
2021-06-30	17242	11593	24014	343	No intervention
2021-07-01	17584	11774	24585	342	No intervention
2021-07-02	17928	11927	25147	344	No intervention
2021-07-03	18269	12088	25724	341	No intervention
2021-07-04	18612	12255	26289	343	No intervention
2021-07-05	18953	12423	26849	341	No intervention
2021-07-06	19293	12581	27402	340	No intervention
2021-07-07	19631	12743	27962	338	No intervention
2021-07-08	19969	12907	28506	338	No intervention
2021-07-09	20304	13069	29043	335	No intervention
2021-07-10	20638	13237	29570	334	No intervention
2021-07-11	20967	13398	30082	329	No intervention
2021-07-12	21295	13567	30609	328	No intervention
2021-07-13	21619	13732	31135	324	No intervention
2021-07-14	21941	13893	31628	322	No intervention
2021-07-15	22259	14035	32145	318	No intervention
2021-07-16	22575	14208	32619	316	No intervention
2021-07-17	22887	14359	33091	312	No intervention
2021-07-18	23195	14520	33581	308	No intervention
2021-07-19	23499	14665	34046	304	No intervention
2021-07-20	23799	14821	34516	300	No intervention
2021-07-21	24097	14959	34956	298	No intervention
2021-07-22	24389	15124	35392	292	No intervention
2021-07-23	24678	15257	35803	289	No intervention
2021-07-24	24960	15412	36243	282	No intervention
2021-07-25	25240	15553	36629	280	No intervention
2021-07-26	25515	15698	37027	275	No intervention
2021-07-27	25786	15844	37432	271	No intervention
2021-07-28	26053	15971	37797	267	No intervention
2021-07-29	26314	16120	38167	261	No intervention
2021-07-30	26571	16257	38542	257	No intervention
2021-07-31	26823	16392	38877	252	No intervention
2021-08-01	27070	16527	39230	247	No intervention
2021-08-02	27313	16648	39549	243	No intervention
2021-08-03	27551	16784	39873	238	No intervention
2021-08-04	27784	16922	40173	233	No intervention
2021-08-05	28014	17048	40469	230	No intervention
2021-08-06	28237	17175	40751	223	No intervention
2021-08-07	28457	17299	41044	220	No intervention
2021-08-08	28672	17421	41322	215	No intervention
2021-08-09	28883	17536	41598	211	No intervention
2021-08-10	29091	17662	41873	208	No intervention
2021-08-11	29293	17782	42118	202	No intervention
2021-08-12	29490	17905	42339	197	No intervention
2021-08-13	29683	18023	42588	193	No intervention
2021-08-14	29872	18109	42824	189	No intervention
2021-08-15	30057	18224	43035	185	No intervention
2021-08-16	30238	18352	43261	181	No intervention
2021-08-17	30413	18467	43470	175	No intervention
2021-08-18	30585	18564	43681	172	No intervention
2021-08-19	30753	18669	43880	168	No intervention
2021-08-20	30917	18760	44064	164	No intervention
2021-08-21	31077	18874	44243	160	No intervention
2021-08-22	31234	18964	44418	157	No intervention
2021-08-23	31386	19045	44584	152	No intervention
2021-08-24	31536	19160	44745	150	No intervention
2021-08-25	31680	19237	44912	144	No intervention
2021-08-26	31822	19331	45059	142	No intervention
2021-08-27	31961	19422	45213	139	No intervention
2021-08-28	32096	19513	45341	135	No intervention
2021-08-29	32229	19608	45482	133	No intervention
2021-08-30	32357	19678	45621	128	No intervention
2021-08-31	32483	19747	45746	126	No intervention
2021-09-01	32604	19852	45870	121	No intervention
2021-09-02	32724	19934	45996	120	No intervention
2021-09-03	32841	20009	46114	117	No intervention
2021-09-04	32954	20108	46213	113	No intervention
2021-09-05	33063	20194	46312	109	No intervention
