date	value	incidence	scenario	lower_ci	upper_ci
2021-04-19	34546	NA	Observed	NA	NA
2021-04-20	35148	602	Observed	NA	NA
2021-04-21	35770	622	Observed	NA	NA
2021-04-22	36404	634	Observed	NA	NA
2021-04-23	37232	828	Observed	NA	NA
2021-04-24	37943	711	Observed	NA	NA
2021-04-25	38692	749	Observed	NA	NA
2021-04-26	39513	821	Observed	NA	NA
2021-04-27	40350	837	Observed	NA	NA
2021-04-28	41122	772	Observed	NA	NA
2021-04-29	41923	801	Observed	NA	NA
2021-04-30	42647	724	Observed	NA	NA
2021-05-01	43446	799	Observed	NA	NA
2021-05-02	44306	860	Observed	NA	NA
2021-05-03	45196	890	Observed	NA	NA
2021-05-04	45976	780	Observed	NA	NA
2021-05-05	46793	817	Observed	NA	NA
2021-05-06	47552	759	Observed	NA	NA
2021-05-07	48442	890	Observed	NA	NA
2021-05-08	49312	870	Observed	NA	NA
2021-05-09	50207	895	Observed	NA	NA
2021-05-10	51070	863	Observed	NA	NA
2021-05-11	51857	787	Observed	NA	NA
2021-05-12	52633	776	Observed	NA	NA
2021-05-13	53393	760	Observed	NA	NA
2021-05-14	54043	650	Observed	NA	NA
2021-05-15	54703	660	Observed	NA	NA
2021-05-16	55367	664	Observed	NA	NA
2021-05-17	55987	620	Observed	NA	NA
2021-05-18	56513	526	Observed	NA	NA
2021-05-19	56927	414	Observed	NA	NA
2021-05-20	57331	404	Observed	NA	NA
2021-05-21	57737	406	Observed	NA	NA
2021-05-22	58129	392	Observed	NA	NA
2021-05-23	58489	360	Observed	NA	NA
2021-05-24	58734	245	Observed	NA	NA
2021-05-25	58992	258	Observed	NA	NA
2021-05-26	59216	224	Observed	NA	NA
2021-05-27	59416	200	Observed	NA	NA
2021-05-28	59577	161	Observed	NA	NA
2021-05-29	59740	163	Observed	NA	NA
2021-05-30	59922	182	Observed	NA	NA
2021-05-31	60046	124	Observed	NA	NA
2021-06-01	60154	108	Observed	NA	NA
2021-06-02	60288	134	Observed	NA	NA
2021-06-03	60392	NA	No intervention	57087	63820
2021-06-04	60501	109	No intervention	56400	64766
2021-06-05	60612	111	No intervention	55881	65576
2021-06-06	60718	106	No intervention	55387	66319
2021-06-07	60820	102	No intervention	54998	66962
2021-06-08	60925	105	No intervention	54631	67604
2021-06-09	61030	105	No intervention	54296	68182
