stat	value
thetaS_last_obs_p_mean	0.9888387
thetaI_last_obs_p_mean	0.002736554
thetaR_last_obs_p_mean	0.008424756
thetaS_last_obs_p_ci_low	0.9883856
thetaS_last_obs_p_ci_med	0.98884
thetaS_last_obs_p_ci_up	0.9892867
thetaI_last_obs_p_ci_low	0.00251563
thetaI_last_obs_p_ci_med	0.002734501
thetaI_last_obs_p_ci_up	0.002967625
thetaR_last_obs_p_ci_low	0.008039513
thetaR_last_obs_p_ci_med	0.008423871
thetaR_last_obs_p_ci_up	0.00881416
R0_p_mean	2.073617
R0_p_ci_low	1.334432
R0_p_ci_med	1.96262
R0_p_ci_up	3.450017
gamma_p_mean	0.03304079
gamma_p_ci_low	0.01194331
gamma_p_ci_med	0.03164282
gamma_p_ci_up	0.06209843
beta_p_mean	0.06382401
beta_p_ci_low	0.0305901
beta_p_ci_med	0.06322639
beta_p_ci_up	0.1002399
incidence_mean	0.3401166
incidence_ci_low	0.03396401
incidence_ci_median	0.3186742
incidence_ci_up	0.7488677
thetaI_tp1_mean	0.06841555
thetaI_tp1_ci_low	0.006639157
thetaI_tp1_ci_med	0.05434244
thetaI_tp1_ci_up	0.2056926
thetaR_tp1_mean	0.09088604
thetaR_tp1_ci_low	0.01702737
thetaR_tp1_ci_med	0.07197304
thetaR_tp1_ci_up	0.2710889
Y_tp1_mean	0.06841499
Y_tp1_ci_low	0.006628067
Y_tp1_ci_med	0.05434227
Y_tp1_ci_up	0.2058207
R_tp1_mean	0.0908885
R_tp1_ci_low	0.01703121
R_tp1_ci_med	0.07202892
R_tp1_ci_up	0.2711135
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.2285984
thetaR_max_ci_low	0.02649429
thetaR_max_ci_med	0.1975938
thetaR_max_ci_up	0.5798963
cumInf_mean	0.3443975
cumInf_ci_low	0.04062242
cumInf_ci_med	0.3225567
cumInf_ci_up	0.7532966
dthetaI_tp1_date	09/20/21
first_tp_mean	09/29/21
first_tp_ci_low	05/11/21
first_tp_ci_med	10/08/21
first_tp_ci_up	11/05/21
dthetaI_tp2_date	09/20/21
second_tp_mean	10/09/21
second_tp_ci_low	05/19/21
second_tp_ci_med	10/20/21
second_tp_ci_up	11/05/21
end_p_mean	11/04/21
end_p_ci_low	11/05/21
end_p_ci_med	11/05/21
end_p_ci_up	11/05/21
begin_str	04/20/2021
