date	value	lower_ci	upper_ci	incidence	scenario
2021-06-04	1697726	1526045	1882171	NA	No intervention
2021-06-05	1700125	1499738	1916010	2399	No intervention
2021-06-06	1702170	1477965	1947289	2045	No intervention
2021-06-07	1704382	1458802	1973882	2212	No intervention
2021-06-08	1706655	1441568	2000335	2273	No intervention
2021-06-09	1708852	1425884	2025997	2197	No intervention
2021-06-10	1710926	1411666	2048610	2074	No intervention
2021-06-11	1713012	1397357	2069343	2086	No intervention
2021-06-12	1714912	1384001	2087618	1900	No intervention
2021-06-13	1716909	1373064	2107870	1997	No intervention
2021-06-14	1718899	1361601	2127503	1990	No intervention
2021-06-15	1720925	1351849	2146715	2026	No intervention
2021-06-16	1723013	1342363	2166900	2088	No intervention
2021-06-17	1724741	1333974	2182564	1728	No intervention
2021-06-18	1726573	1323434	2200187	1832	No intervention
2021-06-19	1728500	1314652	2219262	1927	No intervention
2021-06-20	1730261	1306776	2234433	1761	No intervention
2021-06-21	1731979	1296498	2250209	1718	No intervention
2021-06-22	1733734	1288316	2266089	1755	No intervention
2021-06-23	1735597	1281290	2282979	1863	No intervention
2021-06-24	1737160	1272220	2297858	1563	No intervention
2021-06-25	1738827	1265021	2310850	1667	No intervention
2021-06-26	1740362	1257329	2324375	1535	No intervention
2021-06-27	1742040	1248718	2338815	1678	No intervention
2021-06-28	1743580	1244114	2354042	1540	No intervention
2021-06-29	1744919	1236556	2367731	1339	No intervention
2021-06-30	1746310	1227580	2382209	1391	No intervention
2021-07-01	1747701	1222352	2395580	1391	No intervention
2021-07-02	1749294	1213998	2406746	1593	No intervention
2021-07-03	1750744	1206873	2418922	1450	No intervention
2021-07-04	1752154	1201457	2432714	1410	No intervention
2021-07-05	1753813	1195271	2445350	1659	No intervention
2021-07-06	1755367	1187382	2457509	1554	No intervention
2021-07-07	1756733	1181649	2467691	1366	No intervention
2021-07-08	1758023	1176788	2481880	1290	No intervention
2021-07-09	1759470	1168938	2494633	1447	No intervention
2021-07-10	1760829	1162970	2506235	1359	No intervention
2021-07-11	1762316	1157595	2520767	1487	No intervention
2021-07-12	1763613	1151558	2531910	1297	No intervention
2021-07-13	1764911	1146218	2543041	1298	No intervention
2021-07-14	1766101	1141239	2554416	1190	No intervention
2021-07-15	1767391	1135656	2565737	1290	No intervention
2021-07-16	1768473	1129887	2576604	1082	No intervention
2021-07-17	1769592	1124990	2588478	1119	No intervention
2021-07-18	1770829	1118642	2601614	1237	No intervention
2021-07-19	1771920	1111634	2609630	1091	No intervention
2021-07-20	1773035	1106830	2623093	1115	No intervention
2021-07-21	1774261	1102975	2635346	1226	No intervention
2021-07-22	1775339	1095502	2645164	1078	No intervention
2021-07-23	1776603	1093398	2654557	1264	No intervention
2021-07-24	1777723	1086249	2664693	1120	No intervention
2021-07-25	1779027	1079916	2677877	1304	No intervention
2021-07-26	1779955	1075114	2685744	928	No intervention
2021-07-27	1781186	1070257	2697766	1231	No intervention
2021-07-28	1782338	1064917	2710215	1152	No intervention
2021-07-29	1783598	1061239	2719819	1260	No intervention
2021-07-30	1784727	1058016	2730244	1129	No intervention
2021-07-31	1785741	1052173	2742182	1014	No intervention
2021-08-01	1786805	1046123	2753022	1064	No intervention
2021-08-02	1787817	1039736	2764035	1012	No intervention
2021-08-03	1789000	1036923	2773621	1183	No intervention
2021-08-04	1790164	1030499	2783210	1164	No intervention
2021-08-05	1791192	1026611	2796205	1028	No intervention
2021-08-06	1791986	1020143	2803382	794	No intervention
2021-08-07	1792919	1016856	2813196	933	No intervention
2021-08-08	1793948	1010815	2821134	1029	No intervention
2021-08-09	1794920	1006784	2833388	972	No intervention
2021-08-10	1795766	1002306	2841522	846	No intervention
2021-08-11	1796713	996741	2847575	947	No intervention
2021-08-12	1797756	992048	2860940	1043	No intervention
2021-08-13	1798910	988056	2869103	1154	No intervention
2021-08-14	1799876	983168	2882340	966	No intervention
2021-08-15	1801121	979342	2892885	1245	No intervention
2021-08-16	1802189	974290	2901872	1068	No intervention
2021-08-17	1803136	971361	2912156	947	No intervention
2021-08-18	1803936	968692	2921629	800	No intervention
2021-08-19	1804870	962670	2929433	934	No intervention
2021-08-20	1805802	957253	2943815	932	No intervention
2021-08-21	1806743	953503	2951205	941	No intervention
2021-08-22	1807755	949077	2962815	1012	No intervention
2021-08-23	1808714	945176	2972074	959	No intervention
2021-08-24	1809654	943830	2982420	940	No intervention
2021-08-25	1810656	937781	2993654	1002	No intervention
2021-08-26	1811680	933743	3003821	1024	No intervention
2021-08-27	1812320	930041	3013283	640	No intervention
2021-08-28	1813123	926744	3023589	803	No intervention
2021-08-29	1813969	921274	3033008	846	No intervention
2021-08-30	1814833	917188	3039778	864	No intervention
2021-08-31	1815762	912713	3048116	929	No intervention
2021-09-01	1816466	909943	3055048	704	No intervention
2021-09-02	1817331	907583	3067684	865	No intervention
2021-09-03	1818261	902063	3078293	930	No intervention
2021-09-04	1819172	898967	3087868	911	No intervention
2021-09-05	1820150	895573	3096211	978	No intervention
2021-09-06	1820793	891488	3106618	643	No intervention
2021-09-07	1821691	888880	3111501	898	No intervention
2021-09-08	1822377	884352	3126958	686	No intervention
2021-09-09	1823291	880977	3134890	914	No intervention
2021-09-10	1824326	877084	3144773	1035	No intervention
2021-09-11	1825151	873162	3152474	825	No intervention
2021-09-12	1825796	868392	3166218	645	No intervention
2021-09-13	1826847	864274	3172551	1051	No intervention
2021-09-14	1827871	860812	3181043	1024	No intervention
2021-09-15	1828727	857831	3189455	856	No intervention
2021-09-16	1829393	855011	3197709	666	No intervention
2021-09-17	1830186	850064	3209507	793	No intervention
2021-09-18	1830922	846913	3215785	736	No intervention
2021-09-19	1831781	843479	3225404	859	No intervention
2021-09-20	1832737	839264	3235955	956	No intervention
2021-09-21	1833589	836587	3245742	852	No intervention
2021-09-22	1834321	834589	3253248	732	No intervention
2021-09-23	1835315	830906	3261144	994	No intervention
2021-09-24	1836002	828153	3268250	687	No intervention
2021-09-25	1837051	825341	3278976	1049	No intervention
2021-09-26	1838033	822870	3293916	982	No intervention
2021-09-27	1838972	818493	3302576	939	No intervention
2021-09-28	1840015	814726	3307996	1043	No intervention
2021-09-29	1840753	812450	3318727	738	No intervention
2021-09-30	1841589	808091	3323467	836	No intervention
2021-10-01	1842465	805865	3336723	876	No intervention
2021-10-02	1843516	801262	3342883	1051	No intervention
2021-10-03	1844428	799239	3352828	912	No intervention
2021-10-04	1845240	795199	3362425	812	No intervention
2021-10-05	1846352	792451	3368719	1112	No intervention
2021-10-06	1847088	789476	3376005	736	No intervention
2021-10-07	1847860	785817	3386236	772	No intervention
