stat	value
thetaS_last_obs_p_mean	0.9789892
thetaI_last_obs_p_mean	0.002678006
thetaR_last_obs_p_mean	0.01833282
thetaS_last_obs_p_ci_low	0.9783706
thetaS_last_obs_p_ci_med	0.9789891
thetaS_last_obs_p_ci_up	0.9796031
thetaI_last_obs_p_ci_low	0.002455759
thetaI_last_obs_p_ci_med	0.002676022
thetaI_last_obs_p_ci_up	0.002912472
thetaR_last_obs_p_ci_low	0.01776256
thetaR_last_obs_p_ci_med	0.01833269
thetaR_last_obs_p_ci_up	0.01890403
R0_p_mean	1.571877
R0_p_ci_low	1.175965
R0_p_ci_med	1.495168
R0_p_ci_up	2.435056
gamma_p_mean	0.06695518
gamma_p_ci_low	0.02187199
gamma_p_ci_med	0.06565039
gamma_p_ci_up	0.1200315
beta_p_mean	0.09942552
beta_p_ci_low	0.04632207
beta_p_ci_med	0.09868352
beta_p_ci_up	0.1573826
incidence_mean	0.3361242
incidence_ci_low	0.05701083
incidence_ci_median	0.3305064
incidence_ci_up	0.6622267
thetaI_tp1_mean	0.03408092
thetaI_tp1_ci_low	0.005075819
thetaI_tp1_ci_med	0.02799286
thetaI_tp1_ci_up	0.09853591
thetaR_tp1_mean	0.09560013
thetaR_tp1_ci_low	0.0304949
thetaR_tp1_ci_med	0.08420663
thetaR_tp1_ci_up	0.2249761
Y_tp1_mean	0.03408255
Y_tp1_ci_low	0.005074178
Y_tp1_ci_med	0.02799463
Y_tp1_ci_up	0.09848256
R_tp1_mean	0.09559768
R_tp1_ci_low	0.03047948
R_tp1_ci_med	0.08418468
R_tp1_ci_up	0.225031
thetaI_tp2_mean	0.05699791
thetaI_tp2_ci_low	0.007581331
thetaI_tp2_ci_med	0.04533461
thetaI_tp2_ci_up	0.1744481
thetaR_tp2_mean	0.2610569
thetaR_tp2_ci_low	0.05173788
thetaR_tp2_ci_med	0.246346
thetaR_tp2_ci_up	0.5497018
Y_tp2_mean	0.05699867
Y_tp2_ci_low	0.007573109
Y_tp2_ci_med	0.04534572
Y_tp2_ci_up	0.1744087
R_tp2_mean	0.2610562
R_tp2_ci_low	0.05169103
R_tp2_ci_med	0.2463361
R_tp2_ci_up	0.5496678
thetaR_max_mean	0.2920088
thetaR_max_ci_low	0.05684126
thetaR_max_ci_med	0.2818989
thetaR_max_ci_up	0.5889883
cumInf_mean	0.3483442
cumInf_ci_low	0.07146097
cumInf_ci_med	0.3423345
cumInf_ci_up	0.6749764
dthetaI_tp1_date	09/02/21
first_tp_mean	08/29/21
first_tp_ci_low	05/19/21
first_tp_ci_med	09/06/21
first_tp_ci_up	11/08/21
dthetaI_tp2_date	10/29/21
second_tp_mean	09/21/21
second_tp_ci_low	05/22/21
second_tp_ci_med	10/07/21
second_tp_ci_up	11/08/21
end_p_mean	11/07/21
end_p_ci_low	11/08/21
end_p_ci_med	11/08/21
end_p_ci_up	11/08/21
begin_str	04/23/2021
