stat	value
thetaS_last_obs_p_mean	0.9003173
thetaI_last_obs_p_mean	0.004630748
thetaR_last_obs_p_mean	0.09505196
thetaS_last_obs_p_ci_low	0.8984899
thetaS_last_obs_p_ci_med	0.9003146
thetaS_last_obs_p_ci_up	0.9021564
thetaI_last_obs_p_ci_low	0.004214188
thetaI_last_obs_p_ci_med	0.004625311
thetaI_last_obs_p_ci_up	0.005079981
thetaR_last_obs_p_ci_low	0.09326216
thetaR_last_obs_p_ci_med	0.09505394
thetaR_last_obs_p_ci_up	0.09683297
R0_p_mean	1.049761
R0_p_ci_low	0.8444455
R0_p_ci_med	1.048714
R0_p_ci_up	1.262464
gamma_p_mean	0.08704467
gamma_p_ci_low	0.05461965
gamma_p_ci_med	0.0871366
gamma_p_ci_up	0.1188579
beta_p_mean	0.09131795
beta_p_ci_low	0.05402127
beta_p_ci_med	0.09131761
beta_p_ci_up	0.1284887
incidence_mean	0.09080739
incidence_ci_low	0.04015612
incidence_ci_median	0.08114583
incidence_ci_up	0.195745
thetaI_tp1_mean	0.01174363
thetaI_tp1_ci_low	0.01112787
thetaI_tp1_ci_med	0.01174208
thetaI_tp1_ci_up	0.01236624
thetaR_tp1_mean	0.04135362
thetaR_tp1_ci_low	0.0402522
thetaR_tp1_ci_med	0.04135366
thetaR_tp1_ci_up	0.04246586
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.1200932
R_tp1_ci_low	0.08212846
R_tp1_ci_med	0.1139222
R_tp1_ci_up	0.1908474
thetaI_tp2_mean	0.02046919
thetaI_tp2_ci_low	0.01965089
thetaI_tp2_ci_med	0.02047122
thetaI_tp2_ci_up	0.02128024
thetaR_tp2_mean	0.06082513
thetaR_tp2_ci_low	0.05950008
thetaR_tp2_ci_med	0.06082451
thetaR_tp2_ci_up	0.06216146
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.139138
thetaR_max_ci_low	0.07479584
thetaR_max_ci_med	0.1332378
thetaR_max_ci_up	0.2399478
cumInf_mean	0.1413695
cumInf_ci_low	0.07497515
cumInf_ci_med	0.1346063
cumInf_ci_up	0.2490606
dthetaI_tp1_date	04/28/21
first_tp_mean	04/30/21
first_tp_ci_low	04/26/21
first_tp_ci_med	04/29/21
first_tp_ci_up	05/07/21
dthetaI_tp2_date	05/13/21
second_tp_mean	05/09/21
second_tp_ci_low	05/08/21
second_tp_ci_med	05/10/21
second_tp_ci_up	05/13/21
end_p_mean	10/17/21
end_p_ci_low	07/29/21
end_p_ci_med	11/08/21
end_p_ci_up	11/08/21
begin_str	04/23/2021
