stat	value
thetaS_last_obs_p_mean	0.966876
thetaI_last_obs_p_mean	0.002244098
thetaR_last_obs_p_mean	0.0308799
thetaS_last_obs_p_ci_low	0.9659546
thetaS_last_obs_p_ci_med	0.9668758
thetaS_last_obs_p_ci_up	0.9677935
thetaI_last_obs_p_ci_low	0.002003529
thetaI_last_obs_p_ci_med	0.002241383
thetaI_last_obs_p_ci_up	0.002499106
thetaR_last_obs_p_ci_low	0.029994
thetaR_last_obs_p_ci_med	0.03087912
thetaR_last_obs_p_ci_up	0.03176759
R0_p_mean	0.9880584
R0_p_ci_low	0.750405
R0_p_ci_med	0.9859401
R0_p_ci_up	1.237814
gamma_p_mean	0.07153825
gamma_p_ci_low	0.04249028
gamma_p_ci_med	0.07157632
gamma_p_ci_up	0.1001241
beta_p_mean	0.07061166
beta_p_ci_low	0.03879958
beta_p_ci_med	0.07051871
beta_p_ci_up	0.1032346
incidence_mean	0.03957042
incidence_ci_low	0.01398189
incidence_ci_median	0.03242226
incidence_ci_up	0.1079224
thetaI_tp1_mean	0.007130927
thetaI_tp1_ci_low	0.006744879
thetaI_tp1_ci_med	0.007130064
thetaI_tp1_ci_up	0.007520748
thetaR_tp1_mean	0.01558312
thetaR_tp1_ci_low	0.01502368
thetaR_tp1_ci_med	0.01558235
thetaR_tp1_ci_up	0.01614576
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.04235809
R_tp1_ci_low	0.02609999
R_tp1_ci_med	0.03895849
R_tp1_ci_up	0.07784548
thetaI_tp2_mean	0.008305468
thetaI_tp2_ci_low	0.007889872
thetaI_tp2_ci_med	0.008304545
thetaI_tp2_ci_up	0.008726434
thetaR_tp2_mean	0.02012985
thetaR_tp2_ci_low	0.01949842
thetaR_tp2_ci_med	0.02012884
thetaR_tp2_ci_up	0.02076854
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.05329464
thetaR_max_ci_low	0.02350166
thetaR_max_ci_med	0.04844099
thetaR_max_ci_up	0.1131896
cumInf_mean	0.05538822
cumInf_ci_low	0.02362602
cumInf_ci_med	0.04944153
cumInf_ci_up	0.1243135
dthetaI_tp1_date	05/07/21
first_tp_mean	05/04/21
first_tp_ci_low	04/25/21
first_tp_ci_med	05/06/21
first_tp_ci_up	05/10/21
dthetaI_tp2_date	05/16/21
second_tp_mean	05/11/21
second_tp_ci_low	05/01/21
second_tp_ci_med	05/13/21
second_tp_ci_up	05/16/21
end_p_mean	10/23/21
end_p_ci_low	08/04/21
end_p_ci_med	11/08/21
end_p_ci_up	11/08/21
begin_str	04/23/2021
