date	value	lower_ci	upper_ci	incidence	scenario
2021-06-08	8877	8279	9502	NA	No intervention
2021-06-09	8962	8179	9783	85	No intervention
2021-06-10	9046	8117	10027	84	No intervention
2021-06-11	9130	8072	10252	84	No intervention
2021-06-12	9212	8045	10458	82	No intervention
2021-06-13	9295	8023	10659	83	No intervention
2021-06-14	9376	8001	10856	81	No intervention
2021-06-15	9457	7993	11041	81	No intervention
2021-06-16	9537	7985	11224	80	No intervention
2021-06-17	9616	7982	11400	79	No intervention
2021-06-18	9695	7979	11577	79	No intervention
2021-06-19	9772	7978	11734	77	No intervention
2021-06-20	9848	7977	11908	76	No intervention
2021-06-21	9925	7980	12078	77	No intervention
2021-06-22	10000	7987	12244	75	No intervention
2021-06-23	10075	7994	12400	75	No intervention
2021-06-24	10150	7999	12555	75	No intervention
2021-06-25	10224	8003	12718	74	No intervention
2021-06-26	10297	8008	12873	73	No intervention
2021-06-27	10370	8020	13022	73	No intervention
2021-06-28	10442	8024	13185	72	No intervention
2021-06-29	10513	8033	13329	71	No intervention
2021-06-30	10582	8044	13484	69	No intervention
2021-07-01	10650	8050	13641	68	No intervention
2021-07-02	10719	8062	13780	69	No intervention
2021-07-03	10787	8063	13927	68	No intervention
2021-07-04	10855	8068	14071	68	No intervention
2021-07-05	10921	8070	14215	66	No intervention
2021-07-06	10987	8082	14369	66	No intervention
2021-07-07	11052	8090	14510	65	No intervention
2021-07-08	11116	8100	14659	64	No intervention
2021-07-09	11180	8109	14802	64	No intervention
2021-07-10	11243	8116	14945	63	No intervention
2021-07-11	11305	8117	15082	62	No intervention
2021-07-12	11367	8125	15237	62	No intervention
2021-07-13	11428	8128	15375	61	No intervention
2021-07-14	11489	8133	15507	61	No intervention
2021-07-15	11549	8136	15638	60	No intervention
2021-07-16	11608	8140	15778	59	No intervention
2021-07-17	11667	8148	15915	59	No intervention
2021-07-18	11725	8146	16049	58	No intervention
2021-07-19	11782	8156	16190	57	No intervention
2021-07-20	11838	8166	16326	56	No intervention
2021-07-21	11895	8170	16458	57	No intervention
2021-07-22	11950	8167	16592	55	No intervention
2021-07-23	12005	8174	16728	55	No intervention
2021-07-24	12058	8181	16858	53	No intervention
2021-07-25	12112	8175	16980	54	No intervention
2021-07-26	12164	8177	17108	52	No intervention
2021-07-27	12216	8180	17238	52	No intervention
2021-07-28	12267	8178	17370	51	No intervention
2021-07-29	12317	8185	17493	50	No intervention
2021-07-30	12367	8192	17624	50	No intervention
2021-07-31	12416	8185	17754	49	No intervention
2021-08-01	12464	8178	17876	48	No intervention
2021-08-02	12511	8175	18004	47	No intervention
2021-08-03	12558	8173	18135	47	No intervention
2021-08-04	12605	8177	18270	47	No intervention
2021-08-05	12651	8168	18372	46	No intervention
2021-08-06	12696	8156	18482	45	No intervention
2021-08-07	12741	8147	18606	45	No intervention
2021-08-08	12786	8155	18719	45	No intervention
2021-08-09	12830	8161	18825	44	No intervention
2021-08-10	12872	8158	18950	42	No intervention
2021-08-11	12915	8156	19062	43	No intervention
2021-08-12	12957	8151	19169	42	No intervention
2021-08-13	12998	8158	19299	41	No intervention
2021-08-14	13039	8157	19404	41	No intervention
2021-08-15	13079	8152	19506	40	No intervention
2021-08-16	13119	8142	19610	40	No intervention
2021-08-17	13158	8143	19727	39	No intervention
2021-08-18	13197	8138	19845	39	No intervention
2021-08-19	13234	8125	19925	37	No intervention
2021-08-20	13272	8125	20025	38	No intervention
2021-08-21	13309	8131	20147	37	No intervention
2021-08-22	13345	8127	20245	36	No intervention
2021-08-23	13381	8121	20338	36	No intervention
2021-08-24	13416	8117	20449	35	No intervention
2021-08-25	13451	8112	20551	35	No intervention
2021-08-26	13486	8103	20638	35	No intervention
2021-08-27	13520	8100	20743	34	No intervention
2021-08-28	13553	8102	20824	33	No intervention
2021-08-29	13586	8089	20925	33	No intervention
2021-08-30	13619	8083	21013	33	No intervention
2021-08-31	13650	8078	21122	31	No intervention
2021-09-01	13681	8071	21225	31	No intervention
2021-09-02	13713	8072	21305	32	No intervention
2021-09-03	13743	8062	21413	30	No intervention
2021-09-04	13773	8056	21505	30	No intervention
2021-09-05	13802	8042	21581	29	No intervention
2021-09-06	13831	8028	21680	29	No intervention
2021-09-07	13859	8027	21769	28	No intervention
2021-09-08	13887	8020	21851	28	No intervention
2021-09-09	13914	8017	21926	27	No intervention
2021-09-10	13942	8009	22000	28	No intervention
2021-09-11	13968	8005	22095	26	No intervention
2021-09-12	13996	7994	22179	28	No intervention
2021-09-13	14022	7983	22252	26	No intervention
