date	value	incidence	scenario	lower_ci	upper_ci
2021-04-24	12966	NA	Observed	NA	NA
2021-04-25	13146	180	Observed	NA	NA
2021-04-26	13201	55	Observed	NA	NA
2021-04-27	13408	207	Observed	NA	NA
2021-04-28	13532	124	Observed	NA	NA
2021-04-29	13713	181	Observed	NA	NA
2021-04-30	13939	226	Observed	NA	NA
2021-05-01	14097	158	Observed	NA	NA
2021-05-02	14313	216	Observed	NA	NA
2021-05-03	14414	101	Observed	NA	NA
2021-05-04	14680	266	Observed	NA	NA
2021-05-05	14967	287	Observed	NA	NA
2021-05-06	15234	267	Observed	NA	NA
2021-05-07	15543	309	Observed	NA	NA
2021-05-08	15876	333	Observed	NA	NA
2021-05-09	16113	237	Observed	NA	NA
2021-05-10	16246	133	Observed	NA	NA
2021-05-11	16515	269	Observed	NA	NA
2021-05-12	16853	338	Observed	NA	NA
2021-05-13	17219	366	Observed	NA	NA
2021-05-14	17494	275	Observed	NA	NA
2021-05-15	17798	304	Observed	NA	NA
2021-05-16	18039	241	Observed	NA	NA
2021-05-17	18312	273	Observed	NA	NA
2021-05-18	18677	365	Observed	NA	NA
2021-05-19	18921	244	Observed	NA	NA
2021-05-20	19247	326	Observed	NA	NA
2021-05-21	19556	309	Observed	NA	NA
2021-05-22	19808	252	Observed	NA	NA
2021-05-23	20031	223	Observed	NA	NA
2021-05-24	20222	191	Observed	NA	NA
2021-05-25	20498	276	Observed	NA	NA
2021-05-26	20758	260	Observed	NA	NA
2021-05-27	20986	228	Observed	NA	NA
2021-05-28	21178	192	Observed	NA	NA
2021-05-29	21334	156	Observed	NA	NA
2021-05-30	21526	192	Observed	NA	NA
2021-05-31	21643	117	Observed	NA	NA
2021-06-01	21817	174	Observed	NA	NA
2021-06-02	22035	218	Observed	NA	NA
2021-06-03	22203	168	Observed	NA	NA
2021-06-04	22350	147	Observed	NA	NA
2021-06-05	22659	309	Observed	NA	NA
2021-06-06	22736	77	Observed	NA	NA
2021-06-07	22881	145	Observed	NA	NA
2021-06-08	23237	NA	No intervention	20673	25799
2021-06-09	23554	317	No intervention	20566	26687
2021-06-10	23909	355	No intervention	20453	27600
2021-06-11	24256	347	No intervention	20356	28343
2021-06-12	24581	325	No intervention	20328	29191
2021-06-13	24913	332	No intervention	20350	29946
2021-06-14	25265	352	No intervention	20259	30796
2021-06-15	25634	369	No intervention	20172	31465
2021-06-16	26012	378	No intervention	20181	32279
2021-06-17	26400	388	No intervention	20290	33279
2021-06-18	26784	384	No intervention	20397	34228
2021-06-19	27181	397	No intervention	20298	35033
2021-06-20	27592	411	No intervention	20322	36110
2021-06-21	28034	442	No intervention	20490	37232
2021-06-22	28463	429	No intervention	20380	38308
2021-06-23	28948	485	No intervention	20407	39007
2021-06-24	29419	471	No intervention	20480	40366
2021-06-25	29910	491	No intervention	20658	41387
2021-06-26	30381	471	No intervention	20784	42375
2021-06-27	30901	520	No intervention	20777	43500
2021-06-28	31399	498	No intervention	20733	44968
2021-06-29	31960	561	No intervention	20872	46014
2021-06-30	32540	580	No intervention	20962	47242
2021-07-01	33115	575	No intervention	20954	48756
2021-07-02	33724	609	No intervention	20980	50284
2021-07-03	34337	613	No intervention	21160	51487
2021-07-04	35002	665	No intervention	21373	52985
2021-07-05	35633	631	No intervention	21061	54635
2021-07-06	36268	635	No intervention	21616	56063
2021-07-07	36947	679	No intervention	21404	57934
2021-07-08	37660	713	No intervention	21745	59427
2021-07-09	38377	717	No intervention	21823	61987
2021-07-10	39132	755	No intervention	21694	63214
2021-07-11	39912	780	No intervention	22026	66163
2021-07-12	40695	783	No intervention	21936	67591
2021-07-13	41505	810	No intervention	22227	70001
2021-07-14	42325	820	No intervention	22584	71999
2021-07-15	43146	821	No intervention	22381	73907
2021-07-16	44014	868	No intervention	22775	76884
2021-07-17	44910	896	No intervention	22628	79580
2021-07-18	45807	897	No intervention	22882	82755
2021-07-19	46751	944	No intervention	23178	84850
2021-07-20	47656	905	No intervention	23497	88049
2021-07-21	48626	970	No intervention	23246	89937
2021-07-22	49683	1057	No intervention	23497	93399
2021-07-23	50734	1051	No intervention	23601	95547
2021-07-24	51818	1084	No intervention	23774	98924
2021-07-25	52952	1134	No intervention	23845	103280
2021-07-26	54080	1128	No intervention	24132	105905
2021-07-27	55252	1172	No intervention	24396	110095
2021-07-28	56488	1236	No intervention	24467	113952
2021-07-29	57724	1236	No intervention	24435	117462
2021-07-30	59014	1290	No intervention	24564	122323
2021-07-31	60329	1315	No intervention	24874	126226
2021-08-01	61688	1359	No intervention	25384	131119
2021-08-02	63019	1331	No intervention	25363	135876
2021-08-03	64412	1393	No intervention	25526	140754
2021-08-04	65900	1488	No intervention	25555	145182
2021-08-05	67394	1494	No intervention	25992	149818
2021-08-06	68949	1555	No intervention	26480	155573
2021-08-07	70518	1569	No intervention	26542	162510
2021-08-08	72131	1613	No intervention	26731	168667
2021-08-09	73820	1689	No intervention	26830	174253
2021-08-10	75557	1737	No intervention	27006	179948
2021-08-11	77276	1719	No intervention	27077	185280
2021-08-12	79105	1829	No intervention	27430	189496
2021-08-13	80959	1854	No intervention	27621	196742
2021-08-14	82875	1916	No intervention	27555	204143
2021-08-15	84840	1965	No intervention	27693	212340
2021-08-16	86833	1993	No intervention	28183	219636
2021-08-17	88867	2034	No intervention	28298	226687
2021-08-18	90995	2128	No intervention	28689	234840
2021-08-19	93117	2122	No intervention	28352	241699
2021-08-20	95293	2176	No intervention	28527	246872
2021-08-21	97566	2273	No intervention	28963	258207
2021-08-22	99909	2343	No intervention	29112	266248
2021-08-23	102300	2391	No intervention	29343	278885
2021-08-24	104710	2410	No intervention	29408	283575
2021-08-25	107217	2507	No intervention	29561	292587
2021-08-26	109777	2560	No intervention	29741	303837
2021-08-27	112380	2603	No intervention	29709	314400
2021-08-28	115058	2678	No intervention	30743	322901
2021-08-29	117818	2760	No intervention	30194	333737
2021-08-30	120625	2807	No intervention	30691	343989
2021-08-31	123498	2873	No intervention	30988	353501
2021-09-01	126433	2935	No intervention	31518	365035
2021-09-02	129445	3012	No intervention	31648	374439
2021-09-03	132514	3069	No intervention	31560	388357
2021-09-04	135648	3134	No intervention	31865	399786
2021-09-05	138867	3219	No intervention	31670	411193
2021-09-06	142076	3209	No intervention	31874	422271
2021-09-07	145370	3294	No intervention	32517	431237
2021-09-08	148716	3346	No intervention	32233	439115
2021-09-09	152154	3438	No intervention	32298	460431
2021-09-10	155710	3556	No intervention	32868	468127
2021-09-11	159329	3619	No intervention	32903	486437
2021-09-12	163033	3704	No intervention	32944	499616
2021-09-13	166740	3707	No intervention	32852	515059
2021-09-14	170521	3781	No intervention	32731	528520
2021-09-15	174421	3900	No intervention	33396	537401
2021-09-16	178315	3894	No intervention	33275	560444
2021-09-17	182303	3988	No intervention	34082	572702
2021-09-18	186346	4043	No intervention	33811	584528
2021-09-19	190434	4088	No intervention	33754	607184
2021-09-20	194611	4177	No intervention	34509	622693
2021-09-21	198923	4312	No intervention	35084	637174
2021-09-22	203263	4340	No intervention	35324	650904
2021-09-23	207675	4412	No intervention	35417	664467
2021-09-24	212127	4452	No intervention	35168	679615
2021-09-25	216683	4556	No intervention	35746	691912
2021-09-26	221293	4610	No intervention	36827	711374
2021-09-27	225978	4685	No intervention	37228	729220
2021-09-28	230779	4801	No intervention	36961	745222
2021-09-29	235520	4741	No intervention	36434	760426
2021-09-30	240413	4893	No intervention	36498	776301
2021-10-01	245369	4956	No intervention	36716	795810
2021-10-02	250278	4909	No intervention	36437	810240
2021-10-03	255342	5064	No intervention	37182	823760
2021-10-04	260424	5082	No intervention	36884	843048
2021-10-05	265601	5177	No intervention	37515	862601
2021-10-06	270815	5214	No intervention	37169	879600
2021-10-07	275983	5168	No intervention	38265	897688
