date	value	lower_ci	upper_ci	incidence	scenario
2021-06-10	451045	411616	492006	NA	No intervention
2021-06-11	455704	409491	504391	4659	No intervention
2021-06-12	460397	407790	516059	4693	No intervention
2021-06-13	465239	406636	527314	4842	No intervention
2021-06-14	470157	405795	538809	4918	No intervention
2021-06-15	475138	405143	549653	4981	No intervention
2021-06-16	480268	404973	561683	5130	No intervention
2021-06-17	485462	404695	573301	5194	No intervention
2021-06-18	490770	404541	584873	5308	No intervention
2021-06-19	496154	404634	596582	5384	No intervention
2021-06-20	501658	405124	608407	5504	No intervention
2021-06-21	507240	405279	621336	5582	No intervention
2021-06-22	512919	405511	633713	5679	No intervention
2021-06-23	518704	406363	646527	5785	No intervention
2021-06-24	524557	406570	659731	5853	No intervention
2021-06-25	530606	407386	672746	6049	No intervention
2021-06-26	536719	407899	686039	6113	No intervention
2021-06-27	542988	408622	699991	6269	No intervention
2021-06-28	549340	408881	715173	6352	No intervention
2021-06-29	555807	409868	729763	6467	No intervention
2021-06-30	562410	410295	744861	6603	No intervention
2021-07-01	569153	411517	760579	6743	No intervention
2021-07-02	576037	412529	776756	6884	No intervention
2021-07-03	583043	413388	792931	7006	No intervention
2021-07-04	590182	414141	810046	7139	No intervention
2021-07-05	597468	415411	827062	7286	No intervention
2021-07-06	604896	416337	845426	7428	No intervention
2021-07-07	612453	417532	864437	7557	No intervention
2021-07-08	620154	418571	883742	7701	No intervention
2021-07-09	628018	419540	903693	7864	No intervention
2021-07-10	636076	420990	923442	8058	No intervention
2021-07-11	644273	421540	944399	8197	No intervention
2021-07-12	652625	422818	966442	8352	No intervention
2021-07-13	661142	424278	988969	8517	No intervention
2021-07-14	669859	425613	1011875	8717	No intervention
2021-07-15	678759	426689	1035882	8900	No intervention
2021-07-16	687782	428016	1059723	9023	No intervention
2021-07-17	697050	428609	1085181	9268	No intervention
2021-07-18	706436	430128	1111154	9386	No intervention
2021-07-19	716073	431839	1138736	9637	No intervention
2021-07-20	725873	432850	1165761	9800	No intervention
2021-07-21	735815	434299	1193354	9942	No intervention
2021-07-22	746018	435547	1223119	10203	No intervention
2021-07-23	756473	437033	1253010	10455	No intervention
2021-07-24	767121	438289	1283176	10648	No intervention
2021-07-25	777903	439840	1316584	10782	No intervention
2021-07-26	788915	440730	1349158	11012	No intervention
2021-07-27	800187	442459	1382381	11272	No intervention
2021-07-28	811656	443783	1418238	11469	No intervention
2021-07-29	823348	445159	1453098	11692	No intervention
2021-07-30	835281	446341	1490857	11933	No intervention
2021-07-31	847453	448453	1527872	12172	No intervention
2021-08-01	859878	449167	1567535	12425	No intervention
2021-08-02	872612	450478	1609096	12734	No intervention
2021-08-03	885601	452003	1650142	12989	No intervention
2021-08-04	898804	453441	1692519	13203	No intervention
2021-08-05	912232	455194	1736264	13428	No intervention
2021-08-06	925979	456462	1780857	13747	No intervention
2021-08-07	940002	458191	1830386	14023	No intervention
2021-08-08	954291	459177	1875802	14289	No intervention
2021-08-09	968837	460381	1924647	14546	No intervention
2021-08-10	983718	462279	1974718	14881	No intervention
2021-08-11	998875	463758	2025837	15157	No intervention
2021-08-12	1014343	464747	2080329	15468	No intervention
2021-08-13	1030122	466561	2135507	15779	No intervention
2021-08-14	1046201	468076	2191713	16079	No intervention
2021-08-15	1062646	469249	2249350	16445	No intervention
2021-08-16	1079382	470912	2310368	16736	No intervention
2021-08-17	1096359	473041	2368227	16977	No intervention
2021-08-18	1113712	474522	2431604	17353	No intervention
2021-08-19	1131399	476353	2493817	17687	No intervention
2021-08-20	1149442	477499	2560892	18043	No intervention
2021-08-21	1167816	478984	2625699	18374	No intervention
2021-08-22	1186510	480380	2698632	18694	No intervention
2021-08-23	1205554	481352	2771380	19044	No intervention
2021-08-24	1224954	482717	2842023	19400	No intervention
2021-08-25	1244693	484342	2916854	19739	No intervention
2021-08-26	1264886	486872	2991421	20193	No intervention
2021-08-27	1285379	487555	3069012	20493	No intervention
2021-08-28	1306242	489074	3147641	20863	No intervention
2021-08-29	1327439	490372	3232359	21197	No intervention
2021-08-30	1349029	492674	3315291	21590	No intervention
2021-08-31	1370980	493256	3397757	21951	No intervention
2021-09-01	1393326	495282	3490117	22346	No intervention
2021-09-02	1416004	496361	3576512	22678	No intervention
2021-09-03	1439122	497993	3667105	23118	No intervention
