date	value	lower_ci	upper_ci	incidence	scenario
2021-06-14	788448	720249	860988	NA	No intervention
2021-06-15	788819	709129	874769	371	No intervention
2021-06-16	789230	699574	886843	411	No intervention
2021-06-17	789493	690929	896857	263	No intervention
2021-06-18	789775	683634	907050	282	No intervention
2021-06-19	790056	676517	916120	281	No intervention
2021-06-20	790305	669921	924242	249	No intervention
2021-06-21	790522	664201	932998	217	No intervention
2021-06-22	790877	658330	940964	355	No intervention
2021-06-23	791159	652837	947389	282	No intervention
2021-06-24	791447	647581	955428	288	No intervention
2021-06-25	791742	642027	961447	295	No intervention
2021-06-26	792050	637945	968152	308	No intervention
2021-06-27	792306	632822	974918	256	No intervention
2021-06-28	792598	628105	981408	292	No intervention
2021-06-29	792882	623569	988049	284	No intervention
2021-06-30	793175	620254	993665	293	No intervention
2021-07-01	793417	615149	999286	242	No intervention
2021-07-02	793591	611596	1005113	174	No intervention
2021-07-03	793855	607819	1009981	264	No intervention
2021-07-04	794052	604096	1015829	197	No intervention
2021-07-05	794313	600728	1020929	261	No intervention
2021-07-06	794547	597363	1025374	234	No intervention
2021-07-07	794713	593821	1030656	166	No intervention
2021-07-08	794994	590853	1035631	281	No intervention
2021-07-09	795220	587350	1040251	226	No intervention
2021-07-10	795375	583819	1045718	155	No intervention
2021-07-11	795622	581545	1050312	247	No intervention
2021-07-12	795784	576930	1054170	162	No intervention
2021-07-13	796013	574157	1058941	229	No intervention
2021-07-14	796195	571422	1063809	182	No intervention
2021-07-15	796471	568042	1067641	276	No intervention
2021-07-16	796620	564780	1071793	149	No intervention
2021-07-17	796834	562103	1075208	214	No intervention
2021-07-18	797007	558988	1080638	173	No intervention
2021-07-19	797166	554962	1084503	159	No intervention
2021-07-20	797371	552140	1088422	205	No intervention
2021-07-21	797545	550544	1092554	174	No intervention
2021-07-22	797792	547410	1096398	247	No intervention
2021-07-23	797954	544443	1099631	162	No intervention
2021-07-24	798129	541409	1105546	175	No intervention
2021-07-25	798299	538833	1109005	170	No intervention
2021-07-26	798423	536785	1112542	124	No intervention
2021-07-27	798557	533756	1117119	134	No intervention
2021-07-28	798605	531144	1120227	48	No intervention
2021-07-29	798764	529677	1123934	159	No intervention
2021-07-30	798857	526773	1127102	93	No intervention
2021-07-31	798973	523792	1131290	116	No intervention
2021-08-01	799117	521034	1134688	144	No intervention
2021-08-02	799206	519005	1137148	89	No intervention
2021-08-03	799389	516507	1140566	183	No intervention
2021-08-04	799635	514184	1144162	246	No intervention
2021-08-05	799782	512112	1147691	147	No intervention
2021-08-06	799981	510063	1151490	199	No intervention
2021-08-07	800054	507623	1155075	73	No intervention
2021-08-08	800169	504885	1158763	115	No intervention
2021-08-09	800364	503017	1162012	195	No intervention
2021-08-10	800417	500919	1165211	53	No intervention
2021-08-11	800632	498650	1169181	215	No intervention
2021-08-12	800867	496210	1171620	235	No intervention
2021-08-13	800944	494370	1175509	77	No intervention
2021-08-14	801175	492697	1177123	231	No intervention
2021-08-15	801237	491336	1179885	62	No intervention
2021-08-16	801415	488667	1182831	178	No intervention
2021-08-17	801470	486844	1187565	55	No intervention
2021-08-18	801634	485004	1190278	164	No intervention
2021-08-19	801741	482268	1193070	107	No intervention
2021-08-20	801931	480545	1196980	190	No intervention
2021-08-21	802096	478808	1199965	165	No intervention
2021-08-22	802242	477147	1202167	146	No intervention
2021-08-23	802391	474334	1206207	149	No intervention
2021-08-24	802445	472401	1207917	54	No intervention
2021-08-25	802616	470290	1211169	171	No intervention
2021-08-26	802706	468294	1214222	90	No intervention
2021-08-27	802843	465549	1217797	137	No intervention
2021-08-28	802963	464141	1220679	120	No intervention
2021-08-29	803098	461914	1223402	135	No intervention
2021-08-30	803256	460685	1226482	158	No intervention
2021-08-31	803334	457652	1229608	78	No intervention
2021-09-01	803466	456816	1231964	132	No intervention
2021-09-02	803542	454541	1234855	76	No intervention
2021-09-03	803639	453195	1237051	97	No intervention
2021-09-04	803796	451473	1240448	157	No intervention
2021-09-05	803920	449611	1242888	124	No intervention
2021-09-06	804096	447671	1247169	176	No intervention
2021-09-07	804177	446526	1248713	81	No intervention
2021-09-08	804297	444519	1250990	120	No intervention
2021-09-09	804405	442517	1254101	108	No intervention
2021-09-10	804506	441389	1257860	101	No intervention
2021-09-11	804626	439141	1260224	120	No intervention
2021-09-12	804652	437556	1261126	26	No intervention
2021-09-13	804715	435375	1265188	63	No intervention
2021-09-14	804844	434265	1267255	129	No intervention
2021-09-15	805043	432829	1269217	199	No intervention
2021-09-16	805208	430888	1272533	165	No intervention
2021-09-17	805324	429873	1275683	116	No intervention
2021-09-18	805530	427340	1277846	206	No intervention
2021-09-19	805605	426586	1279315	75	No intervention
2021-09-20	805794	424843	1283575	189	No intervention
2021-09-21	805862	422834	1285431	68	No intervention
2021-09-22	805910	421593	1287378	48	No intervention
2021-09-23	806007	420126	1289279	97	No intervention
2021-09-24	806134	417904	1291750	127	No intervention
2021-09-25	806237	416497	1294486	103	No intervention
2021-09-26	806414	414854	1297954	177	No intervention
2021-09-27	806484	413240	1300279	70	No intervention
2021-09-28	806664	412108	1303426	180	No intervention
2021-09-29	806713	411015	1305158	49	No intervention
2021-09-30	806779	409657	1307517	66	No intervention
2021-10-01	806847	407063	1308199	68	No intervention
2021-10-02	806959	406225	1310863	112	No intervention
2021-10-03	807011	404351	1314451	52	No intervention
2021-10-04	807119	403368	1317437	108	No intervention
2021-10-05	807252	401482	1318962	133	No intervention
2021-10-06	807349	400060	1322691	97	No intervention
2021-10-07	807404	398330	1323375	55	No intervention
2021-10-08	807467	397772	1325250	63	No intervention
2021-10-09	807597	395596	1326798	130	No intervention
2021-10-10	807636	394546	1329924	39	No intervention
2021-10-11	807717	392888	1332163	81	No intervention
2021-10-12	807718	391606	1336153	1	No intervention
2021-10-13	807818	390751	1335954	100	No intervention
2021-10-14	807963	389337	1340838	145	No intervention
2021-10-15	808121	387928	1342290	158	No intervention
2021-10-16	808310	385472	1345558	189	No intervention
