date	value	lower_ci	upper_ci	incidence	scenario
2021-06-14	18735	17419	20097	NA	No intervention
2021-06-15	19003	17432	20633	268	No intervention
2021-06-16	19275	17466	21160	272	No intervention
2021-06-17	19552	17534	21667	277	No intervention
2021-06-18	19831	17609	22170	279	No intervention
2021-06-19	20115	17689	22667	284	No intervention
2021-06-20	20404	17781	23173	289	No intervention
2021-06-21	20695	17876	23680	291	No intervention
2021-06-22	20994	17991	24189	299	No intervention
2021-06-23	21297	18100	24719	303	No intervention
2021-06-24	21601	18219	25239	304	No intervention
2021-06-25	21911	18344	25743	310	No intervention
2021-06-26	22225	18459	26291	314	No intervention
2021-06-27	22542	18582	26837	317	No intervention
2021-06-28	22865	18712	27375	323	No intervention
2021-06-29	23195	18850	27931	330	No intervention
2021-06-30	23527	18994	28507	332	No intervention
2021-07-01	23866	19134	29083	339	No intervention
2021-07-02	24209	19277	29676	343	No intervention
2021-07-03	24558	19435	30274	349	No intervention
2021-07-04	24911	19587	30882	353	No intervention
2021-07-05	25270	19732	31519	359	No intervention
2021-07-06	25633	19900	32165	363	No intervention
2021-07-07	26001	20044	32812	368	No intervention
2021-07-08	26374	20196	33461	373	No intervention
2021-07-09	26754	20356	34140	380	No intervention
2021-07-10	27138	20525	34806	384	No intervention
2021-07-11	27529	20691	35511	391	No intervention
2021-07-12	27924	20849	36201	395	No intervention
2021-07-13	28325	21014	36944	401	No intervention
2021-07-14	28733	21177	37701	408	No intervention
2021-07-15	29146	21364	38455	413	No intervention
2021-07-16	29565	21520	39240	419	No intervention
2021-07-17	29990	21695	39998	425	No intervention
2021-07-18	30420	21870	40808	430	No intervention
2021-07-19	30855	22032	41615	435	No intervention
2021-07-20	31296	22219	42450	441	No intervention
2021-07-21	31743	22390	43296	447	No intervention
2021-07-22	32198	22575	44162	455	No intervention
2021-07-23	32659	22748	45037	461	No intervention
2021-07-24	33126	22925	45956	467	No intervention
2021-07-25	33599	23111	46861	473	No intervention
2021-07-26	34079	23314	47812	480	No intervention
2021-07-27	34566	23480	48793	487	No intervention
2021-07-28	35058	23687	49763	492	No intervention
2021-07-29	35558	23870	50780	500	No intervention
2021-07-30	36064	24057	51795	506	No intervention
2021-07-31	36574	24233	52821	510	No intervention
2021-08-01	37092	24422	53877	518	No intervention
2021-08-02	37618	24624	54963	526	No intervention
2021-08-03	38152	24813	56056	534	No intervention
2021-08-04	38690	25004	57155	538	No intervention
2021-08-05	39237	25208	58297	547	No intervention
2021-08-06	39791	25401	59444	554	No intervention
2021-08-07	40350	25579	60610	559	No intervention
2021-08-08	40917	25804	61804	567	No intervention
2021-08-09	41491	25980	63048	574	No intervention
2021-08-10	42073	26187	64252	582	No intervention
2021-08-11	42663	26409	65518	590	No intervention
2021-08-12	43259	26587	66790	596	No intervention
2021-08-13	43862	26799	68105	603	No intervention
2021-08-14	44473	26998	69409	611	No intervention
2021-08-15	45092	27204	70807	619	No intervention
2021-08-16	45717	27418	72106	625	No intervention
2021-08-17	46349	27608	73536	632	No intervention
