date	value	lower_ci	upper_ci	incidence	scenario
2021-06-17	62573	57674	67631	NA	No intervention
2021-06-18	63373	57498	69463	800	No intervention
2021-06-19	64196	57451	71248	823	No intervention
2021-06-20	65030	57444	73021	834	No intervention
2021-06-21	65884	57495	74773	854	No intervention
2021-06-22	66762	57588	76507	878	No intervention
2021-06-23	67654	57699	78326	892	No intervention
2021-06-24	68572	57867	80084	918	No intervention
2021-06-25	69510	58029	81965	938	No intervention
2021-06-26	70472	58181	83845	962	No intervention
2021-06-27	71455	58381	85787	983	No intervention
2021-06-28	72456	58662	87728	1001	No intervention
2021-06-29	73480	58854	89740	1024	No intervention
2021-06-30	74538	59148	91829	1058	No intervention
2021-07-01	75615	59407	93962	1077	No intervention
2021-07-02	76713	59641	96194	1098	No intervention
2021-07-03	77846	59894	98490	1133	No intervention
2021-07-04	79001	60190	100751	1155	No intervention
2021-07-05	80182	60479	103171	1181	No intervention
2021-07-06	81389	60797	105667	1207	No intervention
2021-07-07	82630	61072	108243	1241	No intervention
2021-07-08	83896	61396	110853	1266	No intervention
2021-07-09	85192	61736	113552	1296	No intervention
2021-07-10	86519	62056	116288	1327	No intervention
2021-07-11	87878	62446	119147	1359	No intervention
2021-07-12	89269	62698	122182	1391	No intervention
2021-07-13	90690	63127	125191	1421	No intervention
2021-07-14	92145	63527	128347	1455	No intervention
2021-07-15	93637	63926	131665	1492	No intervention
2021-07-16	95165	64296	135053	1528	No intervention
2021-07-17	96719	64602	138518	1554	No intervention
2021-07-18	98314	65073	142142	1595	No intervention
2021-07-19	99954	65467	145840	1640	No intervention
2021-07-20	101625	65805	149670	1671	No intervention
2021-07-21	103335	66225	153764	1710	No intervention
2021-07-22	105076	66693	157855	1741	No intervention
2021-07-23	106871	67114	162081	1795	No intervention
2021-07-24	108697	67450	166370	1826	No intervention
2021-07-25	110576	67888	170902	1879	No intervention
2021-07-26	112490	68310	175367	1914	No intervention
2021-07-27	114449	68781	180291	1959	No intervention
2021-07-28	116447	69193	185184	1998	No intervention
2021-07-29	118497	69639	190241	2050	No intervention
2021-07-30	120585	70084	195476	2088	No intervention
2021-07-31	122725	70497	200745	2140	No intervention
2021-08-01	124922	70943	206451	2197	No intervention
2021-08-02	127170	71405	212132	2248	No intervention
2021-08-03	129448	71818	217903	2278	No intervention
2021-08-04	131787	72455	224251	2339	No intervention
2021-08-05	134181	72865	230473	2394	No intervention
2021-08-06	136624	73293	237021	2443	No intervention
2021-08-07	139123	73811	243621	2499	No intervention
2021-08-08	141675	74266	250391	2552	No intervention
2021-08-09	144286	74709	257365	2611	No intervention
2021-08-10	146956	75186	264564	2670	No intervention
2021-08-11	149680	75793	272128	2724	No intervention
2021-08-12	152457	76361	279743	2777	No intervention
2021-08-13	155292	76794	287400	2835	No intervention
2021-08-14	158188	77376	295447	2896	No intervention
2021-08-15	161150	77881	303748	2962	No intervention
2021-08-16	164171	78487	312002	3021	No intervention
2021-08-17	167247	79004	321008	3076	No intervention
2021-08-18	170395	79550	330003	3148	No intervention
2021-08-19	173608	80101	338879	3213	No intervention
2021-08-20	176881	80647	347718	3273	No intervention
2021-08-21	180219	81173	357561	3338	No intervention
2021-08-22	183623	81755	367671	3404	No intervention
2021-08-23	187094	82241	377702	3471	No intervention
2021-08-24	190629	82805	388232	3535	No intervention
2021-08-25	194231	83363	398355	3602	No intervention
2021-08-26	197900	83930	408944	3669	No intervention
2021-08-27	201632	84375	419959	3732	No intervention
2021-08-28	205430	85032	431358	3798	No intervention
2021-08-29	209299	85656	442563	3869	No intervention
2021-08-30	213244	86277	454393	3945	No intervention
2021-08-31	217256	86859	466272	4012	No intervention
2021-09-01	221339	87404	478184	4083	No intervention
2021-09-02	225487	88010	490727	4148	No intervention
2021-09-03	229715	88600	502981	4228	No intervention
2021-09-04	234015	89152	515568	4300	No intervention
2021-09-05	238384	89775	528559	4369	No intervention
2021-09-06	242817	90407	541847	4433	No intervention
2021-09-07	247320	91086	555384	4503	No intervention
2021-09-08	251890	91709	568672	4570	No intervention
2021-09-09	256534	92242	582712	4644	No intervention
2021-09-10	261243	92898	596740	4709	No intervention
2021-09-11	266024	93550	611453	4781	No intervention
2021-09-12	270876	94077	625764	4852	No intervention
2021-09-13	275798	94716	640766	4922	No intervention
2021-09-14	280779	95444	655627	4981	No intervention
2021-09-15	285831	96031	670534	5052	No intervention
2021-09-16	290935	96705	685638	5104	No intervention
2021-09-17	296131	97399	701198	5196	No intervention
2021-09-18	301385	98041	716280	5254	No intervention
2021-09-19	306703	98673	731828	5318	No intervention
2021-09-20	312082	99355	747448	5379	No intervention
2021-09-21	317526	100062	763575	5444	No intervention
2021-09-22	323039	100626	780005	5513	No intervention
2021-09-23	328598	101491	796142	5559	No intervention
2021-09-24	334221	102223	811627	5623	No intervention
2021-09-25	339902	102793	828186	5681	No intervention
2021-09-26	345651	103518	844636	5749	No intervention
2021-09-27	351449	104329	861171	5798	No intervention
2021-09-28	357307	104840	878033	5858	No intervention
2021-09-29	363229	105688	895035	5922	No intervention
2021-09-30	369193	106439	912050	5964	No intervention
2021-10-01	375201	107063	929038	6008	No intervention
2021-10-02	381277	107695	946073	6076	No intervention
2021-10-03	387391	108447	962505	6114	No intervention
2021-10-04	393557	109212	979975	6166	No intervention
2021-10-05	399765	109896	996908	6208	No intervention
2021-10-06	406016	110560	1014926	6251	No intervention
2021-10-07	412311	111457	1030725	6295	No intervention
2021-10-08	418651	111938	1048546	6340	No intervention
2021-10-09	425026	112757	1065932	6375	No intervention
2021-10-10	431438	113629	1082531	6412	No intervention
2021-10-11	437889	114361	1099795	6451	No intervention
2021-10-12	444360	115053	1116749	6471	No intervention
2021-10-13	450891	115881	1133295	6531	No intervention
2021-10-14	457443	116667	1150557	6552	No intervention
2021-10-15	464024	117320	1167072	6581	No intervention
2021-10-16	470632	118039	1183798	6608	No intervention
2021-10-17	477269	118759	1200309	6637	No intervention
2021-10-18	483923	119563	1216870	6654	No intervention
2021-10-19	490599	120227	1233796	6676	No intervention
2021-10-20	497296	121169	1250112	6697	No intervention
2021-10-21	504027	121733	1267062	6731	No intervention
2021-10-22	510767	122563	1282931	6740	No intervention
2021-10-23	517520	123278	1299849	6753	No intervention
2021-10-24	524295	124120	1316244	6775	No intervention
2021-10-25	531071	124705	1331887	6776	No intervention
2021-10-26	537873	125553	1347467	6802	No intervention
2021-10-27	544680	126240	1362604	6807	No intervention
2021-10-28	551514	127259	1378385	6834	No intervention
2021-10-29	558331	127983	1393811	6817	No intervention
2021-10-30	565155	128792	1409472	6824	No intervention
2021-10-31	571989	129737	1424813	6834	No intervention
2021-11-01	578828	130418	1440474	6839	No intervention
2021-11-02	585672	131220	1455216	6844	No intervention
2021-11-03	592517	132202	1470450	6845	No intervention
2021-11-04	599343	133021	1485241	6826	No intervention
2021-11-05	606169	134040	1499833	6826	No intervention
2021-11-06	612988	134479	1514967	6819	No intervention
2021-11-07	619812	135353	1529397	6824	No intervention
2021-11-08	626628	136198	1543372	6816	No intervention
2021-11-09	633438	136951	1558019	6810	No intervention
2021-11-10	640229	137703	1571906	6791	No intervention
2021-11-11	647006	138817	1585899	6777	No intervention
2021-11-12	653762	139776	1599224	6756	No intervention
2021-11-13	660509	140259	1612495	6747	No intervention
2021-11-14	667228	140977	1625588	6719	No intervention
2021-11-15	673948	141811	1638457	6720	No intervention
2021-11-16	680638	142550	1650763	6690	No intervention
2021-11-17	687307	143545	1663057	6669	No intervention
2021-11-18	693954	144112	1675160	6647	No intervention
