date	value	incidence	scenario	lower_ci	upper_ci
2021-05-03	600430	NA	Observed	NA	NA
2021-05-04	612666	12236	Observed	NA	NA
2021-05-05	624985	12319	Observed	NA	NA
2021-05-06	637406	12421	Observed	NA	NA
2021-05-07	649114	11708	Observed	NA	NA
2021-05-08	660712	11598	Observed	NA	NA
2021-05-09	671763	11051	Observed	NA	NA
2021-05-10	681478	9715	Observed	NA	NA
2021-05-11	691232	9754	Observed	NA	NA
2021-05-12	700202	8970	Observed	NA	NA
2021-05-13	708621	8419	Observed	NA	NA
2021-05-14	716708	8087	Observed	NA	NA
2021-05-15	724279	7571	Observed	NA	NA
2021-05-16	731385	7106	Observed	NA	NA
2021-05-17	737306	5921	Observed	NA	NA
2021-05-18	742718	5412	Observed	NA	NA
2021-05-19	747783	5065	Observed	NA	NA
2021-05-20	752735	4952	Observed	NA	NA
2021-05-21	757119	4384	Observed	NA	NA
2021-05-22	760963	3844	Observed	NA	NA
2021-05-23	764338	3375	Observed	NA	NA
2021-05-24	767274	2936	Observed	NA	NA
2021-05-25	769696	2422	Observed	NA	NA
2021-05-26	771878	2182	Observed	NA	NA
2021-05-27	773855	1977	Observed	NA	NA
2021-05-28	775709	1854	Observed	NA	NA
2021-05-29	777349	1640	Observed	NA	NA
2021-05-30	778825	1476	Observed	NA	NA
2021-05-31	780030	1205	Observed	NA	NA
2021-06-01	781108	1078	Observed	NA	NA
2021-06-02	782099	991	Observed	NA	NA
2021-06-03	782945	846	Observed	NA	NA
2021-06-04	783743	798	Observed	NA	NA
2021-06-05	784461	718	Observed	NA	NA
2021-06-06	785196	735	Observed	NA	NA
2021-06-07	785767	571	Observed	NA	NA
2021-06-08	786302	535	Observed	NA	NA
2021-06-09	786755	453	Observed	NA	NA
2021-06-10	787175	420	Observed	NA	NA
2021-06-11	787572	397	Observed	NA	NA
2021-06-12	787906	334	Observed	NA	NA
2021-06-13	788183	277	Observed	NA	NA
2021-06-14	788425	242	Observed	NA	NA
2021-06-15	788649	224	Observed	NA	NA
2021-06-16	788809	160	Observed	NA	NA
2021-06-17	788900	NA	No intervention	721219	860867
2021-06-18	789195	295	No intervention	710150	874355
2021-06-19	789444	249	No intervention	700616	885903
2021-06-20	789620	176	No intervention	692067	896934
2021-06-21	789909	289	No intervention	684032	906411
2021-06-22	790151	242	No intervention	677325	914969
2021-06-23	790286	135	No intervention	670814	923635
2021-06-24	790490	204	No intervention	664102	931227
2021-06-25	790660	170	No intervention	658644	938652
2021-06-26	790841	181	No intervention	653316	946013
2021-06-27	790914	73	No intervention	647531	952447
2021-06-28	791058	144	No intervention	642493	958981
2021-06-29	791195	137	No intervention	638347	966552
2021-06-30	791322	127	No intervention	633019	972085
2021-07-01	791547	225	No intervention	628412	978976
2021-07-02	791768	221	No intervention	624937	984719
2021-07-03	791918	150	No intervention	620629	989615
2021-07-04	792075	157	No intervention	616258	995180
2021-07-05	792184	109	No intervention	612142	1000928
2021-07-06	792431	247	No intervention	608895	1006979
2021-07-07	792580	149	No intervention	605045	1011423
2021-07-08	792808	228	No intervention	600924	1017048
2021-07-09	793006	198	No intervention	597193	1022589
2021-07-10	793164	158	No intervention	594187	1027346
2021-07-11	793314	150	No intervention	590437	1030893
2021-07-12	793465	151	No intervention	587331	1036432
2021-07-13	793610	145	No intervention	583687	1040622
2021-07-14	793797	187	No intervention	580798	1044576
2021-07-15	793997	200	No intervention	577733	1049655
2021-07-16	794137	140	No intervention	574875	1055278
2021-07-17	794266	129	No intervention	571996	1058968
2021-07-18	794460	194	No intervention	569811	1063258
2021-07-19	794521	61	No intervention	565900	1066925
2021-07-20	794737	216	No intervention	562492	1071823
2021-07-21	794838	101	No intervention	559983	1075105
2021-07-22	794938	100	No intervention	556604	1078412
2021-07-23	795060	122	No intervention	554006	1082694
2021-07-24	795194	134	No intervention	551402	1086813
2021-07-25	795314	120	No intervention	549238	1091226
2021-07-26	795439	125	No intervention	546276	1094830
2021-07-27	795627	188	No intervention	543014	1098956
2021-07-28	795762	135	No intervention	540601	1102999
2021-07-29	795945	183	No intervention	537977	1105969
2021-07-30	796005	60	No intervention	535557	1109274
2021-07-31	796148	143	No intervention	531798	1113670
2021-08-01	796326	178	No intervention	529824	1117868
2021-08-02	796452	126	No intervention	527745	1121478
2021-08-03	796556	104	No intervention	524831	1124555
2021-08-04	796630	74	No intervention	522670	1127782
2021-08-05	796756	126	No intervention	520304	1130639
2021-08-06	796825	69	No intervention	518039	1133959
2021-08-07	796983	158	No intervention	515949	1136832
2021-08-08	797103	120	No intervention	513177	1141610
2021-08-09	797211	108	No intervention	511728	1144007
2021-08-10	797340	129	No intervention	509291	1148137
2021-08-11	797441	101	No intervention	506815	1152096
2021-08-12	797533	92	No intervention	504764	1154004
2021-08-13	797556	23	No intervention	502070	1156566
2021-08-14	797710	154	No intervention	500094	1160717
2021-08-15	797842	132	No intervention	497684	1162732
2021-08-16	797918	76	No intervention	495222	1166249
2021-08-17	798052	134	No intervention	492882	1170262
2021-08-18	798094	42	No intervention	491047	1172858
2021-08-19	798137	43	No intervention	488827	1177070
2021-08-20	798322	185	No intervention	487225	1179818
2021-08-21	798421	99	No intervention	485629	1182251
2021-08-22	798475	54	No intervention	483129	1184983
2021-08-23	798624	149	No intervention	480912	1188088
