date	value	lower_ci	upper_ci	incidence	scenario
2021-06-19	591879	553419	631827	NA	No intervention
2021-06-20	592546	547652	639699	667	No intervention
2021-06-21	593252	542640	646761	706	No intervention
2021-06-22	593900	538268	653136	648	No intervention
2021-06-23	594551	534360	658871	651	No intervention
2021-06-24	595203	530854	664248	652	No intervention
2021-06-25	595813	527675	669535	610	No intervention
2021-06-26	596448	524568	674306	635	No intervention
2021-06-27	597033	521416	679035	585	No intervention
2021-06-28	597604	518609	683136	571	No intervention
2021-06-29	598197	516442	687709	593	No intervention
2021-06-30	598759	513836	691140	562	No intervention
2021-07-01	599294	511590	695424	535	No intervention
2021-07-02	599873	509465	699346	579	No intervention
2021-07-03	600420	507131	703284	547	No intervention
2021-07-04	600961	505242	706478	541	No intervention
2021-07-05	601453	503212	710333	492	No intervention
2021-07-06	601925	501521	713941	472	No intervention
2021-07-07	602445	499769	717282	520	No intervention
2021-07-08	602890	498224	720463	445	No intervention
2021-07-09	603328	496272	723919	438	No intervention
2021-07-10	603807	494791	726914	479	No intervention
2021-07-11	604203	493148	730505	396	No intervention
2021-07-12	604574	491696	733437	371	No intervention
2021-07-13	605021	489832	736180	447	No intervention
2021-07-14	605430	488300	739219	409	No intervention
2021-07-15	605874	486722	741802	444	No intervention
2021-07-16	606254	485036	744834	380	No intervention
2021-07-17	606675	484155	747037	421	No intervention
2021-07-18	607050	482293	750096	375	No intervention
2021-07-19	607447	481046	752873	397	No intervention
2021-07-20	607799	479355	755340	352	No intervention
2021-07-21	608152	478484	758351	353	No intervention
2021-07-22	608544	476926	761382	392	No intervention
2021-07-23	608867	475472	763536	323	No intervention
2021-07-24	609179	473803	765579	312	No intervention
2021-07-25	609533	472642	768588	354	No intervention
2021-07-26	609844	471470	770775	311	No intervention
2021-07-27	610178	470362	773519	334	No intervention
2021-07-28	610499	468812	775729	321	No intervention
2021-07-29	610747	467022	777982	248	No intervention
2021-07-30	611026	465883	779833	279	No intervention
2021-07-31	611345	464538	783233	319	No intervention
2021-08-01	611608	463592	785575	263	No intervention
2021-08-02	611950	461778	787795	342	No intervention
2021-08-03	612224	460921	790553	274	No intervention
2021-08-04	612463	460008	792339	239	No intervention
2021-08-05	612769	458785	794461	306	No intervention
2021-08-06	613018	457573	796797	249	No intervention
2021-08-07	613270	455990	798987	252	No intervention
2021-08-08	613518	454953	801068	248	No intervention
2021-08-09	613727	454092	803274	209	No intervention
2021-08-10	613965	452509	805524	238	No intervention
2021-08-11	614226	451335	807524	261	No intervention
2021-08-12	614459	450460	809351	233	No intervention
2021-08-13	614716	449506	811360	257	No intervention
2021-08-14	614946	447958	813827	230	No intervention
2021-08-15	615151	446823	815654	205	No intervention
2021-08-16	615402	445821	817625	251	No intervention
2021-08-17	615601	444491	819785	199	No intervention
2021-08-18	615794	443672	821549	193	No intervention
2021-08-19	616042	442809	823764	248	No intervention
2021-08-20	616236	441468	825764	194	No intervention
2021-08-21	616490	440617	827729	254	No intervention
2021-08-22	616697	439899	829388	207	No intervention
2021-08-23	616966	438692	831582	269	No intervention
2021-08-24	617178	437404	833622	212	No intervention
2021-08-25	617334	436132	835350	156	No intervention
2021-08-26	617509	435261	837291	175	No intervention
2021-08-27	617692	433603	839000	183	No intervention
2021-08-28	617895	432947	840130	203	No intervention
2021-08-29	618078	431725	842716	183	No intervention
2021-08-30	618238	431227	844134	160	No intervention
2021-08-31	618371	429520	845964	133	No intervention
2021-09-01	618466	428938	847534	95	No intervention
2021-09-02	618577	427614	849496	111	No intervention
2021-09-03	618755	426356	850645	178	No intervention
2021-09-04	618904	425964	852376	149	No intervention
2021-09-05	619049	424889	854849	145	No intervention
2021-09-06	619196	423405	855874	147	No intervention
2021-09-07	619389	422495	858024	193	No intervention
2021-09-08	619512	421184	859139	123	No intervention
2021-09-09	619657	420007	861173	145	No intervention
2021-09-10	619816	419223	862379	159	No intervention
2021-09-11	619926	418276	864858	110	No intervention
