date	value	lower_ci	upper_ci	incidence	scenario
2021-06-20	62146	56879	67619	NA	No intervention
2021-06-21	62541	56310	69112	395	No intervention
2021-06-22	62942	55806	70481	401	No intervention
2021-06-23	63343	55390	71764	401	No intervention
2021-06-24	63749	55077	73018	406	No intervention
2021-06-25	64158	54745	74254	409	No intervention
2021-06-26	64579	54495	75511	421	No intervention
2021-06-27	65001	54264	76738	422	No intervention
2021-06-28	65438	54072	77925	437	No intervention
2021-06-29	65870	53888	79121	432	No intervention
2021-06-30	66307	53710	80348	437	No intervention
2021-07-01	66760	53548	81568	453	No intervention
2021-07-02	67218	53388	82807	458	No intervention
2021-07-03	67681	53254	84065	463	No intervention
2021-07-04	68150	53143	85358	469	No intervention
2021-07-05	68625	53066	86589	475	No intervention
2021-07-06	69105	52981	87837	480	No intervention
2021-07-07	69594	52834	89248	489	No intervention
2021-07-08	70093	52738	90569	499	No intervention
2021-07-09	70593	52673	91893	500	No intervention
2021-07-10	71108	52659	93244	515	No intervention
2021-07-11	71622	52554	94638	514	No intervention
2021-07-12	72147	52519	96108	525	No intervention
2021-07-13	72687	52501	97585	540	No intervention
2021-07-14	73228	52415	99149	541	No intervention
2021-07-15	73779	52369	100768	551	No intervention
2021-07-16	74336	52273	102227	557	No intervention
2021-07-17	74905	52276	103890	569	No intervention
2021-07-18	75481	52265	105554	576	No intervention
2021-07-19	76064	52195	107205	583	No intervention
2021-07-20	76661	52152	108936	597	No intervention
2021-07-21	77262	52163	110703	601	No intervention
2021-07-22	77883	52126	112556	621	No intervention
2021-07-23	78508	52152	114465	625	No intervention
2021-07-24	79143	52118	116394	635	No intervention
2021-07-25	79787	52110	118393	644	No intervention
2021-07-26	80448	52131	120366	661	No intervention
2021-07-27	81114	52132	122549	666	No intervention
2021-07-28	81792	52080	124611	678	No intervention
2021-07-29	82479	52172	126778	687	No intervention
2021-07-30	83177	52126	129068	698	No intervention
2021-07-31	83884	52139	131423	707	No intervention
2021-08-01	84607	52115	133734	723	No intervention
2021-08-02	85342	52168	136131	735	No intervention
2021-08-03	86089	52173	138654	747	No intervention
2021-08-04	86852	52184	141228	763	No intervention
2021-08-05	87627	52239	143971	775	No intervention
2021-08-06	88407	52163	146823	780	No intervention
2021-08-07	89204	52176	149559	797	No intervention
2021-08-08	90016	52248	152275	812	No intervention
2021-08-09	90834	52261	155230	818	No intervention
2021-08-10	91677	52268	158374	843	No intervention
2021-08-11	92532	52239	161457	855	No intervention
2021-08-12	93400	52287	164690	868	No intervention
2021-08-13	94278	52292	167885	878	No intervention
2021-08-14	95175	52387	171559	897	No intervention
2021-08-15	96085	52376	174842	910	No intervention
2021-08-16	97012	52408	178434	927	No intervention
2021-08-17	97948	52347	181920	936	No intervention
2021-08-18	98908	52450	185494	960	No intervention
2021-08-19	99885	52433	189507	977	No intervention
2021-08-20	100873	52439	193346	988	No intervention
2021-08-21	101879	52445	197364	1006	No intervention
2021-08-22	102909	52509	201530	1030	No intervention
2021-08-23	103956	52511	205586	1047	No intervention
2021-08-24	105025	52571	209915	1069	No intervention
2021-08-25	106104	52535	214674	1079	No intervention
2021-08-26	107208	52622	219120	1104	No intervention
2021-08-27	108323	52637	223684	1115	No intervention
2021-08-28	109462	52665	228314	1139	No intervention
2021-08-29	110615	52725	233104	1153	No intervention
2021-08-30	111794	52713	238071	1179	No intervention
2021-08-31	112986	52716	243291	1192	No intervention
2021-09-01	114203	52710	248733	1217	No intervention
2021-09-02	115441	52747	253951	1238	No intervention
2021-09-03	116705	52795	259386	1264	No intervention
2021-09-04	117987	52778	265339	1282	No intervention
2021-09-05	119286	52753	271034	1299	No intervention
2021-09-06	120604	52886	277092	1318	No intervention
2021-09-07	121946	52848	282944	1342	No intervention
2021-09-08	123316	52861	289074	1370	No intervention
2021-09-09	124701	52939	295152	1385	No intervention
2021-09-10	126110	52984	301946	1409	No intervention
2021-09-11	127540	52967	308224	1430	No intervention
2021-09-12	128995	53064	315031	1455	No intervention
2021-09-13	130468	53056	322096	1473	No intervention
2021-09-14	131970	53167	328923	1502	No intervention
2021-09-15	133502	53129	336150	1532	No intervention
2021-09-16	135052	53144	343726	1550	No intervention
2021-09-17	136627	53151	351519	1575	No intervention
2021-09-18	138230	53152	359219	1603	No intervention
2021-09-19	139850	53195	367227	1620	No intervention
2021-09-20	141493	53225	375034	1643	No intervention
2021-09-21	143163	53232	383267	1670	No intervention
2021-09-22	144862	53240	391108	1699	No intervention
2021-09-23	146584	53214	399657	1722	No intervention
2021-09-24	148333	53309	408017	1749	No intervention
2021-09-25	150105	53324	417042	1772	No intervention
2021-09-26	151902	53323	426039	1797	No intervention
2021-09-27	153727	53315	434926	1825	No intervention
2021-09-28	155584	53375	444334	1857	No intervention
2021-09-29	157458	53409	453680	1874	No intervention
2021-09-30	159361	53424	463762	1903	No intervention
2021-10-01	161286	53470	473126	1925	No intervention
2021-10-02	163241	53442	482892	1955	No intervention
2021-10-03	165228	53518	492670	1987	No intervention
2021-10-04	167231	53533	503266	2003	No intervention
2021-10-05	169266	53556	513034	2035	No intervention
2021-10-06	171321	53567	523601	2055	No intervention
2021-10-07	173401	53571	534836	2080	No intervention
2021-10-08	175513	53620	545094	2112	No intervention
2021-10-09	177644	53785	555981	2131	No intervention
2021-10-10	179806	53879	566831	2162	No intervention
2021-10-11	181994	53818	577592	2188	No intervention
2021-10-12	184213	53844	589250	2219	No intervention
2021-10-13	186454	53812	600846	2241	No intervention
2021-10-14	188736	53855	613223	2282	No intervention
2021-10-15	191030	53847	624737	2294	No intervention
2021-10-16	193353	53830	637195	2323	No intervention
2021-10-17	195700	53878	649133	2347	No intervention
2021-10-18	198059	53905	661583	2359	No intervention
2021-10-19	200457	54023	673701	2398	No intervention
2021-10-20	202881	54059	686585	2424	No intervention
2021-10-21	205322	54002	699450	2441	No intervention
2021-10-22	207793	54057	712680	2471	No intervention
2021-10-23	210280	54088	726779	2487	No intervention
2021-10-24	212799	54068	740987	2519	No intervention
2021-10-25	215346	54048	753858	2547	No intervention
2021-10-26	217918	54039	767211	2572	No intervention
2021-10-27	220511	54114	781582	2593	No intervention
2021-10-28	223129	54122	794396	2618	No intervention
2021-10-29	225768	54108	808939	2639	No intervention
2021-10-30	228430	54164	822650	2662	No intervention
2021-10-31	231122	54117	837069	2692	No intervention
2021-11-01	233827	54188	851168	2705	No intervention
2021-11-02	236568	54290	864203	2741	No intervention
2021-11-03	239318	54283	878181	2750	No intervention
2021-11-04	242099	54342	892793	2781	No intervention
2021-11-05	244904	54410	907263	2805	No intervention
2021-11-06	247716	54436	922398	2812	No intervention
2021-11-07	250544	54428	937067	2828	No intervention
2021-11-08	253409	54461	951016	2865	No intervention
2021-11-09	256291	54465	965823	2882	No intervention
2021-11-10	259192	54504	981255	2901	No intervention
2021-11-11	262106	54494	994879	2914	No intervention
2021-11-12	265042	54590	1009533	2936	No intervention
2021-11-13	268002	54589	1025382	2960	No intervention
2021-11-14	270987	54501	1040600	2985	No intervention
2021-11-15	273973	54572	1054683	2986	No intervention
2021-11-16	276984	54515	1068789	3011	No intervention
2021-11-17	280020	54536	1085750	3036	No intervention
2021-11-18	283065	54546	1100800	3045	No intervention
2021-11-19	286115	54592	1114800	3050	No intervention
2021-11-20	289182	54631	1129025	3067	No intervention
2021-11-21	292276	54725	1145251	3094	No intervention
