date	value	incidence	scenario	lower_ci	upper_ci
2021-05-18	925531	NA	Observed	NA	NA
2021-05-19	931211	5680	Observed	NA	NA
2021-05-20	936423	5212	Observed	NA	NA
2021-05-21	941366	4943	Observed	NA	NA
2021-05-22	945694	4328	Observed	NA	NA
2021-05-23	949000	3306	Observed	NA	NA
2021-05-24	953209	4209	Observed	NA	NA
2021-05-25	956715	3506	Observed	NA	NA
2021-05-26	959544	2829	Observed	NA	NA
2021-05-27	962368	2824	Observed	NA	NA
2021-05-28	965208	2840	Observed	NA	NA
2021-05-29	967645	2437	Observed	NA	NA
2021-05-30	969300	1655	Observed	NA	NA
2021-05-31	971463	2163	Observed	NA	NA
2021-06-01	973349	1886	Observed	NA	NA
2021-06-02	975141	1792	Observed	NA	NA
2021-06-03	976760	1619	Observed	NA	NA
2021-06-04	978220	1460	Observed	NA	NA
2021-06-05	979576	1356	Observed	NA	NA
2021-06-06	980575	999	Observed	NA	NA
2021-06-07	981860	1285	Observed	NA	NA
2021-06-08	982962	1102	Observed	NA	NA
2021-06-09	983916	954	Observed	NA	NA
2021-06-10	984950	1034	Observed	NA	NA
2021-06-11	985691	741	Observed	NA	NA
2021-06-12	986504	813	Observed	NA	NA
2021-06-13	986963	459	Observed	NA	NA
2021-06-14	987563	600	Observed	NA	NA
2021-06-15	988172	609	Observed	NA	NA
2021-06-16	988745	573	Observed	NA	NA
2021-06-17	989335	590	Observed	NA	NA
2021-06-18	989844	509	Observed	NA	NA
2021-06-19	990323	479	Observed	NA	NA
2021-06-20	990675	352	Observed	NA	NA
2021-06-21	991171	496	Observed	NA	NA
2021-06-22	991653	482	Observed	NA	NA
2021-06-23	992074	421	Observed	NA	NA
2021-06-24	992391	317	Observed	NA	NA
2021-06-25	992684	293	Observed	NA	NA
2021-06-26	993045	361	Observed	NA	NA
2021-06-27	993289	244	Observed	NA	NA
2021-06-28	993694	405	Observed	NA	NA
2021-06-29	994077	383	Observed	NA	NA
2021-06-30	994480	403	Observed	NA	NA
2021-07-01	994890	410	Observed	NA	NA
2021-07-02	995347	NA	No intervention	953534	1038631
2021-07-03	995732	385	No intervention	947993	1045649
2021-07-04	996148	416	No intervention	942623	1051599
2021-07-05	996534	386	No intervention	937876	1057751
2021-07-06	996875	341	No intervention	933653	1062763
2021-07-07	997217	342	No intervention	930048	1067838
2021-07-08	997586	369	No intervention	926396	1072606
2021-07-09	997914	328	No intervention	923164	1076586
2021-07-10	998230	316	No intervention	919980	1080581
2021-07-11	998529	299	No intervention	917120	1084585
2021-07-12	998790	261	No intervention	914114	1088329
2021-07-13	999002	212	No intervention	911152	1091582
2021-07-14	999249	247	No intervention	908588	1095021
2021-07-15	999463	214	No intervention	906455	1098780
2021-07-16	999647	184	No intervention	904212	1101646
2021-07-17	999860	213	No intervention	901953	1104640
2021-07-18	1000041	181	No intervention	899817	1107943
2021-07-19	1000214	173	No intervention	897169	1110498
2021-07-20	1000373	159	No intervention	895106	1113242
2021-07-21	1000522	149	No intervention	892631	1116387
2021-07-22	1000639	117	No intervention	890780	1118857
2021-07-23	1000814	175	No intervention	888862	1121601
2021-07-24	1000929	115	No intervention	886736	1124147
2021-07-25	1001043	114	No intervention	884335	1126044
2021-07-26	1001171	128	No intervention	882233	1129143
2021-07-27	1001231	60	No intervention	880144	1130865
2021-07-28	1001332	101	No intervention	878612	1132826
2021-07-29	1001412	80	No intervention	876619	1135850
2021-07-30	1001496	84	No intervention	875001	1137960
2021-07-31	1001566	70	No intervention	872933	1140052
2021-08-01	1001684	118	No intervention	870894	1142622
2021-08-02	1001755	71	No intervention	869805	1144722
2021-08-03	1001827	72	No intervention	868030	1146769
2021-08-04	1001902	75	No intervention	865273	1148667
2021-08-05	1001929	27	No intervention	863986	1151148
2021-08-06	1002028	99	No intervention	862571	1153259
2021-08-07	1002061	33	No intervention	860732	1154758
2021-08-08	1002145	84	No intervention	859580	1156773
2021-08-09	1002210	65	No intervention	857183	1158890
2021-08-10	1002308	98	No intervention	855899	1160939
2021-08-11	1002351	43	No intervention	854220	1162444
2021-08-12	1002415	64	No intervention	852720	1164452
2021-08-13	1002436	21	No intervention	850892	1165867
2021-08-14	1002478	42	No intervention	849389	1168056
2021-08-15	1002547	69	No intervention	848040	1169356
2021-08-16	1002571	24	No intervention	846453	1171645
2021-08-17	1002610	39	No intervention	844756	1173061
2021-08-18	1002636	26	No intervention	843547	1175114
2021-08-19	1002669	33	No intervention	842201	1177005
2021-08-20	1002686	17	No intervention	840722	1178533
2021-08-21	1002733	47	No intervention	839138	1180726
2021-08-22	1002737	4	No intervention	837318	1182125
2021-08-23	1002798	61	No intervention	836374	1183725
2021-08-24	1002854	56	No intervention	834491	1184822
2021-08-25	1002877	23	No intervention	833205	1186804
2021-08-26	1002863	-14	No intervention	831566	1188238
2021-08-27	1002886	23	No intervention	830093	1190185
2021-08-28	1002927	41	No intervention	828913	1191160
