date	value	lower_ci	upper_ci	incidence	scenario
2021-07-03	10430	9927	10947	NA	No intervention
2021-07-04	10432	9854	11031	2	No intervention
2021-07-05	10434	9786	11110	2	No intervention
2021-07-06	10435	9730	11180	1	No intervention
2021-07-07	10437	9676	11241	2	No intervention
2021-07-08	10438	9623	11299	1	No intervention
2021-07-09	10439	9582	11351	1	No intervention
2021-07-10	10441	9538	11403	2	No intervention
2021-07-11	10441	9496	11450	0	No intervention
2021-07-12	10442	9455	11495	1	No intervention
2021-07-13	10443	9413	11539	1	No intervention
2021-07-14	10444	9377	11580	1	No intervention
2021-07-15	10445	9332	11623	1	No intervention
2021-07-16	10447	9309	11658	2	No intervention
2021-07-17	10447	9272	11697	0	No intervention
2021-07-18	10447	9241	11727	0	No intervention
2021-07-19	10447	9207	11770	0	No intervention
2021-07-20	10448	9180	11804	1	No intervention
2021-07-21	10449	9151	11833	1	No intervention
2021-07-22	10449	9117	11869	0	No intervention
2021-07-23	10450	9088	11901	1	No intervention
2021-07-24	10450	9059	11929	0	No intervention
2021-07-25	10451	9033	11961	1	No intervention
2021-07-26	10451	9006	11999	0	No intervention
2021-07-27	10452	8977	12023	1	No intervention
2021-07-28	10452	8949	12057	0	No intervention
2021-07-29	10453	8936	12081	1	No intervention
2021-07-30	10453	8903	12107	0	No intervention
2021-07-31	10454	8885	12141	1	No intervention
2021-08-01	10454	8858	12159	0	No intervention
2021-08-02	10454	8834	12190	0	No intervention
2021-08-03	10455	8812	12215	1	No intervention
2021-08-04	10455	8790	12242	0	No intervention
2021-08-05	10454	8765	12266	-1	No intervention
2021-08-06	10455	8741	12278	1	No intervention
2021-08-07	10454	8720	12310	-1	No intervention
2021-08-08	10455	8697	12336	1	No intervention
2021-08-09	10455	8672	12365	0	No intervention
2021-08-10	10456	8657	12383	1	No intervention
2021-08-11	10456	8630	12409	0	No intervention
2021-08-12	10457	8614	12431	1	No intervention
2021-08-13	10457	8592	12453	0	No intervention
2021-08-14	10457	8569	12477	0	No intervention
2021-08-15	10457	8549	12501	0	No intervention
2021-08-16	10458	8535	12519	1	No intervention
2021-08-17	10458	8518	12543	0	No intervention
2021-08-18	10458	8497	12563	0	No intervention
2021-08-19	10458	8473	12589	0	No intervention
2021-08-20	10458	8458	12613	0	No intervention
2021-08-21	10459	8437	12629	1	No intervention
2021-08-22	10459	8415	12649	0	No intervention
2021-08-23	10459	8404	12678	0	No intervention
2021-08-24	10459	8385	12690	0	No intervention
2021-08-25	10459	8365	12709	0	No intervention
2021-08-26	10460	8358	12734	1	No intervention
2021-08-27	10460	8328	12758	0	No intervention
2021-08-28	10459	8316	12773	-1	No intervention
2021-08-29	10460	8300	12792	1	No intervention
2021-08-30	10460	8290	12811	0	No intervention
2021-08-31	10460	8271	12832	0	No intervention
2021-09-01	10460	8259	12848	0	No intervention
2021-09-02	10460	8239	12873	0	No intervention
2021-09-03	10459	8223	12891	-1	No intervention
2021-09-04	10460	8210	12904	1	No intervention
2021-09-05	10460	8193	12926	0	No intervention
2021-09-06	10459	8167	12941	-1	No intervention
2021-09-07	10459	8153	12964	0	No intervention
2021-09-08	10459	8141	12989	0	No intervention
2021-09-09	10458	8124	13009	-1	No intervention
2021-09-10	10458	8108	13016	0	No intervention
2021-09-11	10458	8090	13038	0	No intervention
2021-09-12	10457	8082	13056	-1	No intervention
2021-09-13	10457	8062	13067	0	No intervention
2021-09-14	10457	8052	13091	0	No intervention
2021-09-15	10458	8037	13111	1	No intervention
2021-09-16	10457	8017	13127	-1	No intervention
2021-09-17	10457	8001	13140	0	No intervention
2021-09-18	10457	7992	13162	0	No intervention
2021-09-19	10457	7972	13180	0	No intervention
2021-09-20	10457	7954	13197	0	No intervention
2021-09-21	10457	7934	13213	0	No intervention
2021-09-22	10457	7925	13233	0	No intervention
2021-09-23	10457	7908	13247	0	No intervention
2021-09-24	10457	7895	13270	0	No intervention
2021-09-25	10457	7880	13297	0	No intervention
2021-09-26	10457	7870	13313	0	No intervention
2021-09-27	10457	7852	13329	0	No intervention
2021-09-28	10457	7838	13348	0	No intervention
2021-09-29	10457	7821	13359	0	No intervention
2021-09-30	10457	7810	13371	0	No intervention
2021-10-01	10457	7805	13390	0	No intervention
2021-10-02	10456	7791	13402	-1	No intervention
2021-10-03	10456	7773	13416	0	No intervention
2021-10-04	10456	7754	13435	0	No intervention
2021-10-05	10456	7747	13452	0	No intervention
2021-10-06	10455	7728	13474	-1	No intervention
2021-10-07	10455	7717	13482	0	No intervention
2021-10-08	10456	7695	13500	1	No intervention
2021-10-09	10456	7689	13516	0	No intervention
2021-10-10	10456	7680	13537	0	No intervention
2021-10-11	10456	7660	13542	0	No intervention
2021-10-12	10456	7649	13569	0	No intervention
2021-10-13	10457	7635	13585	1	No intervention
2021-10-14	10456	7622	13596	-1	No intervention
2021-10-15	10456	7604	13618	0	No intervention
2021-10-16	10457	7596	13637	1	No intervention
2021-10-17	10456	7587	13651	-1	No intervention
2021-10-18	10457	7575	13660	1	No intervention
2021-10-19	10457	7564	13675	0	No intervention
2021-10-20	10457	7552	13691	0	No intervention
2021-10-21	10456	7542	13700	-1	No intervention
2021-10-22	10456	7531	13717	0	No intervention
2021-10-23	10457	7516	13735	1	No intervention
2021-10-24	10457	7503	13754	0	No intervention
2021-10-25	10457	7491	13772	0	No intervention
2021-10-26	10457	7466	13789	0	No intervention
2021-10-27	10458	7462	13796	1	No intervention
2021-10-28	10457	7447	13813	-1	No intervention
2021-10-29	10457	7437	13823	0	No intervention
2021-10-30	10457	7430	13849	0	No intervention
2021-10-31	10457	7407	13856	0	No intervention
2021-11-01	10457	7398	13877	0	No intervention
2021-11-02	10456	7387	13892	-1	No intervention
2021-11-03	10456	7373	13913	0	No intervention
2021-11-04	10456	7359	13914	0	No intervention
2021-11-05	10455	7344	13940	-1	No intervention
2021-11-06	10455	7328	13953	0	No intervention
2021-11-07	10456	7318	13958	1	No intervention
2021-11-08	10455	7312	13986	-1	No intervention
2021-11-09	10455	7299	13994	0	No intervention
2021-11-10	10455	7284	14000	0	No intervention
2021-11-11	10455	7274	14020	0	No intervention
2021-11-12	10455	7266	14035	0	No intervention
2021-11-13	10455	7259	14044	0	No intervention
2021-11-14	10455	7244	14063	0	No intervention
2021-11-15	10456	7232	14070	1	No intervention
2021-11-16	10455	7221	14081	-1	No intervention
2021-11-17	10455	7208	14096	0	No intervention
2021-11-18	10455	7208	14116	0	No intervention
2021-11-19	10455	7189	14127	0	No intervention
2021-11-20	10456	7184	14142	1	No intervention
2021-11-21	10456	7174	14150	0	No intervention
2021-11-22	10456	7165	14161	0	No intervention
2021-11-23	10456	7157	14180	0	No intervention
2021-11-24	10455	7146	14190	-1	No intervention
2021-11-25	10456	7134	14202	1	No intervention
2021-11-26	10456	7130	14218	0	No intervention
2021-11-27	10457	7115	14231	1	No intervention
2021-11-28	10456	7102	14237	-1	No intervention
2021-11-29	10456	7092	14252	0	No intervention
2021-11-30	10456	7076	14269	0	No intervention
2021-12-01	10457	7073	14277	1	No intervention
2021-12-02	10457	7063	14288	0	No intervention
2021-12-03	10457	7053	14293	0	No intervention
2021-12-04	10457	7047	14309	0	No intervention
