date	value	incidence	scenario	lower_ci	upper_ci
2021-05-21	26287857	NA	Observed	NA	NA
2021-05-22	26528754	240897	Observed	NA	NA
2021-05-23	26751588	222834	Observed	NA	NA
2021-05-24	26947445	195857	Observed	NA	NA
2021-05-25	27156437	208992	Observed	NA	NA
2021-05-26	27367947	211510	Observed	NA	NA
2021-05-27	27554022	186075	Observed	NA	NA
2021-05-28	27728105	174083	Observed	NA	NA
2021-05-29	27893387	165282	Observed	NA	NA
2021-05-30	28046783	153396	Observed	NA	NA
2021-05-31	28173666	126883	Observed	NA	NA
2021-06-01	28306818	133152	Observed	NA	NA
2021-06-02	28440862	134044	Observed	NA	NA
2021-06-03	28573286	132424	Observed	NA	NA
2021-06-04	28693740	120454	Observed	NA	NA
2021-06-05	28808228	114488	Observed	NA	NA
2021-06-06	28909437	101209	Observed	NA	NA
2021-06-07	28995241	85804	Observed	NA	NA
2021-06-08	29088028	92787	Observed	NA	NA
2021-06-09	29181911	93883	Observed	NA	NA
2021-06-10	29273760	91849	Observed	NA	NA
2021-06-11	29358334	84574	Observed	NA	NA
2021-06-12	29438859	80525	Observed	NA	NA
2021-06-13	29509860	71001	Observed	NA	NA
2021-06-14	29569868	60008	Observed	NA	NA
2021-06-15	29632083	62215	Observed	NA	NA
2021-06-16	29699372	67289	Observed	NA	NA
2021-06-17	29761808	62436	Observed	NA	NA
2021-06-18	29822573	60765	Observed	NA	NA
2021-06-19	29881188	58615	Observed	NA	NA
2021-06-20	29934166	52978	Observed	NA	NA
2021-06-21	29976849	42683	Observed	NA	NA
2021-06-22	30027666	50817	Observed	NA	NA
2021-06-23	30081975	54309	Observed	NA	NA
2021-06-24	30133634	51659	Observed	NA	NA
2021-06-25	30182402	48768	Observed	NA	NA
2021-06-26	30232246	49844	Observed	NA	NA
2021-06-27	30278769	46523	Observed	NA	NA
2021-06-28	30315839	37070	Observed	NA	NA
2021-06-29	30361943	46104	Observed	NA	NA
2021-06-30	30410549	48606	Observed	NA	NA
2021-07-01	30457330	46781	Observed	NA	NA
2021-07-02	30501517	44187	Observed	NA	NA
2021-07-03	30544544	43027	Observed	NA	NA
2021-07-04	30584694	40150	Observed	NA	NA
2021-07-05	30621212	NA	No intervention	28864365	32445764
2021-07-06	30659206	37994	No intervention	28638654	32772291
2021-07-07	30692721	33515	No intervention	28435273	33054822
2021-07-08	30726270	33549	No intervention	28252669	33318906
2021-07-09	30759515	33245	No intervention	28105687	33553312
2021-07-10	30792120	32605	No intervention	27948608	33790516
2021-07-11	30822144	30024	No intervention	27835062	34005007
2021-07-12	30851736	29592	No intervention	27703230	34220925
2021-07-13	30880431	28695	No intervention	27587635	34399442
2021-07-14	30907480	27049	No intervention	27464694	34580169
2021-07-15	30934906	27426	No intervention	27379617	34776970
2021-07-16	30961446	26540	No intervention	27272593	34936864
2021-07-17	30986904	25458	No intervention	27184427	35091312
2021-07-18	31012115	25211	No intervention	27091381	35265922
2021-07-19	31035094	22979	No intervention	27006294	35413175
2021-07-20	31058939	23845	No intervention	26908736	35576694
2021-07-21	31081224	22285	No intervention	26843299	35714674
2021-07-22	31103313	22089	No intervention	26737187	35875260
2021-07-23	31126129	22816	No intervention	26681459	36004619
2021-07-24	31145489	19360	No intervention	26589353	36148216
2021-07-25	31164199	18710	No intervention	26514757	36267820
2021-07-26	31183113	18914	No intervention	26451310	36398330
2021-07-27	31200856	17743	No intervention	26390495	36522659
2021-07-28	31218230	17374	No intervention	26326522	36646119
2021-07-29	31234626	16396	No intervention	26276477	36792556
2021-07-30	31249414	14788	No intervention	26185206	36898941
2021-07-31	31265090	15676	No intervention	26122554	37008652
2021-08-01	31282234	17144	No intervention	26070232	37130715
2021-08-02	31297321	15087	No intervention	25973098	37239415
2021-08-03	31311376	14055	No intervention	25932582	37330952
2021-08-04	31322639	11263	No intervention	25867782	37438985
2021-08-05	31338012	15373	No intervention	25808590	37555578
2021-08-06	31351416	13404	No intervention	25738695	37663865
2021-08-07	31365245	13829	No intervention	25676152	37759853
2021-08-08	31376126	10881	No intervention	25626966	37851321
2021-08-09	31388330	12204	No intervention	25561564	37960373
2021-08-10	31400328	11998	No intervention	25505803	38057968
2021-08-11	31411522	11194	No intervention	25451012	38156718
2021-08-12	31420673	9151	No intervention	25396063	38251767
2021-08-13	31432106	11433	No intervention	25324455	38331422
2021-08-14	31444098	11992	No intervention	25260998	38445332
2021-08-15	31453392	9294	No intervention	25208293	38528880
2021-08-16	31463660	10268	No intervention	25168161	38629848
2021-08-17	31474112	10452	No intervention	25099158	38716333
2021-08-18	31483607	9495	No intervention	25047776	38816668
2021-08-19	31493626	10019	No intervention	25007514	38899178
2021-08-20	31502908	9282	No intervention	24949746	38990188
2021-08-21	31511056	8148	No intervention	24904164	39092135
2021-08-22	31518708	7652	No intervention	24864750	39145488
