date	value	incidence	scenario	lower_ci	upper_ci
2021-05-21	23554	NA	Observed	NA	NA
2021-05-22	23868	314	Observed	NA	NA
2021-05-23	24094	226	Observed	NA	NA
2021-05-24	24574	480	Observed	NA	NA
2021-05-25	25003	429	Observed	NA	NA
2021-05-26	25377	374	Observed	NA	NA
2021-05-27	25821	444	Observed	NA	NA
2021-05-28	26318	497	Observed	NA	NA
2021-05-29	26779	461	Observed	NA	NA
2021-05-30	26951	172	Observed	NA	NA
2021-05-31	27273	322	Observed	NA	NA
2021-06-01	27643	370	Observed	NA	NA
2021-06-02	28019	376	Observed	NA	NA
2021-06-03	28383	364	Observed	NA	NA
2021-06-04	28787	404	Observed	NA	NA
2021-06-05	29114	327	Observed	NA	NA
2021-06-06	29337	223	Observed	NA	NA
2021-06-07	29697	360	Observed	NA	NA
2021-06-08	30001	304	Observed	NA	NA
2021-06-09	30248	247	Observed	NA	NA
2021-06-10	30493	245	Observed	NA	NA
2021-06-11	30851	358	Observed	NA	NA
2021-06-12	31149	298	Observed	NA	NA
2021-06-13	31283	134	Observed	NA	NA
2021-06-14	31649	366	Observed	NA	NA
2021-06-15	31939	290	Observed	NA	NA
2021-06-16	32189	250	Observed	NA	NA
2021-06-17	32484	295	Observed	NA	NA
2021-06-18	32693	209	Observed	NA	NA
2021-06-19	32924	231	Observed	NA	NA
2021-06-20	33082	158	Observed	NA	NA
2021-06-21	33376	294	Observed	NA	NA
2021-06-22	33665	289	Observed	NA	NA
2021-06-23	33917	252	Observed	NA	NA
2021-06-24	34215	298	Observed	NA	NA
2021-06-25	34481	266	Observed	NA	NA
2021-06-26	34768	287	Observed	NA	NA
2021-06-27	34933	165	Observed	NA	NA
2021-06-28	35228	295	Observed	NA	NA
2021-06-29	35572	344	Observed	NA	NA
2021-06-30	35858	286	Observed	NA	NA
2021-07-01	36169	311	Observed	NA	NA
2021-07-02	36573	404	Observed	NA	NA
2021-07-03	36938	365	Observed	NA	NA
2021-07-04	37106	168	Observed	NA	NA
2021-07-05	37394	NA	No intervention	35008	39849
2021-07-06	37644	250	No intervention	34843	40558
2021-07-07	37894	250	No intervention	34693	41217
2021-07-08	38146	252	No intervention	34611	41842
2021-07-09	38398	252	No intervention	34519	42463
2021-07-10	38646	248	No intervention	34462	43069
2021-07-11	38897	251	No intervention	34420	43637
2021-07-12	39147	250	No intervention	34384	44232
2021-07-13	39403	256	No intervention	34357	44810
2021-07-14	39655	252	No intervention	34327	45371
2021-07-15	39909	254	No intervention	34302	45930
2021-07-16	40164	255	No intervention	34315	46478
2021-07-17	40419	255	No intervention	34319	47054
2021-07-18	40674	255	No intervention	34280	47620
2021-07-19	40930	256	No intervention	34298	48200
2021-07-20	41187	257	No intervention	34305	48747
2021-07-21	41443	256	No intervention	34315	49315
2021-07-22	41702	259	No intervention	34332	49879
2021-07-23	41962	260	No intervention	34351	50469
2021-07-24	42224	262	No intervention	34366	51045
2021-07-25	42486	262	No intervention	34378	51652
2021-07-26	42750	264	No intervention	34389	52224
2021-07-27	43014	264	No intervention	34422	52825
2021-07-28	43277	263	No intervention	34431	53410
2021-07-29	43540	263	No intervention	34453	54017
2021-07-30	43804	264	No intervention	34469	54601
