date	value	incidence	scenario	lower_ci	upper_ci
2021-05-22	9718	NA	Observed	NA	NA
2021-05-23	9748	30	Observed	NA	NA
2021-05-24	9764	16	Observed	NA	NA
2021-05-25	9798	34	Observed	NA	NA
2021-05-26	9812	14	Observed	NA	NA
2021-05-27	9823	11	Observed	NA	NA
2021-05-28	10058	235	Observed	NA	NA
2021-05-29	10065	7	Observed	NA	NA
2021-05-30	10079	14	Observed	NA	NA
2021-05-31	10142	63	Observed	NA	NA
2021-06-01	10173	31	Observed	NA	NA
2021-06-02	10190	17	Observed	NA	NA
2021-06-03	10217	27	Observed	NA	NA
2021-06-04	10264	47	Observed	NA	NA
2021-06-05	10278	14	Observed	NA	NA
2021-06-06	10284	6	Observed	NA	NA
2021-06-07	10285	1	Observed	NA	NA
2021-06-08	10293	8	Observed	NA	NA
2021-06-09	10304	11	Observed	NA	NA
2021-06-10	10314	10	Observed	NA	NA
2021-06-11	10322	8	Observed	NA	NA
2021-06-12	10327	5	Observed	NA	NA
2021-06-13	10327	0	Observed	NA	NA
2021-06-14	10328	1	Observed	NA	NA
2021-06-15	10336	8	Observed	NA	NA
2021-06-16	10344	8	Observed	NA	NA
2021-06-17	10357	13	Observed	NA	NA
2021-06-18	10364	7	Observed	NA	NA
2021-06-19	10374	10	Observed	NA	NA
2021-06-20	10377	3	Observed	NA	NA
2021-06-21	10380	3	Observed	NA	NA
2021-06-22	10383	3	Observed	NA	NA
2021-06-23	10386	3	Observed	NA	NA
2021-06-24	10389	3	Observed	NA	NA
2021-06-25	10393	4	Observed	NA	NA
2021-06-26	10396	3	Observed	NA	NA
2021-06-27	10402	6	Observed	NA	NA
2021-06-28	10410	8	Observed	NA	NA
2021-06-29	10418	8	Observed	NA	NA
2021-06-30	10423	5	Observed	NA	NA
2021-07-01	10424	1	Observed	NA	NA
2021-07-02	10428	4	Observed	NA	NA
2021-07-03	10430	2	Observed	NA	NA
2021-07-04	10432	2	Observed	NA	NA
2021-07-05	10432	0	Observed	NA	NA
2021-07-06	10435	NA	No intervention	9941	10947
2021-07-07	10436	1	No intervention	9867	11034
2021-07-08	10437	1	No intervention	9798	11104
2021-07-09	10438	1	No intervention	9736	11171
2021-07-10	10439	1	No intervention	9685	11234
2021-07-11	10441	2	No intervention	9635	11291
2021-07-12	10442	1	No intervention	9591	11345
2021-07-13	10444	2	No intervention	9546	11393
2021-07-14	10444	0	No intervention	9501	11441
2021-07-15	10445	1	No intervention	9459	11485
2021-07-16	10446	1	No intervention	9426	11528
2021-07-17	10447	1	No intervention	9385	11569
2021-07-18	10447	0	No intervention	9349	11609
2021-07-19	10448	1	No intervention	9313	11645
2021-07-20	10449	1	No intervention	9281	11685
2021-07-21	10449	0	No intervention	9252	11725
2021-07-22	10450	1	No intervention	9220	11760
2021-07-23	10451	1	No intervention	9186	11795
2021-07-24	10452	1	No intervention	9156	11830
2021-07-25	10452	0	No intervention	9127	11861
2021-07-26	10453	1	No intervention	9098	11893
2021-07-27	10453	0	No intervention	9071	11929
2021-07-28	10454	1	No intervention	9042	11952
2021-07-29	10454	0	No intervention	9017	11980
2021-07-30	10455	1	No intervention	8992	12006
2021-07-31	10455	0	No intervention	8969	12038
2021-08-01	10455	0	No intervention	8942	12062
2021-08-02	10455	0	No intervention	8916	12092
2021-08-03	10456	1	No intervention	8896	12121
2021-08-04	10456	0	No intervention	8872	12145
2021-08-05	10456	0	No intervention	8847	12171
2021-08-06	10456	0	No intervention	8818	12202
2021-08-07	10457	1	No intervention	8803	12225
2021-08-08	10456	-1	No intervention	8772	12246
2021-08-09	10456	0	No intervention	8748	12268
2021-08-10	10456	0	No intervention	8727	12304
2021-08-11	10457	1	No intervention	8708	12320
2021-08-12	10457	0	No intervention	8693	12341
2021-08-13	10458	1	No intervention	8672	12366
2021-08-14	10458	0	No intervention	8651	12382
2021-08-15	10458	0	No intervention	8625	12409
2021-08-16	10458	0	No intervention	8609	12438
2021-08-17	10458	0	No intervention	8591	12467
2021-08-18	10458	0	No intervention	8560	12483
2021-08-19	10458	0	No intervention	8549	12502
2021-08-20	10458	0	No intervention	8524	12526
2021-08-21	10457	-1	No intervention	8505	12548
2021-08-22	10457	0	No intervention	8491	12575
2021-08-23	10457	0	No intervention	8467	12593
2021-08-24	10457	0	No intervention	8446	12611
2021-08-25	10457	0	No intervention	8426	12630
2021-08-26	10457	0	No intervention	8412	12653
2021-08-27	10458	1	No intervention	8391	12677
2021-08-28	10458	0	No intervention	8371	12694
2021-08-29	10459	1	No intervention	8352	12712
2021-08-30	10459	0	No intervention	8338	12735
2021-08-31	10459	0	No intervention	8321	12765
2021-09-01	10458	-1	No intervention	8299	12783
2021-09-02	10458	0	No intervention	8288	12796
2021-09-03	10458	0	No intervention	8271	12812
2021-09-04	10458	0	No intervention	8255	12830
2021-09-05	10459	1	No intervention	8233	12847
2021-09-06	10459	0	No intervention	8223	12874
2021-09-07	10459	0	No intervention	8203	12884
2021-09-08	10459	0	No intervention	8189	12914
2021-09-09	10459	0	No intervention	8175	12924
2021-09-10	10458	-1	No intervention	8154	12944
2021-09-11	10458	0	No intervention	8136	12974
2021-09-12	10458	0	No intervention	8122	12990
2021-09-13	10459	1	No intervention	8107	13014
2021-09-14	10459	0	No intervention	8097	13020
2021-09-15	10459	0	No intervention	8073	13037
2021-09-16	10458	-1	No intervention	8059	13054
2021-09-17	10459	1	No intervention	8043	13071
2021-09-18	10459	0	No intervention	8037	13084
2021-09-19	10459	0	No intervention	8019	13110
2021-09-20	10459	0	No intervention	7992	13129
2021-09-21	10458	-1	No intervention	7980	13145
2021-09-22	10458	0	No intervention	7963	13163
2021-09-23	10458	0	No intervention	7955	13171
2021-09-24	10458	0	No intervention	7944	13200
2021-09-25	10458	0	No intervention	7932	13212
2021-09-26	10457	-1	No intervention	7918	13238
2021-09-27	10457	0	No intervention	7906	13248
2021-09-28	10457	0	No intervention	7892	13265
2021-09-29	10457	0	No intervention	7870	13285
2021-09-30	10457	0	No intervention	7860	13298
2021-10-01	10457	0	No intervention	7844	13320
2021-10-02	10457	0	No intervention	7836	13336
2021-10-03	10458	1	No intervention	7821	13354
2021-10-04	10458	0	No intervention	7805	13376
2021-10-05	10458	0	No intervention	7797	13388
2021-10-06	10458	0	No intervention	7774	13408
2021-10-07	10458	0	No intervention	7759	13425
2021-10-08	10459	1	No intervention	7748	13430
2021-10-09	10458	-1	No intervention	7736	13459
2021-10-10	10458	0	No intervention	7722	13464
2021-10-11	10459	1	No intervention	7710	13482
2021-10-12	10459	0	No intervention	7699	13499
2021-10-13	10459	0	No intervention	7686	13520
2021-10-14	10460	1	No intervention	7675	13532
2021-10-15	10460	0	No intervention	7661	13551
2021-10-16	10460	0	No intervention	7651	13563
2021-10-17	10460	0	No intervention	7636	13575
2021-10-18	10460	0	No intervention	7622	13599
2021-10-19	10460	0	No intervention	7609	13618
2021-10-20	10460	0	No intervention	7591	13638
2021-10-21	10460	0	No intervention	7579	13645
2021-10-22	10460	0	No intervention	7569	13664
2021-10-23	10460	0	No intervention	7553	13671
2021-10-24	10459	-1	No intervention	7544	13693
2021-10-25	10459	0	No intervention	7530	13707
2021-10-26	10459	0	No intervention	7519	13724
2021-10-27	10459	0	No intervention	7503	13727
2021-10-28	10459	0	No intervention	7495	13740
2021-10-29	10459	0	No intervention	7486	13764
2021-10-30	10459	0	No intervention	7465	13775
2021-10-31	10459	0	No intervention	7455	13780
2021-11-01	10459	0	No intervention	7448	13816
2021-11-02	10459	0	No intervention	7431	13822
2021-11-03	10459	0	No intervention	7423	13838
2021-11-04	10460	1	No intervention	7417	13852
2021-11-05	10460	0	No intervention	7397	13870
2021-11-06	10460	0	No intervention	7396	13886
2021-11-07	10461	1	No intervention	7375	13896
2021-11-08	10461	0	No intervention	7365	13910
2021-11-09	10461	0	No intervention	7358	13918
2021-11-10	10460	-1	No intervention	7352	13921
2021-11-11	10460	0	No intervention	7337	13941
2021-11-12	10461	1	No intervention	7331	13961
2021-11-13	10461	0	No intervention	7315	13961
2021-11-14	10461	0	No intervention	7309	13982
2021-11-15	10461	0	No intervention	7296	13996
2021-11-16	10461	0	No intervention	7279	14003
2021-11-17	10461	0	No intervention	7277	14028
2021-11-18	10461	0	No intervention	7264	14041
2021-11-19	10461	0	No intervention	7247	14062
2021-11-20	10461	0	No intervention	7236	14076
2021-11-21	10462	1	No intervention	7228	14087
2021-11-22	10462	0	No intervention	7218	14104
2021-11-23	10462	0	No intervention	7207	14126
2021-11-24	10461	-1	No intervention	7195	14127
2021-11-25	10461	0	No intervention	7186	14138
2021-11-26	10461	0	No intervention	7173	14157
2021-11-27	10461	0	No intervention	7160	14166
2021-11-28	10460	-1	No intervention	7149	14179
2021-11-29	10460	0	No intervention	7135	14193
2021-11-30	10461	1	No intervention	7130	14206
2021-12-01	10461	0	No intervention	7120	14232
2021-12-02	10461	0	No intervention	7112	14232
2021-12-03	10461	0	No intervention	7104	14251
2021-12-04	10461	0	No intervention	7095	14257
2021-12-05	10461	0	No intervention	7079	14268
2021-12-06	10461	0	No intervention	7070	14282
2021-12-07	10462	1	No intervention	7064	14288
