date	value	lower_ci	upper_ci	incidence	scenario
2021-07-08	769038	734237	805100	NA	No intervention
2021-07-09	769137	726337	811169	99	No intervention
2021-07-10	769151	723215	817697	14	No intervention
2021-07-11	769389	718403	822381	238	No intervention
2021-07-12	769485	714616	829183	96	No intervention
2021-07-13	769790	711335	833822	305	No intervention
2021-07-14	769841	707921	836868	51	No intervention
2021-07-15	770161	704407	838289	320	No intervention
2021-07-16	770618	703932	844358	457	No intervention
2021-07-17	770689	699746	842757	71	No intervention
2021-07-18	770653	693522	847002	-36	No intervention
2021-07-19	770531	694461	851815	-122	No intervention
2021-07-20	770572	691456	850484	41	No intervention
2021-07-21	770238	687707	850470	-334	No intervention
2021-07-22	770358	687835	856317	120	No intervention
2021-07-23	770583	683405	856194	225	No intervention
2021-07-24	771088	682883	863912	505	No intervention
2021-07-25	771443	680722	864420	355	No intervention
2021-07-26	771128	677623	863815	-315	No intervention
2021-07-27	771386	676269	867411	258	No intervention
2021-07-28	771474	678084	871288	88	No intervention
2021-07-29	771511	675474	876702	37	No intervention
2021-07-30	771566	671847	874214	55	No intervention
2021-07-31	771680	667983	875006	114	No intervention
2021-08-01	771665	664592	879784	-15	No intervention
2021-08-02	771554	667359	878976	-111	No intervention
2021-08-03	771568	658001	880233	14	No intervention
2021-08-04	771741	663368	887882	173	No intervention
2021-08-05	771646	662363	890831	-95	No intervention
2021-08-06	771795	662129	891538	149	No intervention
2021-08-07	771994	658164	887971	199	No intervention
2021-08-08	771772	654999	890703	-222	No intervention
2021-08-09	771965	653205	890530	193	No intervention
2021-08-10	771739	650760	891604	-226	No intervention
2021-08-11	771557	650312	893335	-182	No intervention
2021-08-12	771484	646803	896631	-73	No intervention
2021-08-13	771873	646207	901080	389	No intervention
2021-08-14	771586	645082	900027	-287	No intervention
2021-08-15	771779	643282	902056	193	No intervention
2021-08-16	772155	640285	897295	376	No intervention
2021-08-17	771840	637784	899784	-315	No intervention
2021-08-18	772246	640130	904124	406	No intervention
2021-08-19	772657	639197	905292	411	No intervention
2021-08-20	772206	635997	909966	-451	No intervention
2021-08-21	772243	633409	910767	37	No intervention
2021-08-22	772041	626705	909621	-202	No intervention
2021-08-23	772228	628761	914864	187	No intervention
2021-08-24	772418	630548	919009	190	No intervention
2021-08-25	772872	630990	918459	454	No intervention
2021-08-26	772934	629760	912833	62	No intervention
2021-08-27	772978	626266	919682	44	No intervention
2021-08-28	773213	622095	926749	235	No intervention
2021-08-29	773389	616970	925056	176	No intervention
2021-08-30	773407	621004	926492	18	No intervention
2021-08-31	773168	618218	928044	-239	No intervention
2021-09-01	773132	621484	927166	-36	No intervention
2021-09-02	773483	619584	932025	351	No intervention
2021-09-03	773542	613703	935136	59	No intervention
2021-09-04	773073	617525	927794	-469	No intervention
2021-09-05	772856	616261	934057	-217	No intervention
2021-09-06	772813	614278	933258	-43	No intervention
2021-09-07	773018	611094	933240	205	No intervention
2021-09-08	772824	612989	933294	-194	No intervention
2021-09-09	772579	607758	940950	-245	No intervention
2021-09-10	772011	605169	940633	-568	No intervention
2021-09-11	772251	602517	942222	240	No intervention
2021-09-12	772449	604651	944826	198	No intervention
2021-09-13	772693	602718	945313	244	No intervention
2021-09-14	772473	601108	949657	-220	No intervention
2021-09-15	772272	601689	947983	-201	No intervention
2021-09-16	772010	600679	946243	-262	No intervention
2021-09-17	772056	599250	955513	46	No intervention
2021-09-18	771998	599583	951721	-58	No intervention
2021-09-19	771957	596929	956961	-41	No intervention
2021-09-20	771748	598841	955655	-209	No intervention
2021-09-21	771860	594317	953753	112	No intervention
2021-09-22	772057	597564	956446	197	No intervention
2021-09-23	771787	596304	949485	-270	No intervention
2021-09-24	771550	595509	954321	-237	No intervention
2021-09-25	771278	596291	959205	-272	No intervention
2021-09-26	771757	597622	958829	479	No intervention
2021-09-27	771860	594790	966305	103	No intervention
2021-09-28	771722	594008	962869	-138	No intervention
2021-09-29	771752	594808	969236	30	No intervention
2021-09-30	772212	589744	969637	460	No intervention
2021-10-01	772170	585718	973213	-42	No intervention
