date	value	lower_ci	upper_ci	incidence	scenario
2021-07-09	824161	767814	885067	NA	No intervention
2021-07-10	824448	757103	895133	287	No intervention
2021-07-11	824389	750541	904919	-59	No intervention
2021-07-12	824162	745509	909521	-227	No intervention
2021-07-13	823911	738630	917540	-251	No intervention
2021-07-14	824635	733393	922740	724	No intervention
2021-07-15	824486	728041	932040	-149	No intervention
2021-07-16	824695	724440	939333	209	No intervention
2021-07-17	824405	719533	942734	-290	No intervention
2021-07-18	824420	712992	943115	15	No intervention
2021-07-19	824284	713609	952873	-136	No intervention
2021-07-20	824799	710082	951613	515	No intervention
2021-07-21	824967	702622	960933	168	No intervention
2021-07-22	825579	700656	959246	612	No intervention
2021-07-23	825830	697447	964598	251	No intervention
2021-07-24	825691	694728	972313	-139	No intervention
2021-07-25	825551	690756	977591	-140	No intervention
2021-07-26	825944	683346	982837	393	No intervention
2021-07-27	826685	687205	993844	741	No intervention
2021-07-28	827112	681095	992582	427	No intervention
2021-07-29	827713	676099	997727	601	No intervention
2021-07-30	828315	667208	1004681	602	No intervention
2021-07-31	828252	667894	1007994	-63	No intervention
2021-08-01	828760	672492	1003295	508	No intervention
2021-08-02	829217	668481	1011437	457	No intervention
2021-08-03	829147	663041	1013186	-70	No intervention
2021-08-04	828955	661216	1023029	-192	No intervention
2021-08-05	828622	657594	1027442	-333	No intervention
2021-08-06	828888	655930	1024555	266	No intervention
2021-08-07	829207	647967	1032796	319	No intervention
2021-08-08	829665	644071	1039054	458	No intervention
2021-08-09	830002	639165	1039959	337	No intervention
2021-08-10	829668	636345	1050922	-334	No intervention
2021-08-11	828942	633949	1050842	-726	No intervention
2021-08-12	828973	633630	1051085	31	No intervention
2021-08-13	829824	627699	1052824	851	No intervention
2021-08-14	829905	628475	1054242	81	No intervention
2021-08-15	829575	626129	1071954	-330	No intervention
2021-08-16	829657	624686	1070622	82	No intervention
2021-08-17	829159	627645	1077262	-498	No intervention
2021-08-18	829162	617944	1075117	3	No intervention
2021-08-19	829534	626150	1069876	372	No intervention
2021-08-20	829375	621333	1069437	-159	No intervention
2021-08-21	829595	620182	1074220	220	No intervention
2021-08-22	828591	612393	1079959	-1004	No intervention
2021-08-23	829321	612162	1089724	730	No intervention
2021-08-24	828737	612451	1084827	-584	No intervention
2021-08-25	829108	608258	1081797	371	No intervention
2021-08-26	829208	608696	1097917	100	No intervention
2021-08-27	829113	605160	1089569	-95	No intervention
2021-08-28	829309	599585	1097619	196	No intervention
2021-08-29	829206	604222	1090538	-103	No intervention
2021-08-30	829142	598612	1094601	-64	No intervention
2021-08-31	828562	594093	1098001	-580	No intervention
2021-09-01	828851	599484	1092862	289	No intervention
2021-09-02	828832	588809	1099576	-19	No intervention
2021-09-03	828965	590132	1106027	133	No intervention
2021-09-04	829104	594975	1101541	139	No intervention
2021-09-05	829264	583211	1100089	160	No intervention
2021-09-06	828845	583123	1107071	-419	No intervention
2021-09-07	828652	581066	1115764	-193	No intervention
2021-09-08	828217	583630	1117077	-435	No intervention
2021-09-09	828061	579469	1115639	-156	No intervention
2021-09-10	827993	577216	1118128	-68	No intervention
2021-09-11	827775	572786	1124083	-218	No intervention
2021-09-12	827084	579331	1118682	-691	No intervention
2021-09-13	827038	577167	1123663	-46	No intervention
2021-09-14	827001	570757	1128831	-37	No intervention
2021-09-15	826239	563137	1124446	-762	No intervention
2021-09-16	825789	558639	1116486	-450	No intervention
2021-09-17	825334	563561	1121407	-455	No intervention
2021-09-18	825467	565582	1117395	133	No intervention
2021-09-19	825496	563844	1129962	29	No intervention
2021-09-20	825228	567136	1137140	-268	No intervention
2021-09-21	825188	559809	1135026	-40	No intervention
