date	value	lower_ci	upper_ci	incidence	scenario
2021-07-10	168541	163788	173386	NA	No intervention
2021-07-11	168666	163102	174358	125	No intervention
2021-07-12	168793	162541	175219	127	No intervention
2021-07-13	168910	162002	176001	117	No intervention
2021-07-14	169021	161519	176708	111	No intervention
2021-07-15	169121	161150	177349	100	No intervention
2021-07-16	169219	160752	177963	98	No intervention
2021-07-17	169316	160410	178531	97	No intervention
2021-07-18	169405	160021	179089	89	No intervention
2021-07-19	169490	159726	179639	85	No intervention
2021-07-20	169570	159475	180105	80	No intervention
2021-07-21	169645	159160	180585	75	No intervention
2021-07-22	169718	158875	181043	73	No intervention
2021-07-23	169789	158577	181463	71	No intervention
2021-07-24	169855	158365	181841	66	No intervention
2021-07-25	169917	158069	182304	62	No intervention
2021-07-26	169973	157834	182686	56	No intervention
2021-07-27	170029	157582	183051	56	No intervention
2021-07-28	170083	157307	183373	54	No intervention
2021-07-29	170129	157104	183726	46	No intervention
2021-07-30	170176	156877	184128	47	No intervention
2021-07-31	170220	156641	184399	44	No intervention
2021-08-01	170266	156463	184758	46	No intervention
2021-08-02	170306	156234	185022	40	No intervention
2021-08-03	170340	156023	185343	34	No intervention
2021-08-04	170373	155833	185647	33	No intervention
2021-08-05	170402	155626	185929	29	No intervention
2021-08-06	170432	155412	186243	30	No intervention
2021-08-07	170466	155257	186516	34	No intervention
2021-08-08	170496	155055	186785	30	No intervention
2021-08-09	170526	154803	187111	30	No intervention
2021-08-10	170557	154683	187328	31	No intervention
2021-08-11	170583	154481	187602	26	No intervention
2021-08-12	170606	154300	187891	23	No intervention
2021-08-13	170628	154125	188125	22	No intervention
2021-08-14	170657	153955	188377	29	No intervention
2021-08-15	170673	153722	188620	16	No intervention
2021-08-16	170693	153546	188850	20	No intervention
2021-08-17	170707	153371	189046	14	No intervention
2021-08-18	170730	153167	189323	23	No intervention
2021-08-19	170744	152981	189485	14	No intervention
2021-08-20	170756	152808	189743	12	No intervention
2021-08-21	170770	152667	189980	14	No intervention
2021-08-22	170780	152478	190148	10	No intervention
2021-08-23	170799	152290	190426	19	No intervention
2021-08-24	170811	152137	190580	12	No intervention
2021-08-25	170823	151927	190789	12	No intervention
2021-08-26	170839	151745	191042	16	No intervention
2021-08-27	170851	151609	191214	12	No intervention
2021-08-28	170862	151509	191433	11	No intervention
2021-08-29	170870	151321	191583	8	No intervention
2021-08-30	170874	151172	191856	4	No intervention
2021-08-31	170889	150969	192032	15	No intervention
2021-09-01	170896	150837	192250	7	No intervention
2021-09-02	170904	150641	192370	8	No intervention
2021-09-03	170911	150474	192643	7	No intervention
2021-09-04	170916	150351	192766	5	No intervention
2021-09-05	170924	150262	192995	8	No intervention
2021-09-06	170931	150036	193125	7	No intervention
2021-09-07	170934	149884	193250	3	No intervention
2021-09-08	170934	149762	193497	0	No intervention
2021-09-09	170940	149575	193700	6	No intervention
2021-09-10	170941	149421	193883	1	No intervention
2021-09-11	170949	149219	194081	8	No intervention
2021-09-12	170958	149134	194231	9	No intervention
2021-09-13	170961	148923	194394	3	No intervention
2021-09-14	170967	148800	194529	6	No intervention
2021-09-15	170967	148636	194658	0	No intervention
2021-09-16	170968	148476	194862	1	No intervention
2021-09-17	170968	148343	195019	0	No intervention
2021-09-18	170971	148193	195139	3	No intervention
2021-09-19	170973	148050	195348	2	No intervention
2021-09-20	170975	147920	195425	2	No intervention
2021-09-21	170983	147808	195617	8	No intervention
2021-09-22	170988	147686	195760	5	No intervention
2021-09-23	170991	147492	196040	3	No intervention
2021-09-24	170990	147355	196080	-1	No intervention
2021-09-25	170990	147221	196196	0	No intervention
2021-09-26	170987	147140	196429	-3	No intervention
2021-09-27	170988	146975	196534	1	No intervention
2021-09-28	170992	146809	196729	4	No intervention
2021-09-29	170996	146682	196847	4	No intervention
2021-09-30	171000	146480	197000	4	No intervention
2021-10-01	171002	146418	197176	2	No intervention
2021-10-02	171007	146299	197319	5	No intervention
2021-10-03	171006	146174	197463	-1	No intervention
2021-10-04	171011	146021	197622	5	No intervention
2021-10-05	171013	145868	197769	2	No intervention
2021-10-06	171017	145697	197973	4	No intervention
2021-10-07	171021	145622	198116	4	No intervention
2021-10-08	171020	145477	198279	-1	No intervention
2021-10-09	171021	145344	198444	1	No intervention
2021-10-10	171021	145264	198482	0	No intervention
2021-10-11	171018	145065	198694	-3	No intervention
2021-10-12	171019	144911	198828	1	No intervention
2021-10-13	171023	144830	198948	4	No intervention
2021-10-14	171024	144673	199073	1	No intervention
2021-10-15	171026	144553	199263	2	No intervention
2021-10-16	171020	144373	199438	-6	No intervention
2021-10-17	171016	144268	199566	-4	No intervention
2021-10-18	171014	144095	199672	-2	No intervention
2021-10-19	171016	144053	199730	2	No intervention
2021-10-20	171017	143869	199855	1	No intervention
2021-10-21	171019	143725	200079	2	No intervention
2021-10-22	171023	143596	200117	4	No intervention
2021-10-23	171026	143520	200347	3	No intervention
2021-10-24	171027	143359	200503	1	No intervention
2021-10-25	171026	143250	200572	-1	No intervention
2021-10-26	171023	143133	200813	-3	No intervention
2021-10-27	171024	143018	200809	1	No intervention
2021-10-28	171025	142880	200916	1	No intervention
2021-10-29	171024	142778	201060	-1	No intervention
2021-10-30	171026	142683	201184	2	No intervention
2021-10-31	171027	142565	201341	1	No intervention
2021-11-01	171025	142494	201491	-2	No intervention
2021-11-02	171023	142339	201662	-2	No intervention
2021-11-03	171027	142208	201668	4	No intervention
2021-11-04	171026	142157	201800	-1	No intervention
2021-11-05	171026	141970	201943	0	No intervention
2021-11-06	171030	141858	202105	4	No intervention
2021-11-07	171033	141766	202212	3	No intervention
2021-11-08	171032	141612	202222	-1	No intervention
2021-11-09	171031	141585	202413	-1	No intervention
2021-11-10	171034	141450	202522	3	No intervention
2021-11-11	171041	141381	202629	7	No intervention
2021-11-12	171038	141240	202767	-3	No intervention
2021-11-13	171039	141136	202978	1	No intervention
2021-11-14	171036	140977	203028	-3	No intervention
2021-11-15	171036	140890	203211	0	No intervention
2021-11-16	171031	140780	203375	-5	No intervention
2021-11-17	171032	140712	203496	1	No intervention
2021-11-18	171038	140559	203617	6	No intervention
2021-11-19	171040	140431	203732	2	No intervention
2021-11-20	171039	140361	203856	-1	No intervention
2021-11-21	171041	140224	203957	2	No intervention
2021-11-22	171044	140062	204094	3	No intervention
2021-11-23	171047	139985	204189	3	No intervention
2021-11-24	171048	139899	204343	1	No intervention
2021-11-25	171051	139816	204492	3	No intervention
2021-11-26	171049	139729	204552	-2	No intervention
2021-11-27	171046	139604	204756	-3	No intervention
2021-11-28	171050	139501	204887	4	No intervention
2021-11-29	171050	139350	204994	0	No intervention
2021-11-30	171053	139280	205110	3	No intervention
2021-12-01	171055	139139	205285	2	No intervention
2021-12-02	171057	138961	205376	2	No intervention
2021-12-03	171053	138913	205465	-4	No intervention
2021-12-04	171057	138851	205502	4	No intervention
2021-12-05	171057	138742	205628	0	No intervention
2021-12-06	171059	138681	205800	2	No intervention
2021-12-07	171060	138534	205918	1	No intervention
2021-12-08	171063	138393	206069	3	No intervention
2021-12-09	171065	138295	206146	2	No intervention
2021-12-10	171068	138243	206303	3	No intervention
2021-12-11	171067	138128	206361	-1	No intervention
