stat	value
thetaS_last_obs_p_mean	0.9745182
thetaI_last_obs_p_mean	0.0002504237
thetaR_last_obs_p_mean	0.02523141
thetaS_last_obs_p_ci_low	0.9738874
thetaS_last_obs_p_ci_med	0.9745188
thetaS_last_obs_p_ci_up	0.9751443
thetaI_last_obs_p_ci_low	0.0001891016
thetaI_last_obs_p_ci_med	0.0002494557
thetaI_last_obs_p_ci_up	0.0003168564
thetaR_last_obs_p_ci_low	0.02460887
thetaR_last_obs_p_ci_med	0.0252307
thetaR_last_obs_p_ci_up	0.02585938
R0_p_mean	0.5839599
R0_p_ci_low	0.3730948
R0_p_ci_med	0.5881755
R0_p_ci_up	0.7743694
gamma_p_mean	0.1236664
gamma_p_ci_low	0.07511217
gamma_p_ci_med	0.1221525
gamma_p_ci_up	0.180861
beta_p_mean	0.07382494
beta_p_ci_low	0.03140093
beta_p_ci_med	0.07119377
beta_p_ci_up	0.1309108
incidence_mean	0.00429407
incidence_ci_low	0.001814429
incidence_ci_median	0.004124144
incidence_ci_up	0.007719714
thetaI_tp1_mean	3.73989e-07
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0
thetaR_tp1_mean	0.02584579
thetaR_tp1_ci_low	0.01702619
thetaR_tp1_ci_med	0.02561386
thetaR_tp1_ci_up	0.03591877
Y_tp1_mean	3.785117e-07
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0
R_tp1_mean	0.02584636
R_tp1_ci_low	0.01700257
R_tp1_ci_med	0.02561903
R_tp1_ci_up	0.03597004
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02584579
thetaR_max_ci_low	0.01702619
thetaR_max_ci_med	0.02561386
thetaR_max_ci_up	0.03591877
cumInf_mean	0.02584616
cumInf_ci_low	0.01702619
cumInf_ci_med	0.025614
cumInf_ci_up	0.0359193
dthetaI_tp1_date	12/12/21
first_tp_mean	06/24/21
first_tp_ci_low	05/27/21
first_tp_ci_med	06/28/21
first_tp_ci_up	07/10/21
dthetaI_tp2_date	12/12/21
second_tp_mean	06/24/21
second_tp_ci_low	05/27/21
second_tp_ci_med	06/28/21
second_tp_ci_up	07/11/21
end_p_mean	08/25/21
end_p_ci_low	07/26/21
end_p_ci_med	08/20/21
end_p_ci_up	10/27/21
begin_str	05/27/2021
