stat	value
thetaS_last_obs_p_mean	0.8945445
thetaI_last_obs_p_mean	0.001139639
thetaR_last_obs_p_mean	0.1043159
thetaS_last_obs_p_ci_low	0.8933196
thetaS_last_obs_p_ci_med	0.8945513
thetaS_last_obs_p_ci_up	0.8958601
thetaI_last_obs_p_ci_low	0.00101631
thetaI_last_obs_p_ci_med	0.001135032
thetaI_last_obs_p_ci_up	0.001283944
thetaR_last_obs_p_ci_low	0.1030389
thetaR_last_obs_p_ci_med	0.1043136
thetaR_last_obs_p_ci_up	0.1055524
R0_p_mean	0.6262928
R0_p_ci_low	0.4248235
R0_p_ci_med	0.6334163
R0_p_ci_up	0.7864314
gamma_p_mean	0.1388694
gamma_p_ci_low	0.09510241
gamma_p_ci_med	0.1374915
gamma_p_ci_up	0.1886102
beta_p_mean	0.08880712
beta_p_ci_low	0.04265514
beta_p_ci_med	0.08706313
beta_p_ci_up	0.1458886
incidence_mean	0.01289707
incidence_ci_low	0.006141232
incidence_ci_median	0.01256886
incidence_ci_up	0.02139859
thetaI_tp1_mean	2.817055e-08
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0
thetaR_tp1_mean	0.1067244
thetaR_tp1_ci_low	0.08713107
thetaR_tp1_ci_med	0.106468
thetaR_tp1_ci_up	0.1264614
Y_tp1_mean	2.162028e-08
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0
R_tp1_mean	0.1067222
R_tp1_ci_low	0.08706041
R_tp1_ci_med	0.1063641
R_tp1_ci_up	0.126583
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1067244
thetaR_max_ci_low	0.08713107
thetaR_max_ci_med	0.106468
thetaR_max_ci_up	0.1264614
cumInf_mean	0.1067244
cumInf_ci_low	0.08713107
cumInf_ci_med	0.106468
cumInf_ci_up	0.1264614
dthetaI_tp1_date	12/13/21
first_tp_mean	06/29/21
first_tp_ci_low	06/11/21
first_tp_ci_med	06/30/21
first_tp_ci_up	07/11/21
dthetaI_tp2_date	12/13/21
second_tp_mean	06/30/21
second_tp_ci_low	06/11/21
second_tp_ci_med	06/30/21
second_tp_ci_up	07/12/21
end_p_mean	09/10/21
end_p_ci_low	08/11/21
end_p_ci_med	09/07/21
end_p_ci_up	11/07/21
begin_str	05/28/2021
