date	value	incidence	scenario	lower_ci	upper_ci
2021-05-29	2494386	NA	Observed	NA	NA
2021-05-30	2514280	19894	Observed	NA	NA
2021-05-31	2526580	12300	Observed	NA	NA
2021-06-01	2546340	19760	Observed	NA	NA
2021-06-02	2566001	19661	Observed	NA	NA
2021-06-03	2584854	18853	Observed	NA	NA
2021-06-04	2601083	16229	Observed	NA	NA
2021-06-05	2618411	17328	Observed	NA	NA
2021-06-06	2633083	14672	Observed	NA	NA
2021-06-07	2642396	9313	Observed	NA	NA
2021-06-08	2657963	15567	Observed	NA	NA
2021-06-09	2674167	16204	Observed	NA	NA
2021-06-10	2688591	14424	Observed	NA	NA
2021-06-11	2702824	14233	Observed	NA	NA
2021-06-12	2716656	13832	Observed	NA	NA
2021-06-13	2728240	11584	Observed	NA	NA
2021-06-14	2735959	7719	Observed	NA	NA
2021-06-15	2748205	12246	Observed	NA	NA
2021-06-16	2761475	13270	Observed	NA	NA
2021-06-17	2773944	12469	Observed	NA	NA
2021-06-18	2785305	11361	Observed	NA	NA
2021-06-19	2797748	12443	Observed	NA	NA
2021-06-20	2809395	11647	Observed	NA	NA
2021-06-21	2816844	7449	Observed	NA	NA
2021-06-22	2829461	12617	Observed	NA	NA
2021-06-23	2842248	12787	Observed	NA	NA
2021-06-24	2854326	12078	Observed	NA	NA
2021-06-25	2865872	11546	Observed	NA	NA
2021-06-26	2877990	12118	Observed	NA	NA
2021-06-27	2888895	10905	Observed	NA	NA
2021-06-28	2896958	8063	Observed	NA	NA
2021-06-29	2910508	13550	Observed	NA	NA
2021-06-30	2924166	13658	Observed	NA	NA
2021-07-01	2937034	12868	Observed	NA	NA
2021-07-02	2949129	12095	Observed	NA	NA
2021-07-03	2961585	12456	Observed	NA	NA
2021-07-04	2973685	12100	Observed	NA	NA
2021-07-05	2981722	8037	Observed	NA	NA
2021-07-06	2996094	14372	Observed	NA	NA
2021-07-07	3011694	15600	Observed	NA	NA
2021-07-08	3025466	13772	Observed	NA	NA
2021-07-09	3039029	13563	Observed	NA	NA
2021-07-10	3053116	14087	Observed	NA	NA
2021-07-11	3065336	12220	Observed	NA	NA
2021-07-12	3073134	7798	Observed	NA	NA
2021-07-13	3084272	NA	No intervention	2984493	3185849
2021-07-14	3093836	9564	No intervention	2976401	3214032
2021-07-15	3103390	9554	No intervention	2970084	3240315
2021-07-16	3112694	9304	No intervention	2965813	3264349
2021-07-17	3121882	9188	No intervention	2960788	3287765
2021-07-18	3130859	8977	No intervention	2957194	3308613
2021-07-19	3139547	8688	No intervention	2954858	3331393
2021-07-20	3148052	8505	No intervention	2952413	3351314
2021-07-21	3156499	8447	No intervention	2949475	3370529
2021-07-22	3164912	8413	No intervention	2948242	3389641
2021-07-23	3172934	8022	No intervention	2946938	3407821
2021-07-24	3180802	7868	No intervention	2945953	3425844
2021-07-25	3188510	7708	No intervention	2944680	3444156
2021-07-26	3196036	7526	No intervention	2942978	3460890
2021-07-27	3203552	7516	No intervention	2942997	3478259
2021-07-28	3210891	7339	No intervention	2941530	3494453
2021-07-29	3218007	7116	No intervention	2940441	3510665
2021-07-30	3224857	6850	No intervention	2939083	3526685
2021-07-31	3231733	6876	No intervention	2938179	3541700
2021-08-01	3238394	6661	No intervention	2937523	3557355
2021-08-02	3244983	6589	No intervention	2936890	3572210
2021-08-03	3251407	6424	No intervention	2936484	3585908
2021-08-04	3257767	6360	No intervention	2935586	3600936
2021-08-05	3264051	6284	No intervention	2936168	3613985
2021-08-06	3270088	6037	No intervention	2934916	3629032
2021-08-07	3276029	5941	No intervention	2934628	3643178
2021-08-08	3281787	5758	No intervention	2934524	3655251
2021-08-09	3287410	5623	No intervention	2932724	3669002
2021-08-10	3292974	5564	No intervention	2933536	3681886
2021-08-11	3298533	5559	No intervention	2931310	3695286
2021-08-12	3303888	5355	No intervention	2931137	3707911
2021-08-13	3309166	5278	No intervention	2931692	3721402
2021-08-14	3314327	5161	No intervention	2930458	3732425
2021-08-15	3319371	5044	No intervention	2930621	3744008
2021-08-16	3324296	4925	No intervention	2929721	3756108
2021-08-17	3329183	4887	No intervention	2928792	3767895
2021-08-18	3333849	4666	No intervention	2928315	3779029
2021-08-19	3338495	4646	No intervention	2928044	3791376
2021-08-20	3343078	4583	No intervention	2927780	3803192
2021-08-21	3347574	4496	No intervention	2927264	3813901
2021-08-22	3352014	4440	No intervention	2928187	3826462
2021-08-23	3356240	4226	No intervention	2924939	3835171
2021-08-24	3360540	4300	No intervention	2924182	3846591
2021-08-25	3364574	4034	No intervention	2922829	3855773
2021-08-26	3368640	4066	No intervention	2922496	3866693
2021-08-27	3372635	3995	No intervention	2923748	3877504
2021-08-28	3376496	3861	No intervention	2921395	3886920
2021-08-29	3380274	3778	No intervention	2919870	3896952
2021-08-30	3384041	3767	No intervention	2919015	3905879
2021-08-31	3387630	3589	No intervention	2918847	3916543
2021-09-01	3391232	3602	No intervention	2917229	3927683
2021-09-02	3394857	3625	No intervention	2917231	3936249
2021-09-03	3398224	3367	No intervention	2917026	3945180
2021-09-04	3401538	3314	No intervention	2915914	3954198
2021-09-05	3404851	3313	No intervention	2913975	3964676
2021-09-06	3408041	3190	No intervention	2913409	3973175
2021-09-07	3411130	3089	No intervention	2912299	3982973
2021-09-08	3414323	3193	No intervention	2911225	3991048
2021-09-09	3417397	3074	No intervention	2909427	4000589
2021-09-10	3420432	3035	No intervention	2911099	4010160
2021-09-11	3423377	2945	No intervention	2909007	4017388
2021-09-12	3426325	2948	No intervention	2907141	4027975
2021-09-13	3429066	2741	No intervention	2907208	4034286
2021-09-14	3431866	2800	No intervention	2904613	4042843
2021-09-15	3434623	2757	No intervention	2904033	4051353
2021-09-16	3437325	2702	No intervention	2902930	4057733
2021-09-17	3439910	2585	No intervention	2902432	4066906
2021-09-18	3442491	2581	No intervention	2900859	4077368
2021-09-19	3444994	2503	No intervention	2898957	4083788
2021-09-20	3447504	2510	No intervention	2896078	4090856
2021-09-21	3449982	2478	No intervention	2895312	4098735
2021-09-22	3452318	2336	No intervention	2895064	4107459
2021-09-23	3454741	2423	No intervention	2893444	4113365
2021-09-24	3456952	2211	No intervention	2892378	4120815
2021-09-25	3459284	2332	No intervention	2893513	4127442
2021-09-26	3461580	2296	No intervention	2890465	4134275
2021-09-27	3463716	2136	No intervention	2888955	4140941
2021-09-28	3465857	2141	No intervention	2887443	4148960
2021-09-29	3467908	2051	No intervention	2886356	4153860
2021-09-30	3470018	2110	No intervention	2886583	4161657
2021-10-01	3472044	2026	No intervention	2884249	4169689
2021-10-02	3474047	2003	No intervention	2883223	4174838
2021-10-03	3475976	1929	No intervention	2880959	4181990
