stat	value
thetaS_last_obs_p_mean	0.9780165
thetaI_last_obs_p_mean	0.003848478
thetaR_last_obs_p_mean	0.01813502
thetaS_last_obs_p_ci_low	0.9773811
thetaS_last_obs_p_ci_med	0.978017
thetaS_last_obs_p_ci_up	0.9786435
thetaI_last_obs_p_ci_low	0.003568349
thetaI_last_obs_p_ci_med	0.00384784
thetaI_last_obs_p_ci_up	0.004130555
thetaR_last_obs_p_ci_low	0.01757166
thetaR_last_obs_p_ci_med	0.01813372
thetaR_last_obs_p_ci_up	0.01870351
R0_p_mean	1.185852
R0_p_ci_low	0.9530074
R0_p_ci_med	1.174142
R0_p_ci_up	1.489628
gamma_p_mean	0.06333079
gamma_p_ci_low	0.03410227
gamma_p_ci_med	0.06343943
gamma_p_ci_up	0.09167023
beta_p_mean	0.0743794
beta_p_ci_low	0.04204106
beta_p_ci_med	0.07445609
beta_p_ci_up	0.1062588
incidence_mean	0.1146458
incidence_ci_low	0.03691329
incidence_ci_median	0.09889094
incidence_ci_up	0.2797495
thetaI_tp1_mean	0.003645568
thetaI_tp1_ci_low	0.003418005
thetaI_tp1_ci_med	0.003645177
thetaI_tp1_ci_up	0.003875068
thetaR_tp1_mean	0.01770741
thetaR_tp1_ci_low	0.0172346
thetaR_tp1_ci_med	0.017706
thetaR_tp1_ci_up	0.01818498
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.05134858
R_tp1_ci_low	0.01897916
R_tp1_ci_med	0.04129097
R_tp1_ci_up	0.1434866
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1005523
thetaR_max_ci_low	0.0350623
thetaR_max_ci_med	0.08772993
thetaR_max_ci_up	0.2375727
cumInf_mean	0.1146458
cumInf_ci_low	0.03691329
cumInf_ci_med	0.09889094
cumInf_ci_up	0.2797495
dthetaI_tp1_date	07/10/21
first_tp_mean	07/10/21
first_tp_ci_low	06/01/21
first_tp_ci_med	07/09/21
first_tp_ci_up	11/16/21
dthetaI_tp2_date	07/10/21
second_tp_mean	07/21/21
second_tp_ci_low	06/04/21
second_tp_ci_med	07/10/21
second_tp_ci_up	12/08/21
end_p_mean	12/13/21
end_p_ci_low	12/14/21
end_p_ci_med	12/14/21
end_p_ci_up	12/14/21
begin_str	05/29/2021
