stat	value
thetaS_last_obs_p_mean	0.9802748
thetaI_last_obs_p_mean	4.220961e-05
thetaR_last_obs_p_mean	0.01968296
thetaS_last_obs_p_ci_low	0.9797079
thetaS_last_obs_p_ci_med	0.9802748
thetaS_last_obs_p_ci_up	0.9808329
thetaI_last_obs_p_ci_low	1.879865e-05
thetaI_last_obs_p_ci_med	4.119822e-05
thetaI_last_obs_p_ci_up	7.15136e-05
thetaR_last_obs_p_ci_low	0.01912557
thetaR_last_obs_p_ci_med	0.01968279
thetaR_last_obs_p_ci_up	0.02024973
R0_p_mean	1.078543
R0_p_ci_low	0.5165951
R0_p_ci_med	0.9636128
R0_p_ci_up	2.293244
gamma_p_mean	0.06964259
gamma_p_ci_low	0.006445751
gamma_p_ci_med	0.04726558
gamma_p_ci_up	0.2526898
beta_p_mean	0.06455177
beta_p_ci_low	0.007957035
beta_p_ci_med	0.04627335
beta_p_ci_up	0.2280001
incidence_mean	0.02084005
incidence_ci_low	0.01200329
incidence_ci_median	0.01983993
incidence_ci_up	0.03159817
thetaI_tp1_mean	0.00031546
thetaI_tp1_ci_low	0.0002550159
thetaI_tp1_ci_med	0.0003146799
thetaI_tp1_ci_up	0.0003801623
thetaR_tp1_mean	0.01868904
thetaR_tp1_ci_low	0.01822761
thetaR_tp1_ci_med	0.01868858
thetaR_tp1_ci_up	0.01915133
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.01993979
R_tp1_ci_low	0.01373897
R_tp1_ci_med	0.01972196
R_tp1_ci_up	0.02707889
thetaI_tp2_mean	0.0003096627
thetaI_tp2_ci_low	0.000251019
thetaI_tp2_ci_med	0.0003089644
thetaI_tp2_ci_up	0.0003722558
thetaR_tp2_mean	0.01878658
thetaR_tp2_ci_low	0.01832938
thetaR_tp2_ci_med	0.01878529
thetaR_tp2_ci_up	0.01925056
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02049459
thetaR_max_ci_low	0.01198558
thetaR_max_ci_med	0.01979257
thetaR_max_ci_up	0.03078882
cumInf_mean	0.02084005
cumInf_ci_low	0.01200329
cumInf_ci_med	0.01983993
cumInf_ci_up	0.03159817
dthetaI_tp1_date	06/11/21
first_tp_mean	06/17/21
first_tp_ci_low	06/02/21
first_tp_ci_med	06/11/21
first_tp_ci_up	10/26/21
dthetaI_tp2_date	06/13/21
second_tp_mean	06/19/21
second_tp_ci_low	06/03/21
second_tp_ci_med	06/13/21
second_tp_ci_up	11/08/21
end_p_mean	08/22/21
end_p_ci_low	07/19/21
end_p_ci_med	08/04/21
end_p_ci_up	12/16/21
begin_str	05/31/2021
