date	value	lower_ci	upper_ci	incidence	scenario
2021-07-20	2539504	2415790	2654022	NA	No intervention
2021-07-21	2541794	2400550	2682466	2290	No intervention
2021-07-22	2543787	2393519	2698547	1993	No intervention
2021-07-23	2545702	2373529	2719923	1915	No intervention
2021-07-24	2547584	2357937	2735471	1882	No intervention
2021-07-25	2549714	2355278	2750817	2130	No intervention
2021-07-26	2550334	2345602	2768692	620	No intervention
2021-07-27	2552041	2333208	2778468	1707	No intervention
2021-07-28	2553654	2330029	2802186	1613	No intervention
2021-07-29	2556070	2323712	2814703	2416	No intervention
2021-07-30	2556023	2296282	2822075	-47	No intervention
2021-07-31	2556994	2296945	2840971	971	No intervention
2021-08-01	2559523	2292783	2834319	2529	No intervention
2021-08-02	2562100	2289663	2851916	2577	No intervention
2021-08-03	2563749	2280576	2867263	1649	No intervention
2021-08-04	2564035	2278674	2866766	286	No intervention
2021-08-05	2563820	2270507	2882776	-215	No intervention
2021-08-06	2565252	2257503	2893526	1432	No intervention
2021-08-07	2566239	2258264	2904477	987	No intervention
2021-08-08	2566785	2255921	2910595	546	No intervention
2021-08-09	2566933	2248954	2912337	148	No intervention
2021-08-10	2567071	2245122	2930637	138	No intervention
2021-08-11	2567752	2229238	2920498	681	No intervention
2021-08-12	2568572	2223722	2926403	820	No intervention
2021-08-13	2569930	2231344	2943999	1358	No intervention
2021-08-14	2570495	2218610	2967637	565	No intervention
2021-08-15	2570655	2207021	2956841	160	No intervention
2021-08-16	2571390	2193850	2969838	735	No intervention
2021-08-17	2571398	2200102	2962617	8	No intervention
2021-08-18	2572475	2200831	2964183	1077	No intervention
2021-08-19	2573052	2196159	2987819	577	No intervention
2021-08-20	2573083	2187425	2985820	31	No intervention
2021-08-21	2574062	2176355	3011008	979	No intervention
2021-08-22	2573819	2186889	3006610	-243	No intervention
2021-08-23	2573883	2180579	3018632	64	No intervention
2021-08-24	2573013	2174428	3027255	-870	No intervention
2021-08-25	2573065	2157462	3040143	52	No intervention
2021-08-26	2572474	2145984	3033326	-591	No intervention
2021-08-27	2570971	2146810	3044775	-1503	No intervention
2021-08-28	2572333	2146589	3051111	1362	No intervention
2021-08-29	2572435	2146916	3035497	102	No intervention
2021-08-30	2573380	2141634	3046269	945	No intervention
2021-08-31	2573353	2142738	3049749	-27	No intervention
2021-09-01	2574584	2139099	3067840	1231	No intervention
2021-09-02	2574574	2140000	3078955	-10	No intervention
2021-09-03	2575513	2138329	3073385	939	No intervention
2021-09-04	2574828	2120740	3075414	-685	No intervention
2021-09-05	2576001	2131128	3059349	1173	No intervention
2021-09-06	2576082	2130986	3065101	81	No intervention
2021-09-07	2577573	2126857	3076437	1491	No intervention
