stat	value
thetaS_last_obs_p_mean	0.9860759
thetaI_last_obs_p_mean	9.113971e-06
thetaR_last_obs_p_mean	0.01391499
thetaS_last_obs_p_ci_low	0.985612
thetaS_last_obs_p_ci_med	0.9860762
thetaS_last_obs_p_ci_up	0.9865357
thetaI_last_obs_p_ci_low	1.564137e-06
thetaI_last_obs_p_ci_med	8.299869e-06
thetaI_last_obs_p_ci_up	2.128625e-05
thetaR_last_obs_p_ci_low	0.01345423
thetaR_last_obs_p_ci_med	0.01391472
thetaR_last_obs_p_ci_up	0.01437875
R0_p_mean	1.235437
R0_p_ci_low	0.5181315
R0_p_ci_med	1.091806
R0_p_ci_up	2.735166
gamma_p_mean	0.06821072
gamma_p_ci_low	0.006207024
gamma_p_ci_med	0.04030908
gamma_p_ci_up	0.2947099
beta_p_mean	0.06731
beta_p_ci_low	0.008125775
beta_p_ci_med	0.04740194
beta_p_ci_up	0.2502328
incidence_mean	0.01576818
incidence_ci_low	0.007812767
incidence_ci_median	0.01384177
incidence_ci_up	0.02275427
thetaI_tp1_mean	0.0005322707
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0004920687
thetaR_tp1_mean	0.01497954
thetaR_tp1_ci_low	0.007923996
thetaR_tp1_ci_med	0.01383737
thetaR_tp1_ci_up	0.02213295
Y_tp1_mean	0.0005322576
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0004926486
R_tp1_mean	0.01498018
R_tp1_ci_low	0.007914406
R_tp1_ci_med	0.01383881
R_tp1_ci_up	0.02214612
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01517068
thetaR_max_ci_low	0.007811532
thetaR_max_ci_med	0.01382808
thetaR_max_ci_up	0.02239574
cumInf_mean	0.01576818
cumInf_ci_low	0.007812767
cumInf_ci_med	0.01384177
cumInf_ci_up	0.02275427
dthetaI_tp1_date	12/15/21
first_tp_mean	07/10/21
first_tp_ci_low	06/06/21
first_tp_ci_med	07/07/21
first_tp_ci_up	10/19/21
dthetaI_tp2_date	12/15/21
second_tp_mean	07/12/21
second_tp_ci_low	06/08/21
second_tp_ci_med	07/08/21
second_tp_ci_up	11/12/21
end_p_mean	08/06/21
end_p_ci_low	07/22/21
end_p_ci_med	07/26/21
end_p_ci_up	12/22/21
begin_str	06/06/2021
