stat	value
thetaS_last_obs_p_mean	0.9914464
thetaI_last_obs_p_mean	8.061198e-06
thetaR_last_obs_p_mean	0.008545563
thetaS_last_obs_p_ci_low	0.9910883
thetaS_last_obs_p_ci_med	0.9914474
thetaS_last_obs_p_ci_up	0.9917988
thetaI_last_obs_p_ci_low	1.375377e-06
thetaI_last_obs_p_ci_med	7.249885e-06
thetaI_last_obs_p_ci_up	1.950167e-05
thetaR_last_obs_p_ci_low	0.008193132
thetaR_last_obs_p_ci_med	0.008544517
thetaR_last_obs_p_ci_up	0.0089037
R0_p_mean	1.662367
R0_p_ci_low	0.6708195
R0_p_ci_med	1.508935
R0_p_ci_up	3.518613
gamma_p_mean	0.05460788
gamma_p_ci_low	0.006869652
gamma_p_ci_med	0.03813698
gamma_p_ci_up	0.2018174
beta_p_mean	0.07950392
beta_p_ci_low	0.009640776
beta_p_ci_med	0.06092734
beta_p_ci_up	0.2544345
incidence_mean	0.03141328
incidence_ci_low	0.00410965
incidence_ci_median	0.008631432
incidence_ci_up	0.4600406
thetaI_tp1_mean	0.00196559
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.008070824
thetaR_tp1_mean	0.01189311
thetaR_tp1_ci_low	0.005139989
thetaR_tp1_ci_med	0.008588772
thetaR_tp1_ci_up	0.01758312
Y_tp1_mean	0.001965477
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.00805836
R_tp1_mean	0.01189239
R_tp1_ci_low	0.005122607
R_tp1_ci_med	0.008586521
R_tp1_ci_up	0.01759163
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02696748
thetaR_max_ci_low	0.004106676
thetaR_max_ci_med	0.008617711
thetaR_max_ci_up	0.3090074
cumInf_mean	0.03141328
cumInf_ci_low	0.00410965
cumInf_ci_med	0.008631432
cumInf_ci_up	0.4600406
dthetaI_tp1_date	10/17/21
first_tp_mean	07/12/21
first_tp_ci_low	06/09/21
first_tp_ci_med	07/03/21
first_tp_ci_up	12/25/21
dthetaI_tp2_date	10/17/21
second_tp_mean	07/15/21
second_tp_ci_low	06/11/21
second_tp_ci_med	07/04/21
second_tp_ci_up	12/25/21
end_p_mean	08/15/21
end_p_ci_low	07/25/21
end_p_ci_med	07/30/21
end_p_ci_up	12/25/21
begin_str	06/09/2021
