date	value	incidence	scenario	lower_ci	upper_ci
2021-06-10	9073	NA	Observed	NA	NA
2021-06-11	9122	49	Observed	NA	NA
2021-06-12	9175	53	Observed	NA	NA
2021-06-13	9209	34	Observed	NA	NA
2021-06-14	9236	27	Observed	NA	NA
2021-06-15	9297	61	Observed	NA	NA
2021-06-16	9339	42	Observed	NA	NA
2021-06-17	9377	38	Observed	NA	NA
2021-06-18	9392	15	Observed	NA	NA
2021-06-19	9430	38	Observed	NA	NA
2021-06-20	9443	13	Observed	NA	NA
2021-06-21	9471	28	Observed	NA	NA
2021-06-22	9504	33	Observed	NA	NA
2021-06-23	9559	55	Observed	NA	NA
2021-06-24	9601	42	Observed	NA	NA
2021-06-25	9632	31	Observed	NA	NA
2021-06-26	9659	27	Observed	NA	NA
2021-06-27	9687	28	Observed	NA	NA
2021-06-28	9715	28	Observed	NA	NA
2021-06-29	9742	27	Observed	NA	NA
2021-06-30	9770	28	Observed	NA	NA
2021-07-01	9808	38	Observed	NA	NA
2021-07-02	9843	35	Observed	NA	NA
2021-07-03	9861	18	Observed	NA	NA
2021-07-04	9900	39	Observed	NA	NA
2021-07-05	9936	36	Observed	NA	NA
2021-07-06	9947	11	Observed	NA	NA
2021-07-07	9965	18	Observed	NA	NA
2021-07-08	9980	15	Observed	NA	NA
2021-07-09	10002	22	Observed	NA	NA
2021-07-10	10011	9	Observed	NA	NA
2021-07-11	10013	2	Observed	NA	NA
2021-07-12	10020	7	Observed	NA	NA
2021-07-13	10031	11	Observed	NA	NA
2021-07-14	10036	5	Observed	NA	NA
2021-07-15	10043	7	Observed	NA	NA
2021-07-16	10053	10	Observed	NA	NA
2021-07-17	10061	8	Observed	NA	NA
2021-07-18	10064	3	Observed	NA	NA
2021-07-19	10076	12	Observed	NA	NA
2021-07-20	10092	16	Observed	NA	NA
2021-07-21	10093	1	Observed	NA	NA
2021-07-22	10100	7	Observed	NA	NA
2021-07-23	10110	10	Observed	NA	NA
2021-07-24	10127	17	Observed	NA	NA
2021-07-25	10131	NA	No intervention	9872	10395
2021-07-26	10140	9	No intervention	9829	10459
2021-07-27	10148	8	No intervention	9791	10514
2021-07-28	10156	8	No intervention	9759	10560
2021-07-29	10163	7	No intervention	9733	10604
2021-07-30	10170	7	No intervention	9707	10645
2021-07-31	10177	7	No intervention	9685	10684
2021-08-01	10184	7	No intervention	9663	10718
2021-08-02	10190	6	No intervention	9643	10753
2021-08-03	10195	5	No intervention	9623	10787
2021-08-04	10201	6	No intervention	9608	10820
2021-08-05	10206	5	No intervention	9591	10848
2021-08-06	10212	6	No intervention	9576	10878
2021-08-07	10217	5	No intervention	9560	10905
2021-08-08	10221	4	No intervention	9544	10934
2021-08-09	10226	5	No intervention	9532	10958
2021-08-10	10231	5	No intervention	9518	10981
2021-08-11	10235	4	No intervention	9499	11004
2021-08-12	10239	4	No intervention	9490	11025
2021-08-13	10242	3	No intervention	9475	11048
2021-08-14	10246	4	No intervention	9464	11068
2021-08-15	10249	3	No intervention	9450	11091
2021-08-16	10253	4	No intervention	9439	11110
2021-08-17	10256	3	No intervention	9429	11129
2021-08-18	10259	3	No intervention	9414	11150
2021-08-19	10262	3	No intervention	9402	11171
2021-08-20	10264	2	No intervention	9392	11189
2021-08-21	10267	3	No intervention	9380	11209
2021-08-22	10270	3	No intervention	9371	11225
2021-08-23	10272	2	No intervention	9361	11241
2021-08-24	10274	2	No intervention	9348	11257
2021-08-25	10277	3	No intervention	9337	11271
2021-08-26	10279	2	No intervention	9329	11289
2021-08-27	10281	2	No intervention	9314	11306
2021-08-28	10283	2	No intervention	9303	11324
2021-08-29	10285	2	No intervention	9294	11337
2021-08-30	10287	2	No intervention	9282	11355
2021-08-31	10289	2	No intervention	9271	11367
2021-09-01	10291	2	No intervention	9261	11380
2021-09-02	10292	1	No intervention	9252	11396
2021-09-03	10294	2	No intervention	9244	11411
2021-09-04	10295	1	No intervention	9233	11423
2021-09-05	10296	1	No intervention	9221	11439
2021-09-06	10297	1	No intervention	9216	11449
2021-09-07	10298	1	No intervention	9205	11463
2021-09-08	10300	2	No intervention	9196	11479
2021-09-09	10301	1	No intervention	9186	11489
2021-09-10	10302	1	No intervention	9174	11503
2021-09-11	10303	1	No intervention	9166	11514
2021-09-12	10304	1	No intervention	9158	11528
2021-09-13	10305	1	No intervention	9145	11540
2021-09-14	10306	1	No intervention	9136	11554
2021-09-15	10307	1	No intervention	9130	11563
2021-09-16	10308	1	No intervention	9121	11576
2021-09-17	10309	1	No intervention	9109	11587
2021-09-18	10310	1	No intervention	9105	11601
2021-09-19	10310	0	No intervention	9094	11608
2021-09-20	10311	1	No intervention	9085	11621
2021-09-21	10312	1	No intervention	9076	11634
2021-09-22	10312	0	No intervention	9067	11644
2021-09-23	10313	1	No intervention	9056	11658
2021-09-24	10314	1	No intervention	9048	11666
2021-09-25	10314	0	No intervention	9039	11677
2021-09-26	10315	1	No intervention	9034	11685
2021-09-27	10315	0	No intervention	9020	11698
2021-09-28	10316	1	No intervention	9014	11709
2021-09-29	10316	0	No intervention	9004	11721
2021-09-30	10317	1	No intervention	8995	11728
2021-10-01	10317	0	No intervention	8988	11741
2021-10-02	10318	1	No intervention	8976	11753
2021-10-03	10319	1	No intervention	8970	11762
2021-10-04	10319	0	No intervention	8962	11775
2021-10-05	10319	0	No intervention	8953	11784
2021-10-06	10320	1	No intervention	8941	11793
2021-10-07	10320	0	No intervention	8937	11806
2021-10-08	10321	1	No intervention	8927	11814
2021-10-09	10321	0	No intervention	8916	11824
2021-10-10	10322	1	No intervention	8907	11835
2021-10-11	10322	0	No intervention	8900	11841
2021-10-12	10323	1	No intervention	8895	11851
2021-10-13	10323	0	No intervention	8882	11859
2021-10-14	10323	0	No intervention	8874	11869
2021-10-15	10324	1	No intervention	8867	11879
2021-10-16	10324	0	No intervention	8860	11892
2021-10-17	10324	0	No intervention	8854	11896
2021-10-18	10324	0	No intervention	8845	11904
2021-10-19	10325	1	No intervention	8837	11911
2021-10-20	10325	0	No intervention	8832	11918
2021-10-21	10325	0	No intervention	8822	11926
2021-10-22	10325	0	No intervention	8814	11940
2021-10-23	10326	1	No intervention	8808	11947
2021-10-24	10326	0	No intervention	8798	11959
2021-10-25	10326	0	No intervention	8793	11964
2021-10-26	10326	0	No intervention	8784	11970
2021-10-27	10327	1	No intervention	8773	11983
2021-10-28	10327	0	No intervention	8767	11987
2021-10-29	10327	0	No intervention	8761	11995
2021-10-30	10327	0	No intervention	8754	11998
2021-10-31	10327	0	No intervention	8746	12010
2021-11-01	10327	0	No intervention	8737	12022
2021-11-02	10328	1	No intervention	8730	12029
2021-11-03	10328	0	No intervention	8726	12037
2021-11-04	10328	0	No intervention	8718	12044
2021-11-05	10328	0	No intervention	8708	12056
2021-11-06	10329	1	No intervention	8701	12061
2021-11-07	10329	0	No intervention	8691	12073
2021-11-08	10329	0	No intervention	8684	12080
2021-11-09	10329	0	No intervention	8680	12087
2021-11-10	10329	0	No intervention	8669	12097
2021-11-11	10329	0	No intervention	8661	12101
2021-11-12	10329	0	No intervention	8653	12107
2021-11-13	10329	0	No intervention	8648	12116
2021-11-14	10330	1	No intervention	8641	12124
2021-11-15	10330	0	No intervention	8636	12127
2021-11-16	10330	0	No intervention	8628	12138
2021-11-17	10330	0	No intervention	8625	12145
2021-11-18	10330	0	No intervention	8615	12148
2021-11-19	10330	0	No intervention	8609	12153
2021-11-20	10330	0	No intervention	8605	12163
2021-11-21	10330	0	No intervention	8598	12173
2021-11-22	10330	0	No intervention	8589	12181
2021-11-23	10330	0	No intervention	8583	12187
2021-11-24	10330	0	No intervention	8581	12197
2021-11-25	10330	0	No intervention	8575	12200
2021-11-26	10330	0	No intervention	8567	12211
2021-11-27	10330	0	No intervention	8556	12211
2021-11-28	10330	0	No intervention	8550	12226
2021-11-29	10330	0	No intervention	8543	12230
2021-11-30	10330	0	No intervention	8535	12234
2021-12-01	10330	0	No intervention	8532	12242
2021-12-02	10330	0	No intervention	8519	12252
2021-12-03	10330	0	No intervention	8515	12259
2021-12-04	10330	0	No intervention	8507	12267
2021-12-05	10330	0	No intervention	8500	12274
2021-12-06	10330	0	No intervention	8493	12277
2021-12-07	10330	0	No intervention	8487	12285
2021-12-08	10330	0	No intervention	8480	12288
2021-12-09	10330	0	No intervention	8467	12297
2021-12-10	10330	0	No intervention	8465	12302
2021-12-11	10330	0	No intervention	8458	12306
