date	value	lower_ci	upper_ci	incidence	scenario
2021-07-28	7528	7085	7991	NA	No intervention
2021-07-29	7529	7016	8070	1	No intervention
2021-07-30	7530	6958	8138	1	No intervention
2021-07-31	7530	6905	8198	0	No intervention
2021-08-01	7531	6854	8255	1	No intervention
2021-08-02	7532	6808	8309	1	No intervention
2021-08-03	7534	6771	8360	2	No intervention
2021-08-04	7535	6734	8409	1	No intervention
2021-08-05	7537	6697	8456	2	No intervention
2021-08-06	7538	6663	8502	1	No intervention
2021-08-07	7539	6627	8547	1	No intervention
2021-08-08	7540	6594	8588	1	No intervention
2021-08-09	7541	6565	8629	1	No intervention
2021-08-10	7542	6531	8664	1	No intervention
2021-08-11	7543	6503	8700	1	No intervention
2021-08-12	7545	6476	8742	2	No intervention
2021-08-13	7546	6451	8777	1	No intervention
2021-08-14	7547	6425	8813	1	No intervention
2021-08-15	7548	6399	8844	1	No intervention
2021-08-16	7550	6375	8878	2	No intervention
2021-08-17	7551	6343	8910	1	No intervention
2021-08-18	7552	6327	8946	1	No intervention
2021-08-19	7553	6299	8974	1	No intervention
2021-08-20	7555	6274	9007	2	No intervention
2021-08-21	7556	6252	9041	1	No intervention
2021-08-22	7557	6237	9069	1	No intervention
2021-08-23	7558	6217	9101	1	No intervention
2021-08-24	7559	6192	9136	1	No intervention
2021-08-25	7561	6173	9167	2	No intervention
2021-08-26	7563	6150	9198	2	No intervention
2021-08-27	7564	6132	9234	1	No intervention
2021-08-28	7565	6111	9266	1	No intervention
2021-08-29	7567	6094	9283	2	No intervention
2021-08-30	7568	6072	9308	1	No intervention
2021-08-31	7570	6048	9338	2	No intervention
2021-09-01	7571	6033	9371	1	No intervention
2021-09-02	7573	6013	9399	2	No intervention
2021-09-03	7575	5996	9425	2	No intervention
2021-09-04	7577	5979	9454	2	No intervention
2021-09-05	7579	5961	9493	2	No intervention
2021-09-06	7580	5946	9515	1	No intervention
2021-09-07	7582	5929	9545	2	No intervention
2021-09-08	7584	5913	9568	2	No intervention
2021-09-09	7586	5896	9598	2	No intervention
2021-09-10	7588	5875	9629	2	No intervention
2021-09-11	7589	5861	9661	1	No intervention
2021-09-12	7591	5846	9690	2	No intervention
2021-09-13	7593	5831	9716	2	No intervention
2021-09-14	7595	5812	9744	2	No intervention
2021-09-15	7597	5795	9773	2	No intervention
2021-09-16	7599	5783	9800	2	No intervention
2021-09-17	7601	5770	9833	2	No intervention
2021-09-18	7604	5753	9867	3	No intervention
2021-09-19	7606	5736	9892	2	No intervention
2021-09-20	7608	5727	9922	2	No intervention
2021-09-21	7610	5714	9947	2	No intervention
2021-09-22	7613	5695	9982	3	No intervention
2021-09-23	7616	5677	10011	3	No intervention
2021-09-24	7618	5659	10040	2	No intervention
2021-09-25	7621	5654	10061	3	No intervention
2021-09-26	7624	5639	10097	3	No intervention
2021-09-27	7627	5626	10129	3	No intervention
2021-09-28	7630	5615	10156	3	No intervention
2021-09-29	7634	5602	10197	4	No intervention
2021-09-30	7637	5584	10222	3	No intervention
2021-10-01	7640	5572	10255	3	No intervention
2021-10-02	7644	5557	10290	4	No intervention
2021-10-03	7647	5538	10323	3	No intervention
2021-10-04	7651	5529	10353	4	No intervention
2021-10-05	7656	5517	10385	5	No intervention
2021-10-06	7660	5502	10419	4	No intervention
2021-10-07	7664	5496	10462	4	No intervention
2021-10-08	7668	5480	10496	4	No intervention
2021-10-09	7674	5471	10527	6	No intervention
2021-10-10	7678	5451	10565	4	No intervention
2021-10-11	7684	5440	10594	6	No intervention
2021-10-12	7689	5429	10641	5	No intervention
2021-10-13	7694	5418	10677	5	No intervention
2021-10-14	7700	5405	10709	6	No intervention
2021-10-15	7705	5393	10754	5	No intervention
2021-10-16	7711	5381	10789	6	No intervention
2021-10-17	7718	5370	10826	7	No intervention
2021-10-18	7724	5358	10865	6	No intervention
2021-10-19	7731	5350	10911	7	No intervention
2021-10-20	7738	5334	10948	7	No intervention
2021-10-21	7746	5326	10993	8	No intervention
2021-10-22	7753	5317	11034	7	No intervention
2021-10-23	7761	5302	11077	8	No intervention
2021-10-24	7768	5290	11124	7	No intervention
2021-10-25	7777	5277	11166	9	No intervention
2021-10-26	7786	5270	11206	9	No intervention
2021-10-27	7795	5256	11253	9	No intervention
2021-10-28	7804	5244	11288	9	No intervention
2021-10-29	7814	5229	11352	10	No intervention
2021-10-30	7823	5221	11388	9	No intervention
2021-10-31	7833	5208	11442	10	No intervention
2021-11-01	7843	5198	11472	10	No intervention
2021-11-02	7853	5183	11538	10	No intervention
2021-11-03	7865	5179	11579	12	No intervention
2021-11-04	7875	5167	11634	10	No intervention
2021-11-05	7886	5152	11664	11	No intervention
2021-11-06	7898	5142	11733	12	No intervention
2021-11-07	7910	5131	11789	12	No intervention
2021-11-08	7923	5122	11849	13	No intervention
2021-11-09	7936	5119	11906	13	No intervention
2021-11-10	7950	5104	11969	14	No intervention
2021-11-11	7964	5099	12034	14	No intervention
2021-11-12	7977	5087	12089	13	No intervention
2021-11-13	7992	5072	12159	15	No intervention
2021-11-14	8007	5067	12219	15	No intervention
2021-11-15	8022	5062	12286	15	No intervention
2021-11-16	8038	5051	12358	16	No intervention
2021-11-17	8053	5038	12426	15	No intervention
2021-11-18	8069	5027	12485	16	No intervention
2021-11-19	8087	5015	12555	18	No intervention
2021-11-20	8104	5002	12614	17	No intervention
2021-11-21	8121	4998	12698	17	No intervention
2021-11-22	8139	4989	12763	18	No intervention
2021-11-23	8158	4973	12847	19	No intervention
2021-11-24	8177	4968	12922	19	No intervention
2021-11-25	8196	4957	13002	19	No intervention
2021-11-26	8216	4950	13078	20	No intervention
2021-11-27	8236	4940	13147	20	No intervention
2021-11-28	8256	4931	13233	20	No intervention
2021-11-29	8277	4926	13341	21	No intervention
2021-11-30	8298	4914	13420	21	No intervention
2021-12-01	8319	4898	13515	21	No intervention
2021-12-02	8341	4895	13600	22	No intervention
2021-12-03	8364	4889	13700	23	No intervention
2021-12-04	8387	4874	13792	23	No intervention
2021-12-05	8410	4869	13914	23	No intervention
2021-12-06	8434	4858	14006	24	No intervention
2021-12-07	8458	4850	14124	24	No intervention
2021-12-08	8482	4844	14220	24	No intervention
2021-12-09	8507	4834	14330	25	No intervention
2021-12-10	8533	4824	14427	26	No intervention
2021-12-11	8558	4817	14544	25	No intervention
2021-12-12	8584	4812	14649	26	No intervention
2021-12-13	8610	4799	14775	26	No intervention
2021-12-14	8637	4798	14907	27	No intervention
2021-12-15	8665	4786	15010	28	No intervention
2021-12-16	8692	4775	15155	27	No intervention
2021-12-17	8720	4773	15298	28	No intervention
2021-12-18	8748	4755	15443	28	No intervention
2021-12-19	8777	4752	15583	29	No intervention
2021-12-20	8807	4742	15732	30	No intervention
2021-12-21	8837	4731	15894	30	No intervention
2021-12-22	8867	4722	16050	30	No intervention
2021-12-23	8899	4711	16204	32	No intervention
2021-12-24	8930	4704	16347	31	No intervention
2021-12-25	8961	4694	16513	31	No intervention
2021-12-26	8993	4687	16682	32	No intervention
2021-12-27	9025	4679	16857	32	No intervention
2021-12-28	9058	4669	17065	33	No intervention
2021-12-29	9091	4658	17243	33	No intervention
