stat	value
thetaS_last_obs_p_mean	0.9645955
thetaI_last_obs_p_mean	0.00030473
thetaR_last_obs_p_mean	0.03509978
thetaS_last_obs_p_ci_low	0.9638424
thetaS_last_obs_p_ci_med	0.9645964
thetaS_last_obs_p_ci_up	0.9653464
thetaI_last_obs_p_ci_low	0.0002355233
thetaI_last_obs_p_ci_med	0.000303851
thetaI_last_obs_p_ci_up	0.0003784683
thetaR_last_obs_p_ci_low	0.03435156
thetaR_last_obs_p_ci_med	0.035098
thetaR_last_obs_p_ci_up	0.03585034
R0_p_mean	0.6923635
R0_p_ci_low	0.4250278
R0_p_ci_med	0.701174
R0_p_ci_up	0.9093616
gamma_p_mean	0.1560592
gamma_p_ci_low	0.05655054
gamma_p_ci_med	0.1495548
gamma_p_ci_up	0.28981
beta_p_mean	0.1118498
beta_p_ci_low	0.02981372
beta_p_ci_med	0.1026615
beta_p_ci_up	0.243738
incidence_mean	0.03616784
incidence_ci_low	0.02511473
incidence_ci_median	0.03591677
incidence_ci_up	0.04865303
thetaI_tp1_mean	5.765693e-06
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0
thetaR_tp1_mean	0.03616208
thetaR_tp1_ci_low	0.02511244
thetaR_tp1_ci_med	0.03591258
thetaR_tp1_ci_up	0.04863059
Y_tp1_mean	5.781118e-06
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0
R_tp1_mean	0.03616085
R_tp1_ci_low	0.02508852
R_tp1_ci_med	0.03590874
R_tp1_ci_up	0.04865411
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03616208
thetaR_max_ci_low	0.02511244
thetaR_max_ci_med	0.03591258
thetaR_max_ci_up	0.04863059
cumInf_mean	0.03616784
cumInf_ci_low	0.02511473
cumInf_ci_med	0.03591677
cumInf_ci_up	0.04865303
dthetaI_tp1_date	12/29/21
first_tp_mean	07/09/21
first_tp_ci_low	06/13/21
first_tp_ci_med	07/09/21
first_tp_ci_up	07/26/21
dthetaI_tp2_date	12/29/21
second_tp_mean	07/10/21
second_tp_ci_low	06/13/21
second_tp_ci_med	07/11/21
second_tp_ci_up	07/28/21
end_p_mean	09/16/21
end_p_ci_low	08/14/21
end_p_ci_med	09/10/21
end_p_ci_up	12/12/21
begin_str	06/13/2021
