date	value	lower_ci	upper_ci	incidence	scenario
2021-08-02	61953	59876	64074	NA	No intervention
2021-08-03	61956	59567	64417	3	No intervention
2021-08-04	61959	59293	64709	3	No intervention
2021-08-05	61961	59040	64980	2	No intervention
2021-08-06	61964	58808	65226	3	No intervention
2021-08-07	61968	58586	65454	4	No intervention
2021-08-08	61970	58378	65692	2	No intervention
2021-08-09	61972	58204	65916	2	No intervention
2021-08-10	61974	58033	66105	2	No intervention
2021-08-11	61974	57859	66304	0	No intervention
2021-08-12	61975	57685	66475	1	No intervention
2021-08-13	61977	57521	66652	2	No intervention
2021-08-14	61979	57375	66822	2	No intervention
2021-08-15	61982	57238	66977	3	No intervention
2021-08-16	61984	57092	67152	2	No intervention
2021-08-17	61987	56970	67298	3	No intervention
2021-08-18	61990	56820	67453	3	No intervention
2021-08-19	61992	56717	67606	2	No intervention
2021-08-20	61992	56596	67745	0	No intervention
2021-08-21	61991	56450	67868	-1	No intervention
2021-08-22	61994	56346	68038	3	No intervention
2021-08-23	61995	56204	68143	1	No intervention
2021-08-24	61997	56108	68269	2	No intervention
2021-08-25	62000	55993	68415	3	No intervention
2021-08-26	62002	55892	68557	2	No intervention
2021-08-27	62004	55764	68663	2	No intervention
2021-08-28	62007	55665	68799	3	No intervention
2021-08-29	62010	55583	68923	3	No intervention
2021-08-30	62011	55473	69020	1	No intervention
2021-08-31	62013	55361	69150	2	No intervention
2021-09-01	62015	55251	69262	2	No intervention
2021-09-02	62018	55152	69368	3	No intervention
2021-09-03	62020	55062	69500	2	No intervention
2021-09-04	62021	54973	69623	1	No intervention
2021-09-05	62024	54896	69712	3	No intervention
2021-09-06	62026	54781	69836	2	No intervention
2021-09-07	62027	54709	69931	1	No intervention
2021-09-08	62027	54622	70047	0	No intervention
2021-09-09	62031	54527	70164	4	No intervention
2021-09-10	62034	54432	70291	3	No intervention
2021-09-11	62036	54351	70415	2	No intervention
2021-09-12	62039	54241	70494	3	No intervention
2021-09-13	62042	54162	70557	3	No intervention
2021-09-14	62044	54105	70699	2	No intervention
2021-09-15	62045	53990	70816	1	No intervention
2021-09-16	62048	53933	70933	3	No intervention
2021-09-17	62047	53822	71036	-1	No intervention
2021-09-18	62048	53731	71135	1	No intervention
2021-09-19	62049	53667	71227	1	No intervention
2021-09-20	62053	53611	71316	4	No intervention
2021-09-21	62053	53557	71398	0	No intervention
2021-09-22	62057	53450	71488	4	No intervention
2021-09-23	62058	53357	71626	1	No intervention
2021-09-24	62060	53317	71688	2	No intervention
2021-09-25	62061	53221	71755	1	No intervention
2021-09-26	62064	53162	71866	3	No intervention
2021-09-27	62069	53074	71988	5	No intervention
2021-09-28	62072	53010	72052	3	No intervention
2021-09-29	62074	52947	72124	2	No intervention
2021-09-30	62076	52873	72215	2	No intervention
2021-10-01	62079	52815	72277	3	No intervention
2021-10-02	62083	52716	72431	4	No intervention
2021-10-03	62087	52649	72463	4	No intervention
2021-10-04	62092	52567	72571	5	No intervention
2021-10-05	62096	52516	72643	4	No intervention
2021-10-06	62100	52456	72742	4	No intervention
2021-10-07	62102	52369	72846	2	No intervention
2021-10-08	62105	52304	72913	3	No intervention
2021-10-09	62109	52224	73016	4	No intervention
2021-10-10	62112	52198	73093	3	No intervention
2021-10-11	62115	52118	73171	3	No intervention
2021-10-12	62118	52060	73301	3	No intervention
2021-10-13	62126	51998	73401	8	No intervention
2021-10-14	62129	51931	73451	3	No intervention
2021-10-15	62132	51891	73555	3	No intervention
2021-10-16	62135	51804	73636	3	No intervention
2021-10-17	62141	51740	73745	6	No intervention
2021-10-18	62148	51682	73849	7	No intervention
2021-10-19	62154	51629	73938	6	No intervention
2021-10-20	62160	51567	74011	6	No intervention
2021-10-21	62165	51505	74096	5	No intervention
2021-10-22	62168	51430	74164	3	No intervention
2021-10-23	62175	51383	74264	7	No intervention
