date	value	incidence	scenario	lower_ci	upper_ci
2021-06-19	873925	NA	Observed	NA	NA
2021-06-20	877502	3577	Observed	NA	NA
2021-06-21	880533	3031	Observed	NA	NA
2021-06-22	883490	2957	Observed	NA	NA
2021-06-23	886946	3456	Observed	NA	NA
2021-06-24	890596	3650	Observed	NA	NA
2021-06-25	893508	2912	Observed	NA	NA
2021-06-26	897062	3554	Observed	NA	NA
2021-06-27	900470	3408	Observed	NA	NA
2021-06-28	903789	3319	Observed	NA	NA
2021-06-29	906429	2640	Observed	NA	NA
2021-06-30	909800	3371	Observed	NA	NA
2021-07-01	912887	3087	Observed	NA	NA
2021-07-02	916109	3222	Observed	NA	NA
2021-07-03	919026	2917	Observed	NA	NA
2021-07-04	921896	2870	Observed	NA	NA
2021-07-05	924699	2803	Observed	NA	NA
2021-07-06	927186	2487	Observed	NA	NA
2021-07-07	929788	2602	Observed	NA	NA
2021-07-08	932330	2542	Observed	NA	NA
2021-07-09	935136	2806	Observed	NA	NA
2021-07-10	937470	2334	Observed	NA	NA
2021-07-11	939752	2282	Observed	NA	NA
2021-07-12	941745	1993	Observed	NA	NA
2021-07-13	943675	1930	Observed	NA	NA
2021-07-14	945749	2074	Observed	NA	NA
2021-07-15	947859	2110	Observed	NA	NA
2021-07-16	949929	2070	Observed	NA	NA
2021-07-17	952111	2182	Observed	NA	NA
2021-07-18	954326	2215	Observed	NA	NA
2021-07-19	955974	1648	Observed	NA	NA
2021-07-20	958059	2085	Observed	NA	NA
2021-07-21	959986	1927	Observed	NA	NA
2021-07-22	961934	1948	Observed	NA	NA
2021-07-23	963851	1917	Observed	NA	NA
2021-07-24	965715	1864	Observed	NA	NA
2021-07-25	967548	1833	Observed	NA	NA
2021-07-26	969185	1637	Observed	NA	NA
2021-07-27	970814	1629	Observed	NA	NA
2021-07-28	972517	1703	Observed	NA	NA
2021-07-29	974132	1615	Observed	NA	NA
2021-07-30	975690	1558	Observed	NA	NA
2021-07-31	977268	1578	Observed	NA	NA
2021-08-01	978705	1437	Observed	NA	NA
2021-08-02	979737	1032	Observed	NA	NA
2021-08-03	980440	NA	No intervention	924574	1038469
2021-08-04	981125	685	No intervention	916907	1047981
2021-08-05	981935	810	No intervention	910497	1056776
2021-08-06	982711	776	No intervention	904231	1065287
2021-08-07	983462	751	No intervention	898866	1073301
2021-08-08	984190	728	No intervention	894021	1080253
2021-08-09	984941	751	No intervention	889113	1086760
2021-08-10	985682	741	No intervention	885008	1093480
2021-08-11	986423	741	No intervention	880847	1100169
2021-08-12	987189	766	No intervention	876809	1105788
2021-08-13	987905	716	No intervention	873428	1111614
2021-08-14	988626	721	No intervention	869910	1117590
2021-08-15	989323	697	No intervention	866275	1122732
2021-08-16	989986	663	No intervention	862774	1128550
2021-08-17	990717	731	No intervention	859842	1134312
2021-08-18	991436	719	No intervention	856841	1139415
2021-08-19	992109	673	No intervention	854458	1144212
2021-08-20	992840	731	No intervention	851251	1150030
2021-08-21	993537	697	No intervention	848802	1154901
2021-08-22	994279	742	No intervention	845573	1159701
2021-08-23	994986	707	No intervention	842712	1164659
2021-08-24	995690	704	No intervention	840436	1169303
2021-08-25	996401	711	No intervention	837891	1174484
2021-08-26	997112	711	No intervention	835767	1179378
2021-08-27	997780	668	No intervention	833745	1183724
2021-08-28	998450	670	No intervention	831830	1187848
2021-08-29	999085	635	No intervention	829481	1192884
2021-08-30	999796	711	No intervention	827499	1196507
2021-08-31	1000407	611	No intervention	825493	1201673
2021-09-01	1001041	634	No intervention	823793	1205755
2021-09-02	1001720	679	No intervention	821601	1210688
2021-09-03	1002400	680	No intervention	819780	1215467
2021-09-04	1003051	651	No intervention	817731	1219324
2021-09-05	1003751	700	No intervention	816328	1223673
2021-09-06	1004402	651	No intervention	813975	1228077
2021-09-07	1005109	707	No intervention	812317	1232169
2021-09-08	1005775	666	No intervention	810445	1236503
2021-09-09	1006451	676	No intervention	808125	1241108
2021-09-10	1007082	631	No intervention	806777	1244676
2021-09-11	1007726	644	No intervention	805704	1249844
2021-09-12	1008398	672	No intervention	803573	1254114
2021-09-13	1009101	703	No intervention	802082	1258694
2021-09-14	1009776	675	No intervention	801055	1262786
2021-09-15	1010451	675	No intervention	798787	1266890
2021-09-16	1011127	676	No intervention	797686	1271574
2021-09-17	1011813	686	No intervention	795834	1275075
2021-09-18	1012521	708	No intervention	794120	1280877
2021-09-19	1013174	653	No intervention	792113	1284934
2021-09-20	1013876	702	No intervention	790574	1289471
2021-09-21	1014595	719	No intervention	788914	1293523
2021-09-22	1015320	725	No intervention	788311	1298232
2021-09-23	1015939	619	No intervention	786349	1302506
2021-09-24	1016621	682	No intervention	785150	1305574
2021-09-25	1017359	738	No intervention	783358	1309760
2021-09-26	1018015	656	No intervention	782130	1313465
2021-09-27	1018683	668	No intervention	781077	1317812
2021-09-28	1019370	687	No intervention	779131	1322843
2021-09-29	1020028	658	No intervention	778503	1326904
2021-09-30	1020742	714	No intervention	776668	1331541
2021-10-01	1021416	674	No intervention	775449	1336700
