date	value	incidence	scenario	lower_ci	upper_ci
2021-06-20	164436	NA	Observed	NA	NA
2021-06-21	164654	218	Observed	NA	NA
2021-06-22	164957	303	Observed	NA	NA
2021-06-23	165197	240	Observed	NA	NA
2021-06-24	165426	229	Observed	NA	NA
2021-06-25	165648	222	Observed	NA	NA
2021-06-26	165883	235	Observed	NA	NA
2021-06-27	166098	215	Observed	NA	NA
2021-06-28	166236	138	Observed	NA	NA
2021-06-29	166449	213	Observed	NA	NA
2021-06-30	166689	240	Observed	NA	NA
2021-07-01	166920	231	Observed	NA	NA
2021-07-02	167103	183	Observed	NA	NA
2021-07-03	167272	169	Observed	NA	NA
2021-07-04	167436	164	Observed	NA	NA
2021-07-05	167566	130	Observed	NA	NA
2021-07-06	167823	257	Observed	NA	NA
2021-07-07	168015	192	Observed	NA	NA
2021-07-08	168210	195	Observed	NA	NA
2021-07-09	168430	220	Observed	NA	NA
2021-07-10	168585	155	Observed	NA	NA
2021-07-11	168716	131	Observed	NA	NA
2021-07-12	168824	108	Observed	NA	NA
2021-07-13	168988	164	Observed	NA	NA
2021-07-14	169215	227	Observed	NA	NA
2021-07-15	169341	126	Observed	NA	NA
2021-07-16	169461	120	Observed	NA	NA
2021-07-17	169620	159	Observed	NA	NA
2021-07-18	169740	120	Observed	NA	NA
2021-07-19	169839	99	Observed	NA	NA
2021-07-20	169971	132	Observed	NA	NA
2021-07-21	170102	131	Observed	NA	NA
2021-07-22	170199	97	Observed	NA	NA
2021-07-23	170272	73	Observed	NA	NA
2021-07-24	170416	144	Observed	NA	NA
2021-07-25	170491	75	Observed	NA	NA
2021-07-26	170581	90	Observed	NA	NA
2021-07-27	170729	148	Observed	NA	NA
2021-07-28	170810	81	Observed	NA	NA
2021-07-29	170900	90	Observed	NA	NA
2021-07-30	171052	152	Observed	NA	NA
2021-07-31	171146	94	Observed	NA	NA
2021-08-01	171205	59	Observed	NA	NA
2021-08-02	171295	90	Observed	NA	NA
2021-08-03	171396	101	Observed	NA	NA
2021-08-04	171441	NA	No intervention	167167	175808
2021-08-05	171504	63	No intervention	166516	176555
2021-08-06	171563	59	No intervention	166013	177232
2021-08-07	171621	58	No intervention	165517	177860
2021-08-08	171681	60	No intervention	165145	178396
2021-08-09	171737	56	No intervention	164741	178931
2021-08-10	171793	56	No intervention	164355	179443
2021-08-11	171848	55	No intervention	163993	179921
2021-08-12	171902	54	No intervention	163701	180406
2021-08-13	171955	53	No intervention	163405	180836
2021-08-14	172009	54	No intervention	163090	181277
2021-08-15	172061	52	No intervention	162840	181726
2021-08-16	172111	50	No intervention	162536	182036
2021-08-17	172163	52	No intervention	162308	182425
2021-08-18	172206	43	No intervention	162007	182806
2021-08-19	172251	45	No intervention	161778	183154
2021-08-20	172298	47	No intervention	161535	183533
2021-08-21	172348	50	No intervention	161353	183890
2021-08-22	172396	48	No intervention	161129	184215
2021-08-23	172439	43	No intervention	160935	184522
2021-08-24	172480	41	No intervention	160721	184849
2021-08-25	172526	46	No intervention	160483	185166
2021-08-26	172571	45	No intervention	160302	185477
2021-08-27	172615	44	No intervention	160125	185761
2021-08-28	172658	43	No intervention	159953	186150
2021-08-29	172700	42	No intervention	159730	186439
2021-08-30	172741	41	No intervention	159596	186725
2021-08-31	172779	38	No intervention	159411	186978
2021-09-01	172819	40	No intervention	159213	187308
2021-09-02	172856	37	No intervention	159032	187585
2021-09-03	172893	37	No intervention	158846	187838
2021-09-04	172929	36	No intervention	158670	188070
2021-09-05	172964	35	No intervention	158521	188391
2021-09-06	172999	35	No intervention	158366	188635
2021-09-07	173037	38	No intervention	158208	188879
2021-09-08	173068	31	No intervention	158066	189190
2021-09-09	173106	38	No intervention	157900	189434
2021-09-10	173137	31	No intervention	157777	189589
2021-09-11	173171	34	No intervention	157648	189859
2021-09-12	173205	34	No intervention	157499	190091
2021-09-13	173236	31	No intervention	157368	190355
2021-09-14	173268	32	No intervention	157164	190592
2021-09-15	173296	28	No intervention	157063	190891
2021-09-16	173328	32	No intervention	156950	191128
2021-09-17	173356	28	No intervention	156774	191309
2021-09-18	173385	29	No intervention	156691	191602
2021-09-19	173414	29	No intervention	156517	191693
2021-09-20	173446	32	No intervention	156406	191912
2021-09-21	173475	29	No intervention	156299	192120
2021-09-22	173502	27	No intervention	156195	192359
2021-09-23	173527	25	No intervention	156036	192599
2021-09-24	173555	28	No intervention	155869	192832
2021-09-25	173580	25	No intervention	155732	193103
2021-09-26	173606	26	No intervention	155581	193238
2021-09-27	173631	25	No intervention	155536	193405
2021-09-28	173649	18	No intervention	155396	193582
2021-09-29	173674	25	No intervention	155273	193869
2021-09-30	173702	28	No intervention	155195	194044
2021-10-01	173721	19	No intervention	155007	194187
2021-10-02	173746	25	No intervention	154898	194358
2021-10-03	173770	24	No intervention	154795	194592
2021-10-04	173791	21	No intervention	154681	194809
2021-10-05	173815	24	No intervention	154583	194991
2021-10-06	173833	18	No intervention	154437	195203
2021-10-07	173857	24	No intervention	154328	195359
2021-10-08	173881	24	No intervention	154210	195598
2021-10-09	173900	19	No intervention	154105	195833
2021-10-10	173921	21	No intervention	153915	195977
2021-10-11	173942	21	No intervention	153867	196131
2021-10-12	173962	20	No intervention	153728	196308
2021-10-13	173985	23	No intervention	153604	196435
2021-10-14	174008	23	No intervention	153499	196613
2021-10-15	174027	19	No intervention	153428	196805
2021-10-16	174047	20	No intervention	153253	197021
2021-10-17	174067	20	No intervention	153151	197205
2021-10-18	174080	13	No intervention	153064	197395
2021-10-19	174095	15	No intervention	152925	197585
2021-10-20	174112	17	No intervention	152811	197734
2021-10-21	174130	18	No intervention	152665	197941
2021-10-22	174151	21	No intervention	152593	198170
2021-10-23	174173	22	No intervention	152530	198352
2021-10-24	174193	20	No intervention	152414	198461
2021-10-25	174210	17	No intervention	152283	198659
2021-10-26	174229	19	No intervention	152174	198797
2021-10-27	174240	11	No intervention	152025	198978
2021-10-28	174257	17	No intervention	151923	199145
2021-10-29	174270	13	No intervention	151831	199300
2021-10-30	174283	13	No intervention	151765	199460
2021-10-31	174297	14	No intervention	151639	199668
2021-11-01	174316	19	No intervention	151484	199798
2021-11-02	174329	13	No intervention	151381	199898
2021-11-03	174346	17	No intervention	151257	200140
2021-11-04	174368	22	No intervention	151211	200259
2021-11-05	174380	12	No intervention	151135	200423
2021-11-06	174394	14	No intervention	151051	200602
2021-11-07	174406	12	No intervention	150943	200708
2021-11-08	174419	13	No intervention	150800	200867
2021-11-09	174436	17	No intervention	150760	201015
2021-11-10	174451	15	No intervention	150673	201275
2021-11-11	174466	15	No intervention	150499	201325
2021-11-12	174478	12	No intervention	150370	201512
2021-11-13	174494	16	No intervention	150351	201676
2021-11-14	174511	17	No intervention	150217	201816
2021-11-15	174521	10	No intervention	150150	201915
2021-11-16	174535	14	No intervention	150000	202117
2021-11-17	174549	14	No intervention	149935	202248
2021-11-18	174562	13	No intervention	149887	202386
2021-11-19	174574	12	No intervention	149788	202569
2021-11-20	174587	13	No intervention	149708	202647
2021-11-21	174605	18	No intervention	149588	202813
2021-11-22	174615	10	No intervention	149475	202979
2021-11-23	174625	10	No intervention	149345	203110
2021-11-24	174640	15	No intervention	149289	203230
2021-11-25	174653	13	No intervention	149244	203326
2021-11-26	174664	11	No intervention	149120	203537
2021-11-27	174679	15	No intervention	148969	203636
2021-11-28	174689	10	No intervention	148903	203754
2021-11-29	174699	10	No intervention	148801	203925
2021-11-30	174713	14	No intervention	148760	204078
2021-12-01	174726	13	No intervention	148690	204256
2021-12-02	174742	16	No intervention	148550	204367
2021-12-03	174759	17	No intervention	148372	204502
2021-12-04	174772	13	No intervention	148304	204581
2021-12-05	174785	13	No intervention	148204	204793
2021-12-06	174794	9	No intervention	148101	204908
2021-12-07	174807	13	No intervention	148009	205023
2021-12-08	174820	13	No intervention	147926	205203
2021-12-09	174832	12	No intervention	147821	205370
2021-12-10	174842	10	No intervention	147706	205488
2021-12-11	174851	9	No intervention	147584	205548
2021-12-12	174861	10	No intervention	147533	205774
2021-12-13	174872	11	No intervention	147415	205853
2021-12-14	174877	5	No intervention	147273	205981
2021-12-15	174891	14	No intervention	147277	206174
2021-12-16	174903	12	No intervention	147199	206254
2021-12-17	174917	14	No intervention	147130	206474
2021-12-18	174933	16	No intervention	147044	206594
2021-12-19	174947	14	No intervention	146894	206697
2021-12-20	174960	13	No intervention	146851	206801
2021-12-21	174971	11	No intervention	146830	206949
2021-12-22	174983	12	No intervention	146701	207069
2021-12-23	174998	15	No intervention	146587	207217
2021-12-24	175006	8	No intervention	146523	207422
2021-12-25	175017	11	No intervention	146419	207455
2021-12-26	175024	7	No intervention	146327	207629
2021-12-27	175036	12	No intervention	146246	207736
2021-12-28	175047	11	No intervention	146165	207900
2021-12-29	175061	14	No intervention	146071	208026
2021-12-30	175072	11	No intervention	146000	208250
2021-12-31	175087	15	No intervention	145985	208364
2022-01-01	175096	9	No intervention	145834	208409
2022-01-02	175105	9	No intervention	145771	208546
2022-01-03	175113	8	No intervention	145655	208644
2022-01-04	175121	8	No intervention	145562	208720
2022-01-05	175134	13	No intervention	145463	208884
