date	value	incidence	scenario	lower_ci	upper_ci
2021-06-20	16943	NA	Observed	NA	NA
2021-06-21	17605	662	Observed	NA	NA
2021-06-22	17979	374	Observed	NA	NA
2021-06-23	18398	419	Observed	NA	NA
2021-06-24	18635	237	Observed	NA	NA
2021-06-25	18859	224	Observed	NA	NA
2021-06-26	19091	232	Observed	NA	NA
2021-06-27	19324	233	Observed	NA	NA
2021-06-28	19455	131	Observed	NA	NA
2021-06-29	19819	364	Observed	NA	NA
2021-06-30	20075	256	Observed	NA	NA
2021-07-01	20492	417	Observed	NA	NA
2021-07-02	20770	278	Observed	NA	NA
2021-07-03	21003	233	Observed	NA	NA
2021-07-04	21246	243	Observed	NA	NA
2021-07-05	21334	88	Observed	NA	NA
2021-07-06	21854	520	Observed	NA	NA
2021-07-07	22155	301	Observed	NA	NA
2021-07-08	22703	548	Observed	NA	NA
2021-07-09	23014	311	Observed	NA	NA
2021-07-10	23551	537	Observed	NA	NA
2021-07-11	23993	442	Observed	NA	NA
2021-07-12	24183	190	Observed	NA	NA
2021-07-13	24702	519	Observed	NA	NA
2021-07-14	25170	468	Observed	NA	NA
2021-07-15	25751	581	Observed	NA	NA
2021-07-16	26206	455	Observed	NA	NA
2021-07-17	26690	484	Observed	NA	NA
2021-07-18	27153	463	Observed	NA	NA
2021-07-19	27489	336	Observed	NA	NA
2021-07-20	28295	806	Observed	NA	NA
2021-07-21	29020	725	Observed	NA	NA
2021-07-22	29645	625	Observed	NA	NA
2021-07-23	30492	847	Observed	NA	NA
2021-07-24	31145	653	Observed	NA	NA
2021-07-25	32083	938	Observed	NA	NA
2021-07-26	33452	1369	Observed	NA	NA
2021-07-27	34570	1118	Observed	NA	NA
2021-07-28	35297	727	Observed	NA	NA
2021-07-29	36397	1100	Observed	NA	NA
2021-07-30	37171	774	Observed	NA	NA
2021-07-31	38064	893	Observed	NA	NA
2021-08-01	38925	861	Observed	NA	NA
2021-08-02	39363	438	Observed	NA	NA
2021-08-03	40111	748	Observed	NA	NA
2021-08-04	41214	NA	No intervention	38328	44197
2021-08-05	42233	1019	No intervention	38656	45919
2021-08-06	43284	1051	No intervention	39075	47661
2021-08-07	44365	1081	No intervention	39503	49410
2021-08-08	45480	1115	No intervention	40013	51192
2021-08-09	46631	1151	No intervention	40532	53011
2021-08-10	47816	1185	No intervention	41087	54886
2021-08-11	49033	1217	No intervention	41686	56840
2021-08-12	50294	1261	No intervention	42292	58830
2021-08-13	51587	1293	No intervention	42896	60912
2021-08-14	52920	1333	No intervention	43565	63021
2021-08-15	54290	1370	No intervention	44213	65221
2021-08-16	55703	1413	No intervention	44888	67539
2021-08-17	57156	1453	No intervention	45589	69827
2021-08-18	58654	1498	No intervention	46346	72278
2021-08-19	60194	1540	No intervention	47096	74795
2021-08-20	61778	1584	No intervention	47831	77386
2021-08-21	63408	1630	No intervention	48594	80096
2021-08-22	65085	1677	No intervention	49410	82888
2021-08-23	66811	1726	No intervention	50213	85772
2021-08-24	68586	1775	No intervention	51030	88720
2021-08-25	70409	1823	No intervention	51861	91859
2021-08-26	72284	1875	No intervention	52736	94969
2021-08-27	74215	1931	No intervention	53627	98279
2021-08-28	76196	1981	No intervention	54536	101752
2021-08-29	78232	2036	No intervention	55450	105281
