stat	value
thetaS_last_obs_p_mean	0.8401504
thetaI_last_obs_p_mean	0.001894053
thetaR_last_obs_p_mean	0.1579555
thetaS_last_obs_p_ci_low	0.8384733
thetaS_last_obs_p_ci_med	0.840151
thetaS_last_obs_p_ci_up	0.8418207
thetaI_last_obs_p_ci_low	0.001677711
thetaI_last_obs_p_ci_med	0.001892591
thetaI_last_obs_p_ci_up	0.002116661
thetaR_last_obs_p_ci_low	0.1562971
thetaR_last_obs_p_ci_med	0.1579555
thetaR_last_obs_p_ci_up	0.1596197
R0_p_mean	0.8643833
R0_p_ci_low	0.5416978
R0_p_ci_med	0.8801043
R0_p_ci_up	1.108387
gamma_p_mean	0.08919869
gamma_p_ci_low	0.0291439
gamma_p_ci_med	0.08544814
gamma_p_ci_up	0.1695755
beta_p_mean	0.07963341
beta_p_ci_low	0.01970556
beta_p_ci_med	0.0738284
beta_p_ci_up	0.1718913
incidence_mean	0.1657216
incidence_ci_low	0.1358688
incidence_ci_median	0.1652843
incidence_ci_up	0.1982476
thetaI_tp1_mean	0.001832037
thetaI_tp1_ci_low	0.001649011
thetaI_tp1_ci_med	0.001830602
thetaI_tp1_ci_up	0.002022599
thetaR_tp1_mean	0.1563446
thetaR_tp1_ci_low	0.1549162
thetaR_tp1_ci_med	0.1563433
thetaR_tp1_ci_up	0.1577693
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.1635344
R_tp1_ci_low	0.1422148
R_tp1_ci_med	0.1624524
R_tp1_ci_up	0.1887687
thetaI_tp2_mean	0.001871725
thetaI_tp2_ci_low	0.001687654
thetaI_tp2_ci_med	0.001870916
thetaI_tp2_ci_up	0.002059788
thetaR_tp2_mean	0.1566978
thetaR_tp2_ci_low	0.155262
thetaR_tp2_ci_med	0.1566976
thetaR_tp2_ci_up	0.1581338
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1655799
thetaR_max_ci_low	0.135798
thetaR_max_ci_med	0.1651524
thetaR_max_ci_up	0.1978971
cumInf_mean	0.1657216
cumInf_ci_low	0.1358688
cumInf_ci_med	0.1652843
cumInf_ci_up	0.1982476
dthetaI_tp1_date	07/24/21
first_tp_mean	07/21/21
first_tp_ci_low	06/21/21
first_tp_ci_med	07/25/21
first_tp_ci_up	08/03/21
dthetaI_tp2_date	07/27/21
second_tp_mean	07/23/21
second_tp_ci_low	06/23/21
second_tp_ci_med	07/27/21
second_tp_ci_up	08/05/21
end_p_mean	11/27/21
end_p_ci_low	09/23/21
end_p_ci_med	11/28/21
end_p_ci_up	01/06/22
begin_str	06/21/2021
