date	value	incidence	scenario	lower_ci	upper_ci
2021-06-26	64156	NA	Observed	NA	NA
2021-06-27	64641	485	Observed	NA	NA
2021-06-28	64860	219	Observed	NA	NA
2021-06-29	65336	476	Observed	NA	NA
2021-06-30	65767	431	Observed	NA	NA
2021-07-01	66217	450	Observed	NA	NA
2021-07-02	66626	409	Observed	NA	NA
2021-07-03	67020	394	Observed	NA	NA
2021-07-04	67448	428	Observed	NA	NA
2021-07-05	67674	226	Observed	NA	NA
2021-07-06	68148	474	Observed	NA	NA
2021-07-07	68609	461	Observed	NA	NA
2021-07-08	69016	407	Observed	NA	NA
2021-07-09	69547	531	Observed	NA	NA
2021-07-10	69958	411	Observed	NA	NA
2021-07-11	70476	518	Observed	NA	NA
2021-07-12	70746	270	Observed	NA	NA
2021-07-13	71312	566	Observed	NA	NA
2021-07-14	71870	558	Observed	NA	NA
2021-07-15	72362	492	Observed	NA	NA
2021-07-16	72857	495	Observed	NA	NA
2021-07-17	73287	430	Observed	NA	NA
2021-07-18	73612	325	Observed	NA	NA
2021-07-19	73898	286	Observed	NA	NA
2021-07-20	74386	488	Observed	NA	NA
2021-07-21	74843	457	Observed	NA	NA
2021-07-22	75096	253	Observed	NA	NA
2021-07-23	75605	509	Observed	NA	NA
2021-07-24	75904	299	Observed	NA	NA
2021-07-25	76312	408	Observed	NA	NA
2021-07-26	76536	224	Observed	NA	NA
2021-07-27	76994	458	Observed	NA	NA
2021-07-28	77409	415	Observed	NA	NA
2021-07-29	77785	376	Observed	NA	NA
2021-07-30	78056	271	Observed	NA	NA
2021-07-31	78358	302	Observed	NA	NA
2021-08-01	78580	222	Observed	NA	NA
2021-08-02	78719	139	Observed	NA	NA
2021-08-03	79023	304	Observed	NA	NA
2021-08-04	79285	262	Observed	NA	NA
2021-08-05	79529	244	Observed	NA	NA
2021-08-06	79774	245	Observed	NA	NA
2021-08-07	79945	171	Observed	NA	NA
2021-08-08	80131	186	Observed	NA	NA
2021-08-09	80208	77	Observed	NA	NA
2021-08-10	80370	NA	No intervention	75273	85617
2021-08-11	80505	135	No intervention	74618	86630
2021-08-12	80638	133	No intervention	74007	87606
2021-08-13	80772	134	No intervention	73505	88449
2021-08-14	80913	141	No intervention	73007	89238
2021-08-15	81047	134	No intervention	72605	90021
2021-08-16	81181	134	No intervention	72190	90769
2021-08-17	81318	137	No intervention	71849	91473
2021-08-18	81454	136	No intervention	71504	92157
2021-08-19	81587	133	No intervention	71169	92759
2021-08-20	81719	132	No intervention	70908	93456
2021-08-21	81857	138	No intervention	70575	94121
2021-08-22	81996	139	No intervention	70338	94757
2021-08-23	82132	136	No intervention	70087	95374
2021-08-24	82268	136	No intervention	69836	95987
2021-08-25	82406	138	No intervention	69570	96588
2021-08-26	82537	131	No intervention	69342	97208
2021-08-27	82669	132	No intervention	69168	97768
2021-08-28	82809	140	No intervention	68930	98405
2021-08-29	82947	138	No intervention	68714	98929
2021-08-30	83084	137	No intervention	68538	99525
2021-08-31	83219	135	No intervention	68328	100104
2021-09-01	83353	134	No intervention	68093	100672
2021-09-02	83490	137	No intervention	67909	101256
2021-09-03	83625	135	No intervention	67752	101871
2021-09-04	83764	139	No intervention	67586	102385
2021-09-05	83899	135	No intervention	67366	103007
2021-09-06	84031	132	No intervention	67283	103545
2021-09-07	84168	137	No intervention	67106	104089
2021-09-08	84309	141	No intervention	66970	104673
2021-09-09	84442	133	No intervention	66802	105145
2021-09-10	84581	139	No intervention	66669	105792
2021-09-11	84716	135	No intervention	66506	106395
2021-09-12	84852	136	No intervention	66368	106953
2021-09-13	84987	135	No intervention	66232	107505
2021-09-14	85121	134	No intervention	66121	108148
2021-09-15	85258	137	No intervention	65962	108633
2021-09-16	85393	135	No intervention	65842	109314
2021-09-17	85535	142	No intervention	65693	109874
2021-09-18	85673	138	No intervention	65601	110398
2021-09-19	85816	143	No intervention	65477	111011
2021-09-20	85946	130	No intervention	65241	111532
2021-09-21	86088	142	No intervention	65214	112150
2021-09-22	86227	139	No intervention	65061	112778
2021-09-23	86368	141	No intervention	64922	113381
2021-09-24	86511	143	No intervention	64826	114046
2021-09-25	86650	139	No intervention	64765	114609
2021-09-26	86793	143	No intervention	64640	115200
2021-09-27	86932	139	No intervention	64496	115892
2021-09-28	87069	137	No intervention	64443	116473
2021-09-29	87209	140	No intervention	64361	117141
2021-09-30	87356	147	No intervention	64248	117660
2021-10-01	87503	147	No intervention	64197	118422
2021-10-02	87646	143	No intervention	63993	119071
2021-10-03	87786	140	No intervention	63970	119650
2021-10-04	87930	144	No intervention	63900	120347
2021-10-05	88080	150	No intervention	63839	121005
2021-10-06	88223	143	No intervention	63737	121683
2021-10-07	88368	145	No intervention	63635	122293
2021-10-08	88514	146	No intervention	63551	122976
2021-10-09	88667	153	No intervention	63483	123644
2021-10-10	88814	147	No intervention	63335	124321
2021-10-11	88972	158	No intervention	63279	125054
2021-10-12	89119	147	No intervention	63142	125783
2021-10-13	89265	146	No intervention	63055	126513
2021-10-14	89415	150	No intervention	62911	127268
2021-10-15	89560	145	No intervention	62860	127934
2021-10-16	89714	154	No intervention	62768	128575
2021-10-17	89864	150	No intervention	62679	129339
2021-10-18	90018	154	No intervention	62603	130101
2021-10-19	90174	156	No intervention	62447	130854
2021-10-20	90330	156	No intervention	62417	131745
2021-10-21	90487	157	No intervention	62388	132366
2021-10-22	90642	155	No intervention	62288	133191
2021-10-23	90800	158	No intervention	62212	133872
2021-10-24	90959	159	No intervention	62162	134584
2021-10-25	91121	162	No intervention	62012	135497
