date	value	lower_ci	upper_ci	incidence	scenario
2021-08-12	70478	65845	75292	NA	No intervention
2021-08-13	70833	65397	76489	355	No intervention
2021-08-14	71191	65019	77654	358	No intervention
2021-08-15	71548	64686	78741	357	No intervention
2021-08-16	71905	64439	79775	357	No intervention
2021-08-17	72262	64211	80796	357	No intervention
2021-08-18	72622	64006	81784	360	No intervention
2021-08-19	72984	63812	82765	362	No intervention
2021-08-20	73352	63648	83695	368	No intervention
2021-08-21	73711	63539	84701	359	No intervention
2021-08-22	74077	63374	85653	366	No intervention
2021-08-23	74439	63216	86628	362	No intervention
2021-08-24	74808	63110	87543	369	No intervention
2021-08-25	75175	63029	88513	367	No intervention
2021-08-26	75549	62948	89501	374	No intervention
2021-08-27	75924	62806	90467	375	No intervention
2021-08-28	76300	62737	91442	376	No intervention
2021-08-29	76677	62630	92486	377	No intervention
2021-08-30	77058	62568	93435	381	No intervention
2021-08-31	77441	62535	94483	383	No intervention
2021-09-01	77825	62443	95442	384	No intervention
2021-09-02	78213	62374	96424	388	No intervention
2021-09-03	78603	62303	97492	390	No intervention
2021-09-04	78993	62252	98550	390	No intervention
2021-09-05	79384	62251	99578	391	No intervention
2021-09-06	79779	62159	100645	395	No intervention
2021-09-07	80178	62119	101732	399	No intervention
2021-09-08	80574	62066	102839	396	No intervention
2021-09-09	80981	62066	103928	407	No intervention
2021-09-10	81384	61998	105036	403	No intervention
2021-09-11	81783	62009	106150	399	No intervention
2021-09-12	82191	61938	107303	408	No intervention
2021-09-13	82599	61952	108371	408	No intervention
2021-09-14	83015	61852	109489	416	No intervention
2021-09-15	83429	61866	110642	414	No intervention
2021-09-16	83845	61784	111843	416	No intervention
2021-09-17	84266	61810	113108	421	No intervention
2021-09-18	84692	61766	114347	426	No intervention
2021-09-19	85119	61764	115550	427	No intervention
2021-09-20	85551	61749	116855	432	No intervention
2021-09-21	85984	61703	118190	433	No intervention
2021-09-22	86421	61731	119436	437	No intervention
2021-09-23	86858	61726	120695	437	No intervention
2021-09-24	87298	61656	122051	440	No intervention
2021-09-25	87741	61674	123539	443	No intervention
2021-09-26	88189	61654	124770	448	No intervention
2021-09-27	88641	61604	126275	452	No intervention
2021-09-28	89089	61653	127609	448	No intervention
2021-09-29	89541	61643	129049	452	No intervention
2021-09-30	89999	61583	130508	458	No intervention
2021-10-01	90459	61615	132034	460	No intervention
2021-10-02	90925	61596	133569	466	No intervention
2021-10-03	91397	61689	135082	472	No intervention
2021-10-04	91874	61632	136634	477	No intervention
2021-10-05	92354	61660	138330	480	No intervention
2021-10-06	92828	61634	139831	474	No intervention
2021-10-07	93306	61639	141489	478	No intervention
2021-10-08	93792	61642	143167	486	No intervention
2021-10-09	94279	61653	144805	487	No intervention
2021-10-10	94767	61613	146591	488	No intervention
2021-10-11	95261	61621	148360	494	No intervention
2021-10-12	95754	61641	149998	493	No intervention
2021-10-13	96259	61652	151781	505	No intervention
2021-10-14	96766	61629	153648	507	No intervention
2021-10-15	97267	61575	155693	501	No intervention
2021-10-16	97782	61659	157482	515	No intervention
2021-10-17	98296	61595	159201	514	No intervention
2021-10-18	98817	61585	161197	521	No intervention
2021-10-19	99339	61603	163138	522	No intervention
2021-10-20	99871	61619	165199	532	No intervention
2021-10-21	100405	61658	167260	534	No intervention
2021-10-22	100942	61667	169431	537	No intervention
2021-10-23	101484	61628	171530	542	No intervention
2021-10-24	102024	61654	173518	540	No intervention
2021-10-25	102574	61667	175559	550	No intervention
2021-10-26	103132	61581	177923	558	No intervention
2021-10-27	103688	61591	179993	556	No intervention
2021-10-28	104254	61641	182490	566	No intervention
2021-10-29	104822	61624	184575	568	No intervention
2021-10-30	105388	61610	186999	566	No intervention
2021-10-31	105960	61530	189418	572	No intervention
2021-11-01	106541	61618	191900	581	No intervention
2021-11-02	107123	61649	194276	582	No intervention
2021-11-03	107711	61623	196605	588	No intervention
2021-11-04	108305	61661	199211	594	No intervention
2021-11-05	108904	61649	201459	599	No intervention
2021-11-06	109509	61603	204197	605	No intervention
2021-11-07	110120	61740	206773	611	No intervention
2021-11-08	110732	61705	209716	612	No intervention
2021-11-09	111347	61619	211993	615	No intervention
2021-11-10	111964	61641	214822	617	No intervention
2021-11-11	112593	61710	217476	629	No intervention
2021-11-12	113221	61625	220427	628	No intervention
2021-11-13	113860	61646	223249	639	No intervention
2021-11-14	114495	61689	225923	635	No intervention
2021-11-15	115143	61679	228778	648	No intervention
2021-11-16	115790	61701	231582	647	No intervention
2021-11-17	116443	61623	234656	653	No intervention
2021-11-18	117103	61687	237631	660	No intervention
2021-11-19	117768	61710	240696	665	No intervention
2021-11-20	118441	61643	243939	673	No intervention
2021-11-21	119118	61765	247088	677	No intervention
2021-11-22	119798	61773	250052	680	No intervention
2021-11-23	120489	61732	253394	691	No intervention
2021-11-24	121176	61702	256480	687	No intervention
2021-11-25	121867	61692	259903	691	No intervention
2021-11-26	122566	61686	263524	699	No intervention
2021-11-27	123264	61679	266703	698	No intervention
2021-11-28	123969	61692	269678	705	No intervention
2021-11-29	124686	61728	273365	717	No intervention
2021-11-30	125408	61682	277024	722	No intervention
2021-12-01	126138	61641	280251	730	No intervention
2021-12-02	126871	61633	283868	733	No intervention
2021-12-03	127611	61683	287688	740	No intervention
2021-12-04	128354	61719	290957	743	No intervention
2021-12-05	129105	61673	295010	751	No intervention
2021-12-06	129853	61721	298764	748	No intervention
2021-12-07	130608	61671	302550	755	No intervention
2021-12-08	131368	61706	306120	760	No intervention
2021-12-09	132140	61685	310186	772	No intervention
2021-12-10	132904	61704	313850	764	No intervention
2021-12-11	133682	61750	317635	778	No intervention
2021-12-12	134465	61697	321843	783	No intervention
2021-12-13	135248	61667	325946	783	No intervention
2021-12-14	136033	61763	329990	785	No intervention
2021-12-15	136829	61748	334204	796	No intervention
2021-12-16	137634	61739	338155	805	No intervention
2021-12-17	138438	61696	342422	804	No intervention
2021-12-18	139250	61716	346805	812	No intervention
2021-12-19	140066	61726	350823	816	No intervention
2021-12-20	140881	61787	355341	815	No intervention
2021-12-21	141704	61758	359810	823	No intervention
2021-12-22	142530	61790	363654	826	No intervention
2021-12-23	143369	61734	368527	839	No intervention
2021-12-24	144208	61714	373036	839	No intervention
2021-12-25	145058	61810	377652	850	No intervention
2021-12-26	145905	61795	382016	847	No intervention
2021-12-27	146767	61777	386574	862	No intervention
2021-12-28	147629	61875	391902	862	No intervention
2021-12-29	148491	61794	396228	862	No intervention
2021-12-30	149362	61758	401037	871	No intervention
2021-12-31	150239	61839	406106	877	No intervention
2022-01-01	151115	61737	410468	876	No intervention
2022-01-02	151997	61750	415409	882	No intervention
2022-01-03	152885	61743	420291	888	No intervention
2022-01-04	153777	61772	425163	892	No intervention
2022-01-05	154681	61781	430326	904	No intervention
2022-01-06	155588	61753	435596	907	No intervention
2022-01-07	156500	61751	440258	912	No intervention
2022-01-08	157414	61778	445409	914	No intervention
2022-01-09	158325	61750	450486	911	No intervention
2022-01-10	159241	61743	455512	916	No intervention
2022-01-11	160166	61673	460876	925	No intervention
2022-01-12	161093	61705	465617	927	No intervention
2022-01-13	162018	61699	470812	925	No intervention
