date	value	lower_ci	upper_ci	incidence	scenario
2021-08-17	3722344	3614858	3831675	NA	No intervention
2021-08-18	3740082	3612559	3869250	17738	No intervention
2021-08-19	3757873	3612626	3905223	17791	No intervention
2021-08-20	3775978	3613681	3940590	18105	No intervention
2021-08-21	3794176	3615370	3976395	18198	No intervention
2021-08-22	3812710	3617730	4010744	18534	No intervention
2021-08-23	3831223	3621442	4044661	18513	No intervention
2021-08-24	3849967	3624378	4079027	18744	No intervention
2021-08-25	3868980	3628136	4114379	19013	No intervention
2021-08-26	3888131	3631350	4148114	19151	No intervention
2021-08-27	3907620	3636826	4185118	19489	No intervention
2021-08-28	3927254	3640932	4219702	19634	No intervention
2021-08-29	3947073	3646056	4255541	19819	No intervention
2021-08-30	3967164	3651740	4291867	20091	No intervention
2021-08-31	3987424	3656572	4328446	20260	No intervention
2021-09-01	4007795	3662267	4364050	20371	No intervention
2021-09-02	4028442	3667515	4402389	20647	No intervention
2021-09-03	4049280	3674243	4440832	20838	No intervention
2021-09-04	4070199	3679820	4477810	20919	No intervention
2021-09-05	4091402	3685704	4515575	21203	No intervention
2021-09-06	4112786	3691429	4555598	21384	No intervention
2021-09-07	4134424	3697329	4594065	21638	No intervention
2021-09-08	4156226	3703923	4634882	21802	No intervention
2021-09-09	4178327	3710279	4675563	22101	No intervention
2021-09-10	4200798	3716335	4716415	22471	No intervention
2021-09-11	4223212	3723169	4755196	22414	No intervention
2021-09-12	4245857	3731430	4796772	22645	No intervention
2021-09-13	4268715	3736231	4838848	22858	No intervention
2021-09-14	4291758	3745376	4883943	23043	No intervention
2021-09-15	4315080	3752379	4927895	23322	No intervention
2021-09-16	4338532	3758533	4969779	23452	No intervention
2021-09-17	4362240	3765406	5013882	23708	No intervention
2021-09-18	4386154	3772361	5060015	23914	No intervention
2021-09-19	4410149	3779350	5106852	23995	No intervention
2021-09-20	4434383	3785886	5152488	24234	No intervention
2021-09-21	4458752	3793244	5196921	24369	No intervention
2021-09-22	4483436	3801874	5245308	24684	No intervention
2021-09-23	4508355	3807910	5295175	24919	No intervention
2021-09-24	4533595	3815971	5343821	25240	No intervention
2021-09-25	4558964	3823882	5392545	25369	No intervention
2021-09-26	4584487	3830368	5442896	25523	No intervention
2021-09-27	4610241	3838877	5492580	25754	No intervention
2021-09-28	4636234	3847136	5542772	25993	No intervention
2021-09-29	4662338	3854827	5590906	26104	No intervention
2021-09-30	4688780	3863778	5642361	26442	No intervention
2021-10-01	4715271	3870646	5694314	26491	No intervention
2021-10-02	4741976	3877260	5748909	26705	No intervention
2021-10-03	4768789	3884667	5801864	26813	No intervention
2021-10-04	4795857	3893425	5855670	27068	No intervention
2021-10-05	4823225	3899793	5907734	27368	No intervention
2021-10-06	4850640	3909068	5964781	27415	No intervention
2021-10-07	4878355	3916343	6020794	27715	No intervention
2021-10-08	4906031	3926500	6076189	27676	No intervention
2021-10-09	4933955	3935675	6132030	27924	No intervention
2021-10-10	4962255	3943259	6189147	28300	No intervention
2021-10-11	4990612	3951176	6250929	28357	No intervention
2021-10-12	5019321	3959431	6309332	28709	No intervention
2021-10-13	5047954	3966721	6365408	28633	No intervention
2021-10-14	5076891	3975207	6423130	28937	No intervention
2021-10-15	5105991	3984328	6483001	29100	No intervention
2021-10-16	5135303	3989374	6543655	29312	No intervention
2021-10-17	5164720	3999755	6604752	29417	No intervention
2021-10-18	5194265	4008522	6667473	29545	No intervention
2021-10-19	5224095	4016788	6729720	29830	No intervention
2021-10-20	5254039	4023475	6791779	29944	No intervention
2021-10-21	5284141	4034056	6854743	30102	No intervention
2021-10-22	5314424	4042081	6919438	30283	No intervention
2021-10-23	5344872	4051193	6983015	30448	No intervention
2021-10-24	5375370	4060543	7045517	30498	No intervention
2021-10-25	5406005	4068556	7112809	30635	No intervention
2021-10-26	5436854	4078415	7180057	30849	No intervention
2021-10-27	5467888	4086988	7246295	31034	No intervention
2021-10-28	5498954	4093601	7314488	31066	No intervention
2021-10-29	5530170	4102508	7376926	31216	No intervention
2021-10-30	5561535	4112089	7449474	31365	No intervention
2021-10-31	5593037	4120011	7516831	31502	No intervention
2021-11-01	5624603	4130243	7581393	31566	No intervention
2021-11-02	5656423	4139202	7650293	31820	No intervention
2021-11-03	5688241	4146484	7721750	31818	No intervention
2021-11-04	5720230	4156844	7791222	31989	No intervention
2021-11-05	5752249	4167840	7858358	32019	No intervention
2021-11-06	5784332	4176464	7929711	32083	No intervention
2021-11-07	5816553	4187381	8001928	32221	No intervention
2021-11-08	5848926	4194458	8069340	32373	No intervention
2021-11-09	5881286	4203472	8137795	32360	No intervention
2021-11-10	5913750	4214648	8213967	32464	No intervention
2021-11-11	5946385	4222202	8284639	32635	No intervention
2021-11-12	5979082	4233639	8354769	32697	No intervention
2021-11-13	6011912	4242259	8426446	32830	No intervention
2021-11-14	6044717	4250027	8498109	32805	No intervention
2021-11-15	6077710	4260564	8571317	32993	No intervention
2021-11-16	6110757	4268760	8643612	33047	No intervention
2021-11-17	6143759	4276681	8714556	33002	No intervention
2021-11-18	6176823	4289819	8785419	33064	No intervention
2021-11-19	6209991	4295873	8857817	33168	No intervention
2021-11-20	6243358	4304827	8934048	33367	No intervention
2021-11-21	6276637	4314082	9000539	33279	No intervention
2021-11-22	6309880	4325671	9078212	33243	No intervention
2021-11-23	6343142	4333589	9150784	33262	No intervention
