stat	value
thetaS_last_obs_p_mean	0.9763026
thetaI_last_obs_p_mean	0.0002212728
thetaR_last_obs_p_mean	0.02347612
thetaS_last_obs_p_ci_low	0.9756736
thetaS_last_obs_p_ci_med	0.976303
thetaS_last_obs_p_ci_up	0.9769272
thetaI_last_obs_p_ci_low	0.0001633731
thetaI_last_obs_p_ci_med	0.0002201384
thetaI_last_obs_p_ci_up	0.0002852551
thetaR_last_obs_p_ci_low	0.02285477
thetaR_last_obs_p_ci_med	0.02347575
thetaR_last_obs_p_ci_up	0.02410202
R0_p_mean	1.121179
R0_p_ci_low	0.5560172
R0_p_ci_med	1.014249
R0_p_ci_up	2.293876
gamma_p_mean	0.05597733
gamma_p_ci_low	0.006052996
gamma_p_ci_med	0.03988835
gamma_p_ci_up	0.1947221
beta_p_mean	0.05515328
beta_p_ci_low	0.007577913
beta_p_ci_med	0.04129531
beta_p_ci_up	0.183748
incidence_mean	0.02825267
incidence_ci_low	0.01578532
incidence_ci_median	0.02520174
incidence_ci_up	0.0576371
thetaI_tp1_mean	0.001304218
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01015885
thetaR_tp1_mean	0.02694846
thetaR_tp1_ci_low	0.01569456
thetaR_tp1_ci_med	0.02492233
thetaR_tp1_ci_up	0.04800362
Y_tp1_mean	0.001304036
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01015311
R_tp1_mean	0.02694787
R_tp1_ci_low	0.0156738
R_tp1_ci_med	0.02492403
R_tp1_ci_up	0.04796663
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02694846
thetaR_max_ci_low	0.01569456
thetaR_max_ci_med	0.02492233
thetaR_max_ci_up	0.04800362
cumInf_mean	0.02825267
cumInf_ci_low	0.01578532
cumInf_ci_med	0.02520174
cumInf_ci_up	0.0576371
dthetaI_tp1_date	01/22/22
first_tp_mean	08/17/21
first_tp_ci_low	07/07/21
first_tp_ci_med	07/28/21
first_tp_ci_up	01/22/22
dthetaI_tp2_date	01/22/22
second_tp_mean	08/20/21
second_tp_ci_low	07/07/21
second_tp_ci_med	07/29/21
second_tp_ci_up	01/22/22
end_p_mean	11/25/21
end_p_ci_low	09/05/21
end_p_ci_med	11/25/21
end_p_ci_up	01/22/22
begin_str	07/07/2021
