stat	value
thetaS_last_obs_p_mean	0.9625171
thetaI_last_obs_p_mean	0.002198532
thetaR_last_obs_p_mean	0.03528437
thetaS_last_obs_p_ci_low	0.9616172
thetaS_last_obs_p_ci_med	0.9625115
thetaS_last_obs_p_ci_up	0.9634292
thetaI_last_obs_p_ci_low	0.001970791
thetaI_last_obs_p_ci_med	0.00219121
thetaI_last_obs_p_ci_up	0.002452588
thetaR_last_obs_p_ci_low	0.03441339
thetaR_last_obs_p_ci_med	0.03528579
thetaR_last_obs_p_ci_up	0.03618303
R0_p_mean	0.9314003
R0_p_ci_low	0.6385494
R0_p_ci_med	0.9277044
R0_p_ci_up	1.254674
gamma_p_mean	0.08090102
gamma_p_ci_low	0.0216557
gamma_p_ci_med	0.08123361
gamma_p_ci_up	0.1427805
beta_p_mean	0.07529332
beta_p_ci_low	0.01973403
beta_p_ci_med	0.07450169
beta_p_ci_up	0.1375231
incidence_mean	0.055685
incidence_ci_low	0.02910552
incidence_ci_median	0.0503569
incidence_ci_up	0.1185612
thetaI_tp1_mean	0.003464735
thetaI_tp1_ci_low	0.00322123
thetaI_tp1_ci_med	0.003457282
thetaI_tp1_ci_up	0.003714165
thetaR_tp1_mean	0.02646597
thetaR_tp1_ci_low	0.02578264
thetaR_tp1_ci_med	0.02646535
thetaR_tp1_ci_up	0.02715493
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.0459525
R_tp1_ci_low	0.03108342
R_tp1_ci_med	0.0430933
R_tp1_ci_up	0.07760138
thetaI_tp2_mean	0.003727914
thetaI_tp2_ci_low	0.003479564
thetaI_tp2_ci_med	0.003727464
thetaI_tp2_ci_up	0.003998466
thetaR_tp2_mean	0.02964855
thetaR_tp2_ci_low	0.02893407
thetaR_tp2_ci_med	0.02965204
thetaR_tp2_ci_up	0.03035396
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.05434653
thetaR_max_ci_low	0.02895336
thetaR_max_ci_med	0.04977715
thetaR_max_ci_up	0.1115732
cumInf_mean	0.055685
cumInf_ci_low	0.02910552
cumInf_ci_med	0.0503569
cumInf_ci_up	0.1185612
dthetaI_tp1_date	07/20/21
first_tp_mean	07/24/21
first_tp_ci_low	07/18/21
first_tp_ci_med	07/24/21
first_tp_ci_up	07/30/21
dthetaI_tp2_date	07/29/21
second_tp_mean	07/27/21
second_tp_ci_low	07/20/21
second_tp_ci_med	07/26/21
second_tp_ci_up	07/31/21
end_p_mean	01/15/22
end_p_ci_low	10/29/21
end_p_ci_med	02/02/22
end_p_ci_up	02/02/22
begin_str	07/18/2021
