date	value	lower_ci	upper_ci	incidence	scenario
2021-08-17	652581	606156	705632	NA	No intervention
2021-08-18	653482	595100	714235	901	No intervention
2021-08-19	653700	589335	721358	218	No intervention
2021-08-20	653990	585883	729382	290	No intervention
2021-08-21	654486	579020	735641	496	No intervention
2021-08-22	654975	577745	741758	489	No intervention
2021-08-23	655867	572363	747671	892	No intervention
2021-08-24	656712	568488	757290	845	No intervention
2021-08-25	657432	569516	758811	720	No intervention
2021-08-26	657796	560938	768164	364	No intervention
2021-08-27	658339	555002	771549	543	No intervention
2021-08-28	658844	550227	777657	505	No intervention
2021-08-29	659765	546600	785336	921	No intervention
2021-08-30	660383	545317	781960	618	No intervention
2021-08-31	660522	544135	791774	139	No intervention
2021-09-01	660966	538292	798462	444	No intervention
2021-09-02	661660	541214	808870	694	No intervention
2021-09-03	662559	538125	805534	899	No intervention
2021-09-04	663134	529101	815468	575	No intervention
2021-09-05	663766	533352	825947	632	No intervention
2021-09-06	664235	527657	832029	469	No intervention
2021-09-07	665378	526528	834210	1143	No intervention
2021-09-08	666185	522931	840006	807	No intervention
2021-09-09	666673	519201	847819	488	No intervention
2021-09-10	667174	516645	855001	501	No intervention
2021-09-11	668024	511659	858815	850	No intervention
2021-09-12	668335	509079	863828	311	No intervention
2021-09-13	669257	511507	876425	922	No intervention
2021-09-14	670785	507829	884117	1528	No intervention
2021-09-15	672108	503901	883602	1323	No intervention
2021-09-16	673418	501443	895705	1310	No intervention
2021-09-17	674119	505489	904629	701	No intervention
2021-09-18	674893	504345	904645	774	No intervention
2021-09-19	676868	508468	921204	1975	No intervention
2021-09-20	677643	503735	926516	775	No intervention
2021-09-21	678516	499960	934875	873	No intervention
2021-09-22	680235	498238	941790	1719	No intervention
2021-09-23	683025	499854	949242	2790	No intervention
2021-09-24	684774	502782	957974	1749	No intervention
2021-09-25	686171	494777	969989	1397	No intervention
2021-09-26	687750	497310	982907	1579	No intervention
2021-09-27	689846	495728	986086	2096	No intervention
2021-09-28	692226	491981	1004810	2380	No intervention
2021-09-29	694556	487368	1015451	2330	No intervention
2021-09-30	696861	486748	1027652	2305	No intervention
2021-10-01	698801	488336	1052285	1940	No intervention
2021-10-02	700835	486438	1055546	2034	No intervention
2021-10-03	703128	486187	1076981	2293	No intervention
2021-10-04	705764	486232	1090697	2636	No intervention
2021-10-05	708769	478580	1102427	3005	No intervention
2021-10-06	711461	475503	1116189	2692	No intervention
2021-10-07	713994	474219	1133063	2533	No intervention
2021-10-08	717040	470168	1155061	3046	No intervention
2021-10-09	720144	479094	1179680	3104	No intervention
2021-10-10	722955	472228	1197588	2811	No intervention
2021-10-11	725995	475385	1214631	3040	No intervention
2021-10-12	729464	468825	1231822	3469	No intervention
2021-10-13	733512	465766	1282876	4048	No intervention
2021-10-14	737512	472197	1281906	4000	No intervention
2021-10-15	741321	461640	1329088	3809	No intervention
2021-10-16	745622	471791	1344391	4301	No intervention
2021-10-17	749768	465308	1371931	4146	No intervention
2021-10-18	753553	462065	1426291	3785	No intervention
2021-10-19	758509	459250	1455684	4956	No intervention
2021-10-20	763425	455137	1475100	4916	No intervention
2021-10-21	769119	461517	1509044	5694	No intervention
2021-10-22	773888	454068	1546171	4769	No intervention
2021-10-23	779305	457177	1585024	5417	No intervention
2021-10-24	784531	452297	1630138	5226	No intervention
2021-10-25	790712	454448	1659588	6181	No intervention
2021-10-26	796684	453313	1716426	5972	No intervention
2021-10-27	803408	450128	1759596	6724	No intervention
2021-10-28	809424	452141	1816049	6016	No intervention
2021-10-29	815839	453222	1845160	6415	No intervention
2021-10-30	822760	446321	1959721	6921	No intervention
2021-10-31	829478	447862	1991237	6718	No intervention
2021-11-01	836920	449900	2049909	7442	No intervention
2021-11-02	844038	444336	2119931	7118	No intervention
2021-11-03	851639	438574	2231457	7601	No intervention
2021-11-04	859367	441013	2297982	7728	No intervention
2021-11-05	866934	436279	2364873	7567	No intervention
2021-11-06	874629	443277	2441546	7695	No intervention
2021-11-07	882747	438356	2533371	8118	No intervention
2021-11-08	891755	433810	2595140	9008	No intervention
2021-11-09	901157	438354	2681383	9402	No intervention
2021-11-10	910532	435590	2799649	9375	No intervention
2021-11-11	919975	439232	2825468	9443	No intervention
2021-11-12	929689	428713	2868473	9714	No intervention
2021-11-13	940100	427356	3031621	10411	No intervention
2021-11-14	950786	437260	3137961	10686	No intervention
2021-11-15	961430	430319	3237729	10644	No intervention
2021-11-16	972065	426429	3363600	10635	No intervention
2021-11-17	982994	423494	3419732	10929	No intervention
2021-11-18	995131	420682	3535120	12137	No intervention
2021-11-19	1007474	423874	3615369	12343	No intervention
2021-11-20	1019865	419113	3768139	12391	No intervention
2021-11-21	1032920	421462	3869393	13055	No intervention
2021-11-22	1046197	416505	3986867	13277	No intervention
2021-11-23	1059231	412491	4132431	13034	No intervention
2021-11-24	1072646	417939	4310757	13415	No intervention
2021-11-25	1086912	410931	4485604	14266	No intervention
2021-11-26	1101499	410920	4672413	14587	No intervention
2021-11-27	1117162	413606	4972185	15663	No intervention
2021-11-28	1131729	415857	5152775	14567	No intervention
2021-11-29	1146896	410228	5279853	15167	No intervention
2021-11-30	1163480	415236	5530543	16584	No intervention
2021-12-01	1179297	411340	5662648	15817	No intervention
2021-12-02	1195233	412635	5904164	15936	No intervention
2021-12-03	1211731	411795	6070202	16498	No intervention
2021-12-04	1228239	411371	6341287	16508	No intervention
2021-12-05	1244565	406333	6571436	16326	No intervention
2021-12-06	1261202	419295	6785626	16637	No intervention
2021-12-07	1277992	412224	6997584	16790	No intervention
2021-12-08	1296264	412526	7119429	18272	No intervention
2021-12-09	1314719	413748	7327111	18455	No intervention
2021-12-10	1331971	411229	7452639	17252	No intervention
2021-12-11	1350414	408492	7682526	18443	No intervention
2021-12-12	1369203	403709	7911668	18789	No intervention
2021-12-13	1388348	407688	8336976	19145	No intervention
2021-12-14	1407697	403820	8508048	19349	No intervention
2021-12-15	1427190	408310	8824204	19493	No intervention
2021-12-16	1446968	399979	9250495	19778	No intervention
2021-12-17	1466193	399613	9575352	19225	No intervention
2021-12-18	1486771	399899	9968386	20578	No intervention
2021-12-19	1507204	396942	10193425	20433	No intervention
2021-12-20	1527159	402504	10654081	19955	No intervention
2021-12-21	1547878	390919	10948484	20719	No intervention
2021-12-22	1568631	395592	11259645	20753	No intervention
2021-12-23	1589831	395433	11636181	21200	No intervention
2021-12-24	1609666	398917	12030026	19835	No intervention
2021-12-25	1631326	400015	12225017	21660	No intervention
2021-12-26	1652967	401409	12430694	21641	No intervention
2021-12-27	1675547	399359	12871728	22580	No intervention
2021-12-28	1697642	403354	13109338	22095	No intervention
2021-12-29	1719056	392735	13407744	21414	No intervention
2021-12-30	1741605	389479	13764501	22549	No intervention
2021-12-31	1763303	393588	13914060	21698	No intervention
2022-01-01	1785378	396535	14240831	22075	No intervention
2022-01-02	1808042	394668	14644554	22664	No intervention
2022-01-03	1830835	385791	14804608	22793	No intervention
2022-01-04	1854205	389464	15077217	23370	No intervention
2022-01-05	1877736	385312	15402336	23531	No intervention
2022-01-06	1900542	387217	15770020	22806	No intervention
2022-01-07	1924659	382961	15867129	24117	No intervention
2022-01-08	1948477	383236	16303867	23818	No intervention
2022-01-09	1972400	384213	16647357	23923	No intervention
2022-01-10	1996836	380083	16925870	24436	No intervention
2022-01-11	2020099	380362	17214077	23263	No intervention
2022-01-12	2043702	379178	17451415	23603	No intervention
2022-01-13	2067166	374876	17468248	23464	No intervention
2022-01-14	2091305	378165	17676889	24139	No intervention
2022-01-15	2115740	377107	18004321	24435	No intervention
2022-01-16	2140742	380274	18175456	25002	No intervention
2022-01-17	2165494	380977	18629452	24752	No intervention
2022-01-18	2190774	377446	19040702	25280	No intervention
2022-01-19	2214952	379790	19221810	24178	No intervention
2022-01-20	2240276	379796	19397512	25324	No intervention
2022-01-21	2265871	380129	19665663	25595	No intervention
2022-01-22	2290425	384113	19978506	24554	No intervention
2022-01-23	2315598	378269	20342448	25173	No intervention
2022-01-24	2341788	376995	20743313	26190	No intervention
2022-01-25	2366711	371898	21085285	24923	No intervention
2022-01-26	2392647	374133	21271865	25936	No intervention
2022-01-27	2418981	370729	21625349	26334	No intervention
2022-01-28	2444226	372261	21877381	25245	No intervention
2022-01-29	2469451	369962	22103022	25225	No intervention
2022-01-30	2494124	359381	22316171	24673	No intervention
2022-01-31	2519312	365333	22554249	25188	No intervention
2022-02-01	2545538	367283	22867785	26226	No intervention
