date	value	lower_ci	upper_ci	incidence	scenario
2021-08-17	1437181	1389412	1486297	NA	No intervention
2021-08-18	1437256	1382364	1493530	75	No intervention
2021-08-19	1437312	1376107	1500922	56	No intervention
2021-08-20	1437391	1370875	1506517	79	No intervention
2021-08-21	1437462	1365768	1512477	71	No intervention
2021-08-22	1437557	1360826	1517953	95	No intervention
2021-08-23	1437661	1356578	1523393	104	No intervention
2021-08-24	1437775	1352089	1527849	114	No intervention
2021-08-25	1437863	1348341	1532698	88	No intervention
2021-08-26	1438021	1344428	1537936	158	No intervention
2021-08-27	1438210	1340861	1542783	189	No intervention
2021-08-28	1438406	1337698	1546516	196	No intervention
2021-08-29	1438587	1334003	1551096	181	No intervention
2021-08-30	1438765	1330958	1555656	178	No intervention
2021-08-31	1438977	1327650	1559800	212	No intervention
2021-09-01	1439233	1324516	1564648	256	No intervention
2021-09-02	1439536	1321337	1569129	303	No intervention
2021-09-03	1439858	1318512	1573375	322	No intervention
2021-09-04	1440222	1315485	1578550	364	No intervention
2021-09-05	1440700	1312905	1583657	478	No intervention
2021-09-06	1441205	1310404	1589005	505	No intervention
2021-09-07	1441892	1307827	1595334	687	No intervention
2021-09-08	1442696	1305509	1600919	804	No intervention
2021-09-09	1443525	1302843	1606739	829	No intervention
2021-09-10	1444532	1300941	1614289	1007	No intervention
2021-09-11	1445756	1298179	1621211	1224	No intervention
2021-09-12	1447155	1295789	1628677	1399	No intervention
2021-09-13	1448743	1293908	1637649	1588	No intervention
2021-09-14	1450588	1291841	1647301	1845	No intervention
2021-09-15	1452704	1289366	1656922	2116	No intervention
2021-09-16	1455131	1287160	1667973	2427	No intervention
2021-09-17	1457742	1284684	1680421	2611	No intervention
2021-09-18	1460788	1283092	1694084	3046	No intervention
2021-09-19	1464095	1280863	1708825	3307	No intervention
2021-09-20	1467830	1278908	1725997	3735	No intervention
2021-09-21	1471955	1276598	1744109	4125	No intervention
2021-09-22	1476444	1274969	1765713	4489	No intervention
2021-09-23	1481325	1273082	1789399	4881	No intervention
2021-09-24	1486637	1271253	1815001	5312	No intervention
2021-09-25	1492314	1269505	1841498	5677	No intervention
2021-09-26	1498517	1267988	1875758	6203	No intervention
2021-09-27	1505065	1265654	1912516	6548	No intervention
2021-09-28	1512169	1263899	1953808	7104	No intervention
2021-09-29	1519643	1262359	2001670	7474	No intervention
2021-09-30	1527510	1260636	2056949	7867	No intervention
2021-10-01	1535796	1258724	2118466	8286	No intervention
2021-10-02	1544499	1257031	2193941	8703	No intervention
2021-10-03	1553626	1255371	2279693	9127	No intervention
2021-10-04	1563156	1253481	2373122	9530	No intervention
2021-10-05	1573119	1251976	2481041	9963	No intervention
2021-10-06	1583515	1250066	2601463	10396	No intervention
2021-10-07	1594129	1248651	2728601	10614	No intervention
2021-10-08	1605166	1247365	2871722	11037	No intervention
2021-10-09	1616532	1245536	3023935	11366	No intervention
2021-10-10	1628242	1244483	3188266	11710	No intervention
2021-10-11	1640316	1242232	3361832	12074	No intervention
2021-10-12	1652708	1241327	3551677	12392	No intervention
2021-10-13	1665383	1239412	3753619	12675	No intervention
2021-10-14	1678326	1238126	3967152	12943	No intervention
2021-10-15	1691592	1236661	4179642	13266	No intervention
2021-10-16	1705089	1234937	4418321	13497	No intervention
2021-10-17	1718907	1233561	4663998	13818	No intervention
2021-10-18	1732930	1232036	4928777	14023	No intervention
2021-10-19	1747152	1230860	5213523	14222	No intervention
2021-10-20	1761567	1229451	5504522	14415	No intervention
2021-10-21	1776187	1227806	5777575	14620	No intervention
2021-10-22	1790972	1225161	6074534	14785	No intervention
2021-10-23	1805920	1224516	6390653	14948	No intervention
2021-10-24	1821074	1223360	6700975	15154	No intervention
2021-10-25	1836271	1221770	7021632	15197	No intervention
2021-10-26	1851585	1220708	7339843	15314	No intervention
2021-10-27	1867011	1219274	7671148	15426	No intervention
2021-10-28	1882480	1218009	8005598	15469	No intervention
2021-10-29	1898095	1217143	8338275	15615	No intervention
2021-10-30	1913743	1215745	8646436	15648	No intervention
2021-10-31	1929420	1213466	8963915	15677	No intervention
2021-11-01	1945161	1212465	9275633	15741	No intervention
2021-11-02	1960940	1211020	9567718	15779	No intervention
2021-11-03	1976803	1209388	9884448	15863	No intervention
2021-11-04	1992689	1208968	10173612	15886	No intervention
2021-11-05	2008610	1206700	10469205	15921	No intervention
2021-11-06	2024530	1205752	10751001	15920	No intervention
2021-11-07	2040296	1204611	11032321	15766	No intervention
2021-11-08	2056130	1203414	11310469	15834	No intervention
2021-11-09	2071962	1201650	11587966	15832	No intervention
2021-11-10	2087814	1201496	11823353	15852	No intervention
2021-11-11	2103607	1199144	12068059	15793	No intervention
2021-11-12	2119306	1198141	12276209	15699	No intervention
2021-11-13	2134974	1197063	12496279	15668	No intervention
2021-11-14	2150560	1195785	12701303	15586	No intervention
2021-11-15	2166175	1195010	12891152	15615	No intervention
2021-11-16	2181669	1194418	13091778	15494	No intervention
2021-11-17	2197138	1191916	13273374	15469	No intervention
2021-11-18	2212569	1191342	13455029	15431	No intervention
2021-11-19	2227798	1189456	13634574	15229	No intervention
2021-11-20	2243007	1188348	13788987	15209	No intervention
2021-11-21	2258188	1187862	13924954	15181	No intervention
