date	value	lower_ci	upper_ci	incidence	scenario
2021-08-17	953845	871464	1036416	NA	No intervention
2021-08-18	953037	856274	1054170	-808	No intervention
2021-08-19	953220	851718	1066185	183	No intervention
2021-08-20	953530	845917	1067566	310	No intervention
2021-08-21	953440	834667	1087747	-90	No intervention
2021-08-22	953357	825380	1089893	-83	No intervention
2021-08-23	954214	817046	1108157	857	No intervention
2021-08-24	955686	812903	1109706	1472	No intervention
2021-08-25	955628	807517	1126928	-58	No intervention
2021-08-26	956435	805535	1134485	807	No intervention
2021-08-27	958126	799206	1142619	1691	No intervention
2021-08-28	959962	795370	1159431	1836	No intervention
2021-08-29	962966	788067	1177036	3004	No intervention
2021-08-30	966592	784757	1198419	3626	No intervention
2021-08-31	973012	773768	1217797	6420	No intervention
2021-09-01	981992	771319	1238125	8980	No intervention
2021-09-02	994626	759688	1268824	12634	No intervention
2021-09-03	1013762	760965	1324239	19136	No intervention
2021-09-04	1037620	752111	1376872	23858	No intervention
2021-09-05	1067174	749908	1435287	29554	No intervention
2021-09-06	1103809	735131	1511915	36635	No intervention
2021-09-07	1147528	746830	1582694	43719	No intervention
2021-09-08	1195914	737385	1711419	48386	No intervention
2021-09-09	1250945	736656	1909413	55031	No intervention
2021-09-10	1309422	729877	2190266	58477	No intervention
2021-09-11	1373880	729041	2438024	64458	No intervention
2021-09-12	1443181	724101	2869606	69301	No intervention
2021-09-13	1516630	723663	3439191	73449	No intervention
2021-09-14	1593876	722274	4174339	77246	No intervention
2021-09-15	1673397	713950	4906509	79521	No intervention
2021-09-16	1756827	710476	6007592	83430	No intervention
2021-09-17	1843843	707388	6686599	87016	No intervention
2021-09-18	1932265	703350	7911776	88422	No intervention
2021-09-19	2023006	703054	9276652	90741	No intervention
2021-09-20	2113316	700980	10341833	90310	No intervention
2021-09-21	2205333	697133	11943987	92017	No intervention
2021-09-22	2297457	691218	14239761	92124	No intervention
2021-09-23	2388205	694727	16696196	90748	No intervention
2021-09-24	2481027	692485	19934973	92822	No intervention
2021-09-25	2571421	680744	23601315	90394	No intervention
2021-09-26	2662713	682714	26534844	91292	No intervention
2021-09-27	2754166	680526	29757784	91453	No intervention
2021-09-28	2846353	679200	31549400	92187	No intervention
2021-09-29	2936898	672520	33371585	90545	No intervention
2021-09-30	3025950	669908	35436567	89052	No intervention
2021-10-01	3114481	674732	39559832	88531	No intervention
2021-10-02	3202005	675216	41911313	87524	No intervention
2021-10-03	3287407	659228	43089172	85402	No intervention
2021-10-04	3372163	660489	44938291	84756	No intervention
2021-10-05	3457230	670548	46835651	85067	No intervention
2021-10-06	3539241	658185	48505564	82011	No intervention
2021-10-07	3620242	663389	50380925	81001	No intervention
2021-10-08	3699966	650432	51769963	79724	No intervention
2021-10-09	3780153	649212	53813424	80187	No intervention
2021-10-10	3860111	647932	55518651	79958	No intervention
2021-10-11	3937267	635286	56656910	77156	No intervention
2021-10-12	4014315	623510	58357310	77048	No intervention
2021-10-13	4090895	639357	59769324	76580	No intervention
2021-10-14	4166306	636983	60859524	75411	No intervention
2021-10-15	4238894	625702	61326707	72588	No intervention
2021-10-16	4313192	627120	62119191	74298	No intervention
2021-10-17	4386137	626951	63457478	72945	No intervention
2021-10-18	4457370	626736	63885688	71233	No intervention
2021-10-19	4526504	624476	64834832	69134	No intervention
2021-10-20	4594140	620638	65862802	67636	No intervention
2021-10-21	4660486	623907	66724878	66346	No intervention
2021-10-22	4726810	622153	66383368	66324	No intervention
2021-10-23	4790456	626168	66401228	63646	No intervention
2021-10-24	4853194	613120	66594489	62738	No intervention
2021-10-25	4914701	613162	66266928	61507	No intervention
2021-10-26	4974249	614578	66738688	59548	No intervention
2021-10-27	5034165	599235	67171534	59916	No intervention
2021-10-28	5092093	607116	67858419	57928	No intervention
2021-10-29	5148900	607359	68405679	56807	No intervention
2021-10-30	5204727	609682	68070953	55827	No intervention
2021-10-31	5258598	602458	67856459	53871	No intervention
2021-11-01	5312153	600797	68065844	53555	No intervention
2021-11-02	5362810	600611	68310367	50657	No intervention
2021-11-03	5412746	597163	68122988	49936	No intervention
2021-11-04	5462274	594680	68183782	49528	No intervention
2021-11-05	5511071	588141	68687487	48797	No intervention
2021-11-06	5558208	592830	68582963	47137	No intervention
2021-11-07	5604939	587139	69043835	46731	No intervention
2021-11-08	5652091	581318	69422874	47152	No intervention
2021-11-09	5696645	579417	69634343	44554	No intervention
2021-11-10	5741217	570577	69470888	44572	No intervention
2021-11-11	5785501	578073	69338596	44284	No intervention
2021-11-12	5829214	568032	69031033	43713	No intervention
2021-11-13	5872193	564199	68841052	42979	No intervention
2021-11-14	5915752	565009	68750505	43559	No intervention
2021-11-15	5956574	562680	68530159	40822	No intervention
2021-11-16	5998616	552866	68575033	42042	No intervention
2021-11-17	6038034	548219	68922873	39418	No intervention
2021-11-18	6078702	559324	69083519	40668	No intervention
2021-11-19	6118117	552776	69171909	39415	No intervention
2021-11-20	6157463	551574	69281786	39346	No intervention
2021-11-21	6194334	560421	69289684	36871	No intervention
2021-11-22	6231243	562752	69283883	36909	No intervention
2021-11-23	6267988	557096	69076152	36745	No intervention
2021-11-24	6302991	554862	69077296	35003	No intervention
2021-11-25	6339068	555826	69052502	36077	No intervention
2021-11-26	6373126	547079	68806096	34058	No intervention
2021-11-27	6407173	552621	68814906	34047	No intervention
2021-11-28	6440158	538999	68585838	32985	No intervention
2021-11-29	6472964	556929	69252725	32806	No intervention
2021-11-30	6503309	537784	69325033	30345	No intervention
2021-12-01	6533887	529918	68721949	30578	No intervention
2021-12-02	6563295	536772	68707516	29408	No intervention
2021-12-03	6592597	539028	68741135	29302	No intervention
2021-12-04	6621035	532009	68300377	28438	No intervention
2021-12-05	6648184	532991	68390149	27149	No intervention
2021-12-06	6675588	539440	68307838	27404	No intervention
2021-12-07	6702349	534605	68481347	26761	No intervention
2021-12-08	6728036	514704	68448359	25687	No intervention
2021-12-09	6753139	525758	68397894	25103	No intervention
2021-12-10	6778484	522870	68567917	25345	No intervention
2021-12-11	6800572	516108	68676335	22088	No intervention
2021-12-12	6824252	515056	68621474	23680	No intervention
2021-12-13	6847357	524525	68549511	23105	No intervention
2021-12-14	6871356	517140	68426117	23999	No intervention
2021-12-15	6893770	521920	68382562	22414	No intervention
2021-12-16	6915570	523428	68462822	21800	No intervention
2021-12-17	6936332	515579	68392622	20762	No intervention
2021-12-18	6957417	518637	68449740	21085	No intervention
2021-12-19	6977864	519588	68628626	20447	No intervention
2021-12-20	6998075	506778	68306941	20211	No intervention
2021-12-21	7018558	518707	68738214	20483	No intervention
2021-12-22	7037974	512554	68867665	19416	No intervention
2021-12-23	7056007	509103	69375823	18033	No intervention
2021-12-24	7074878	504825	69261406	18871	No intervention
2021-12-25	7093055	515961	69229515	18177	No intervention
2021-12-26	7111720	501786	69261245	18665	No intervention
2021-12-27	7129578	505698	69254361	17858	No intervention
2021-12-28	7147669	489423	69285883	18091	No intervention
2021-12-29	7165252	509413	69308552	17583	No intervention
2021-12-30	7182390	503290	69178391	17138	No intervention
2021-12-31	7200229	502218	68978016	17839	No intervention
2022-01-01	7215186	488253	68944717	14957	No intervention
2022-01-02	7230815	489314	68994915	15629	No intervention
2022-01-03	7247058	497370	69132345	16243	No intervention
2022-01-04	7261948	496383	69292284	14890	No intervention
2022-01-05	7277309	483211	69242685	15361	No intervention
2022-01-06	7293391	481234	68935082	16082	No intervention
2022-01-07	7309765	485478	68772027	16374	No intervention
2022-01-08	7323863	474328	68883977	14098	No intervention
2022-01-09	7337920	487585	68512287	14057	No intervention
2022-01-10	7352754	479857	68309898	14834	No intervention
2022-01-11	7366137	480664	68245989	13383	No intervention
2022-01-12	7379693	476742	68137501	13556	No intervention
2022-01-13	7393202	475314	68237908	13509	No intervention
2022-01-14	7406204	474789	68237304	13002	No intervention
2022-01-15	7419548	460523	68334415	13344	No intervention
2022-01-16	7431551	447812	68057348	12003	No intervention
2022-01-17	7444711	472408	68147108	13160	No intervention
2022-01-18	7457534	456409	67824039	12823	No intervention
2022-01-19	7469586	463331	67837530	12052	No intervention
2022-01-20	7482411	453794	68118750	12825	No intervention
2022-01-21	7495207	453668	68010552	12796	No intervention
2022-01-22	7507933	453840	68036500	12726	No intervention
2022-01-23	7520458	451491	67909717	12525	No intervention
2022-01-24	7532379	456484	67686333	11921	No intervention
2022-01-25	7543881	443582	67620787	11502	No intervention
2022-01-26	7555257	450205	67832346	11376	No intervention
2022-01-27	7567728	449358	67765220	12471	No intervention
2022-01-28	7579712	455714	67671196	11984	No intervention
2022-01-29	7589923	444357	67590347	10211	No intervention
2022-01-30	7600868	448132	67554537	10945	No intervention
2022-01-31	7610835	458798	67466361	9967	No intervention
2022-02-01	7621661	450388	67325061	10826	No intervention
2022-02-02	7631071	443464	67409767	9410	No intervention
2022-02-03	7640325	443475	67280152	9254	No intervention
2022-02-04	7649838	431654	67172386	9513	No intervention
2022-02-05	7660740	423538	67119286	10902	No intervention
2022-02-06	7670847	436045	67088734	10107	No intervention
2022-02-07	7680594	439222	67059745	9747	No intervention
2022-02-08	7690578	430281	66914906	9984	No intervention
