date	value	lower_ci	upper_ci	incidence	scenario
2021-08-17	343147	321808	365997	NA	No intervention
2021-08-18	343462	319462	368162	315	No intervention
2021-08-19	343850	316821	373486	388	No intervention
2021-08-20	344184	314801	376107	334	No intervention
2021-08-21	344508	312972	379004	324	No intervention
2021-08-22	344900	309169	382283	392	No intervention
2021-08-23	345355	308938	387539	455	No intervention
2021-08-24	345849	305421	389031	494	No intervention
2021-08-25	346126	304368	392006	277	No intervention
2021-08-26	346471	302750	393717	345	No intervention
2021-08-27	346905	300422	394868	434	No intervention
2021-08-28	347388	300426	400184	483	No intervention
2021-08-29	348040	298374	402999	652	No intervention
2021-08-30	348434	297037	406234	394	No intervention
2021-08-31	348920	296357	409008	486	No intervention
2021-09-01	349725	296944	410152	805	No intervention
2021-09-02	350318	296671	412643	593	No intervention
2021-09-03	350597	294561	415680	279	No intervention
2021-09-04	351208	294164	417760	611	No intervention
2021-09-05	351730	294948	419833	522	No intervention
2021-09-06	352280	293149	422277	550	No intervention
2021-09-07	352715	293102	427544	435	No intervention
2021-09-08	353105	291952	431264	390	No intervention
2021-09-09	353430	291318	432590	325	No intervention
2021-09-10	353933	291391	433827	503	No intervention
2021-09-11	354786	287985	440440	853	No intervention
2021-09-12	355449	286732	439447	663	No intervention
2021-09-13	355825	287578	445623	376	No intervention
2021-09-14	356397	288180	446646	572	No intervention
2021-09-15	356905	286921	448958	508	No intervention
2021-09-16	357448	285382	451964	543	No intervention
2021-09-17	358102	282290	456314	654	No intervention
2021-09-18	358652	282593	456715	550	No intervention
2021-09-19	359237	281626	457133	585	No intervention
2021-09-20	359901	279666	463931	664	No intervention
2021-09-21	360723	283341	469069	822	No intervention
2021-09-22	361624	280760	476522	901	No intervention
2021-09-23	362245	278987	477207	621	No intervention
2021-09-24	362982	278052	479404	737	No intervention
2021-09-25	363584	276128	484375	602	No intervention
2021-09-26	364550	275557	491159	966	No intervention
2021-09-27	365275	276300	496362	725	No intervention
2021-09-28	366197	275119	496938	922	No intervention
2021-09-29	367362	275940	505139	1165	No intervention
2021-09-30	367944	276309	506487	582	No intervention
2021-10-01	368854	273374	512023	910	No intervention
2021-10-02	369941	275762	516576	1087	No intervention
2021-10-03	370957	274574	519478	1016	No intervention
2021-10-04	371985	275678	526462	1028	No intervention
2021-10-05	372968	275036	536499	983	No intervention
2021-10-06	373975	272463	542132	1007	No intervention
2021-10-07	375188	273412	549148	1213	No intervention
2021-10-08	376459	272124	551115	1271	No intervention
2021-10-09	377653	270242	559877	1194	No intervention
2021-10-10	378808	271068	571488	1155	No intervention
2021-10-11	380493	270256	581045	1685	No intervention
2021-10-12	382148	270834	585184	1655	No intervention
2021-10-13	383257	270673	600258	1109	No intervention
2021-10-14	384721	269443	603705	1464	No intervention
2021-10-15	385982	269898	616542	1261	No intervention
2021-10-16	387255	269629	626777	1273	No intervention
2021-10-17	388807	268524	631461	1552	No intervention
2021-10-18	390376	268736	648556	1569	No intervention
2021-10-19	392112	270545	666209	1736	No intervention
2021-10-20	393822	267794	672972	1710	No intervention
2021-10-21	395543	267513	677941	1721	No intervention
2021-10-22	397358	264520	696122	1815	No intervention
2021-10-23	398990	264371	701499	1632	No intervention
2021-10-24	400746	268158	734815	1756	No intervention
2021-10-25	402633	265802	734104	1887	No intervention
2021-10-26	404705	263976	742545	2072	No intervention
2021-10-27	406812	263148	762658	2107	No intervention
2021-10-28	409109	263180	785753	2297	No intervention
2021-10-29	411135	264344	798528	2026	No intervention
2021-10-30	413396	262762	817774	2261	No intervention
2021-10-31	415829	264022	839254	2433	No intervention
2021-11-01	418105	263938	862272	2276	No intervention
2021-11-02	420633	262745	876552	2528	No intervention
2021-11-03	423029	260696	896940	2396	No intervention
2021-11-04	425796	259288	911823	2767	No intervention
2021-11-05	428377	258299	939009	2581	No intervention
