date	value	lower_ci	upper_ci	incidence	scenario
2021-08-17	347698	312965	385259	NA	No intervention
2021-08-18	347744	308485	390735	46	No intervention
2021-08-19	347832	304227	395930	88	No intervention
2021-08-20	347937	300427	400895	105	No intervention
2021-08-21	348056	296846	405711	119	No intervention
2021-08-22	348225	293961	410055	169	No intervention
2021-08-23	348411	290446	414540	186	No intervention
2021-08-24	348650	288057	419614	239	No intervention
2021-08-25	348953	285423	423736	303	No intervention
2021-08-26	349329	282958	428846	376	No intervention
2021-08-27	349911	280408	434781	582	No intervention
2021-08-28	350673	278250	440844	762	No intervention
2021-08-29	351766	276218	448407	1093	No intervention
2021-08-30	353206	273851	456847	1440	No intervention
2021-08-31	355237	271488	466142	2031	No intervention
2021-09-01	358010	269784	477638	2773	No intervention
2021-09-02	361704	267385	491244	3694	No intervention
2021-09-03	366529	265576	507854	4825	No intervention
2021-09-04	372723	264020	527133	6194	No intervention
2021-09-05	380555	262363	551293	7832	No intervention
2021-09-06	390256	260578	580800	9701	No intervention
2021-09-07	402095	259137	616175	11839	No intervention
2021-09-08	416182	257599	661032	14087	No intervention
2021-09-09	432611	256071	719074	16429	No intervention
2021-09-10	451455	254322	791993	18844	No intervention
2021-09-11	472730	252528	889622	21275	No intervention
2021-09-12	496484	251336	1016762	23754	No intervention
2021-09-13	522520	249922	1176483	26036	No intervention
2021-09-14	550891	248404	1371236	28371	No intervention
2021-09-15	581452	247042	1616883	30561	No intervention
2021-09-16	614116	245524	1914817	32664	No intervention
2021-09-17	648751	244309	2270413	34635	No intervention
2021-09-18	685236	242996	2684733	36485	No intervention
2021-09-19	723434	241829	3176134	38198	No intervention
2021-09-20	763195	240430	3750482	39761	No intervention
2021-09-21	804359	238971	4417417	41164	No intervention
2021-09-22	846678	237579	5113294	42319	No intervention
2021-09-23	890127	236440	5940751	43449	No intervention
2021-09-24	934574	235038	6804712	44447	No intervention
2021-09-25	979802	234014	7699955	45228	No intervention
2021-09-26	1025703	232309	8683148	45901	No intervention
2021-09-27	1072089	231427	9776985	46386	No intervention
2021-09-28	1118926	230112	10893773	46837	No intervention
2021-09-29	1166004	229240	12014538	47078	No intervention
2021-09-30	1213275	228231	13217463	47271	No intervention
2021-10-01	1260630	226981	14434720	47355	No intervention
2021-10-02	1308058	225845	15655864	47428	No intervention
2021-10-03	1355441	224861	16885729	47383	No intervention
2021-10-04	1402684	223538	18100754	47243	No intervention
2021-10-05	1449810	222743	19284562	47126	No intervention
2021-10-06	1496707	221518	20382976	46897	No intervention
2021-10-07	1543409	220419	21493386	46702	No intervention
2021-10-08	1589822	219626	22493836	46413	No intervention
2021-10-09	1635901	218552	23399701	46079	No intervention
2021-10-10	1681683	217569	24338868	45782	No intervention
2021-10-11	1727049	216245	25156650	45366	No intervention
2021-10-12	1772100	215239	25892764	45051	No intervention
2021-10-13	1816647	214329	26590177	44547	No intervention
2021-10-14	1860754	212907	27202172	44107	No intervention
2021-10-15	1904502	212088	27819019	43748	No intervention
2021-10-16	1947653	211230	28398153	43151	No intervention
2021-10-17	1990346	210694	28942622	42693	No intervention
2021-10-18	2032612	209676	29374467	42266	No intervention
2021-10-19	2074364	208664	29799850	41752	No intervention
2021-10-20	2115630	207849	30210070	41266	No intervention
2021-10-21	2156290	207190	30583729	40660	No intervention
2021-10-22	2196389	206021	30892329	40099	No intervention
2021-10-23	2235943	205465	31203913	39554	No intervention
2021-10-24	2274925	204439	31527826	38982	No intervention
2021-10-25	2313366	203417	31762710	38441	No intervention
2021-10-26	2351194	202884	32041967	37828	No intervention
2021-10-27	2388577	202012	32245824	37383	No intervention
2021-10-28	2425380	200601	32443844	36803	No intervention
2021-10-29	2461607	199892	32659211	36227	No intervention
2021-10-30	2497248	198759	32875275	35641	No intervention
2021-10-31	2532306	197887	33068570	35058	No intervention
2021-11-01	2566806	196750	33205895	34500	No intervention
2021-11-02	2600753	195837	33346239	33947	No intervention
2021-11-03	2634216	195262	33515973	33463	No intervention
2021-11-04	2667113	194042	33621958	32897	No intervention
2021-11-05	2699433	193261	33721297	32320	No intervention
2021-11-06	2731312	192826	33853414	31879	No intervention
2021-11-07	2762664	191722	33932650	31352	No intervention
2021-11-08	2793429	191031	34026540	30765	No intervention
2021-11-09	2823666	190247	34107724	30237	No intervention
2021-11-10	2853421	188974	34192907	29755	No intervention
2021-11-11	2882662	188172	34264393	29241	No intervention
2021-11-12	2911407	187908	34345691	28745	No intervention
2021-11-13	2939662	186755	34397674	28255	No intervention
2021-11-14	2967459	186278	34443622	27797	No intervention
2021-11-15	2994815	185451	34507071	27356	No intervention
2021-11-16	3021637	184638	34545385	26822	No intervention
2021-11-17	3048010	183304	34581380	26373	No intervention
2021-11-18	3074042	182995	34631038	26032	No intervention
2021-11-19	3099508	182039	34670770	25466	No intervention
2021-11-20	3124560	181658	34728568	25052	No intervention
2021-11-21	3149211	180678	34733181	24651	No intervention
2021-11-22	3173414	180197	34769562	24203	No intervention
2021-11-23	3197312	179032	34782366	23898	No intervention
2021-11-24	3220756	178618	34806223	23444	No intervention
2021-11-25	3243799	177776	34820746	23043	No intervention
2021-11-26	3266408	176940	34871488	22609	No intervention
2021-11-27	3288716	175893	34880302	22308	No intervention
2021-11-28	3310606	175642	34903684	21890	No intervention
2021-11-29	3332142	174641	34920599	21536	No intervention
2021-11-30	3353286	173850	34941955	21144	No intervention
2021-12-01	3374097	173440	34952950	20811	No intervention
2021-12-02	3394552	172533	34943534	20455	No intervention
2021-12-03	3414681	171780	34944068	20129	No intervention
2021-12-04	3434554	171031	34957679	19873	No intervention
2021-12-05	3454062	170301	34953030	19508	No intervention
2021-12-06	3473214	170134	34954357	19152	No intervention
2021-12-07	3492099	169298	34947528	18885	No intervention
2021-12-08	3510669	168654	34946177	18570	No intervention
2021-12-09	3528912	167773	34940291	18243	No intervention
2021-12-10	3546852	166898	34954061	17940	No intervention
2021-12-11	3564581	166997	34942665	17729	No intervention
2021-12-12	3581988	166112	34933925	17407	No intervention
2021-12-13	3599058	165638	34908583	17070	No intervention
2021-12-14	3615950	165085	34912391	16892	No intervention
2021-12-15	3632518	164564	34895469	16568	No intervention
2021-12-16	3648863	163972	34881403	16345	No intervention
2021-12-17	3664902	163197	34888778	16039	No intervention
2021-12-18	3680764	162455	34877627	15862	No intervention
2021-12-19	3696398	161916	34882237	15634	No intervention
2021-12-20	3711767	161272	34883510	15369	No intervention
2021-12-21	3726879	160616	34873094	15112	No intervention
2021-12-22	3741751	160192	34864591	14872	No intervention
2021-12-23	3756365	159132	34845935	14614	No intervention
2021-12-24	3770776	158850	34834077	14411	No intervention
2021-12-25	3784968	158084	34810957	14192	No intervention
2021-12-26	3798949	157712	34791104	13981	No intervention
2021-12-27	3812697	156774	34784816	13748	No intervention
2021-12-28	3826253	156690	34777138	13556	No intervention
2021-12-29	3839657	155522	34764515	13404	No intervention
2021-12-30	3852843	155205	34747629	13186	No intervention
2021-12-31	3865865	154059	34741560	13022	No intervention
2022-01-01	3878678	154115	34736471	12813	No intervention
2022-01-02	3891344	153239	34715834	12666	No intervention
2022-01-03	3903818	152821	34704153	12474	No intervention
2022-01-04	3916083	152447	34700160	12265	No intervention
2022-01-05	3928167	152006	34689538	12084	No intervention
2022-01-06	3940073	151368	34674256	11906	No intervention
2022-01-07	3951805	150622	34670552	11732	No intervention
2022-01-08	3963382	149998	34657127	11577	No intervention
