stat	value
thetaS_last_obs_p_mean	0.9625557
thetaI_last_obs_p_mean	0.002185618
thetaR_last_obs_p_mean	0.03525868
thetaS_last_obs_p_ci_low	0.9614769
thetaS_last_obs_p_ci_med	0.9625561
thetaS_last_obs_p_ci_up	0.9636313
thetaI_last_obs_p_ci_low	0.001923234
thetaI_last_obs_p_ci_med	0.002183429
thetaI_last_obs_p_ci_up	0.00246086
thetaR_last_obs_p_ci_low	0.03421345
thetaR_last_obs_p_ci_med	0.03525916
thetaR_last_obs_p_ci_up	0.03630836
R0_p_mean	0.8867651
R0_p_ci_low	0.5302312
R0_p_ci_med	0.8596149
R0_p_ci_up	1.469452
gamma_p_mean	0.07818121
gamma_p_ci_low	0.01310242
gamma_p_ci_med	0.07586761
gamma_p_ci_up	0.1598919
beta_p_mean	0.06744891
beta_p_ci_low	0.0133127
beta_p_ci_med	0.06276453
beta_p_ci_up	0.1476844
incidence_mean	0.05264062
incidence_ci_low	0.02619398
incidence_ci_median	0.04665918
incidence_ci_up	0.1202951
thetaI_tp1_mean	0.001591734
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01292515
thetaR_tp1_mean	0.05051202
thetaR_tp1_ci_low	0.02625962
thetaR_tp1_ci_med	0.04601301
thetaR_tp1_ci_up	0.1048298
Y_tp1_mean	0.001591289
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01291108
R_tp1_mean	0.05051423
R_tp1_ci_low	0.02622857
R_tp1_ci_med	0.0460246
R_tp1_ci_up	0.1047057
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.05101066
thetaR_max_ci_low	0.02598201
thetaR_max_ci_med	0.04617266
thetaR_max_ci_up	0.1087517
cumInf_mean	0.05264062
cumInf_ci_low	0.02619398
cumInf_ci_med	0.04665918
cumInf_ci_up	0.1202951
dthetaI_tp1_date	02/03/22
first_tp_mean	08/08/21
first_tp_ci_low	07/26/21
first_tp_ci_med	07/28/21
first_tp_ci_up	01/19/22
dthetaI_tp2_date	02/03/22
second_tp_mean	08/10/21
second_tp_ci_low	07/26/21
second_tp_ci_med	07/29/21
second_tp_ci_up	01/26/22
end_p_mean	01/04/22
end_p_ci_low	10/10/21
end_p_ci_med	01/25/22
end_p_ci_up	02/10/22
begin_str	07/26/2021
