stat	value
thetaS_last_obs_p_mean	0.9889996
thetaI_last_obs_p_mean	1.14864e-05
thetaR_last_obs_p_mean	0.01098895
thetaS_last_obs_p_ci_low	0.9884405
thetaS_last_obs_p_ci_med	0.9890008
thetaS_last_obs_p_ci_up	0.9895474
thetaI_last_obs_p_ci_low	9.780268e-07
thetaI_last_obs_p_ci_med	8.596825e-06
thetaI_last_obs_p_ci_up	3.88526e-05
thetaR_last_obs_p_ci_low	0.01044161
thetaR_last_obs_p_ci_med	0.01098798
thetaR_last_obs_p_ci_up	0.01154714
R0_p_mean	2.064506
R0_p_ci_low	0.7607987
R0_p_ci_med	1.875736
R0_p_ci_up	4.453093
gamma_p_mean	0.07917144
gamma_p_ci_low	0.008566769
gamma_p_ci_med	0.054939
gamma_p_ci_up	0.2927774
beta_p_mean	0.1546815
beta_p_ci_low	0.01257837
beta_p_ci_med	0.1065223
beta_p_ci_up	0.5581709
incidence_mean	0.1191564
incidence_ci_low	0.004089487
incidence_ci_median	0.01157653
incidence_ci_up	0.9597044
thetaI_tp1_mean	0.004364887
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.03422292
thetaR_tp1_mean	0.01678572
thetaR_tp1_ci_low	0.007835231
thetaR_tp1_ci_med	0.01111825
thetaR_tp1_ci_up	0.03415341
Y_tp1_mean	0.004365573
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.03411961
R_tp1_mean	0.01678712
R_tp1_ci_low	0.007772812
R_tp1_ci_med	0.01111834
R_tp1_ci_up	0.03418009
thetaI_tp2_mean	0.01073093
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0
thetaI_tp2_ci_up	0.1628657
thetaR_tp2_mean	0.05701531
thetaR_tp2_ci_low	0.006484141
thetaR_tp2_ci_med	0.01132712
thetaR_tp2_ci_up	0.8022261
Y_tp2_mean	0.01072914
Y_tp2_ci_low	0
Y_tp2_ci_med	0
Y_tp2_ci_up	0.1628758
R_tp2_mean	0.05701617
R_tp2_ci_low	0.006433659
R_tp2_ci_med	0.011329
R_tp2_ci_up	0.8024909
thetaR_max_mean	0.1144362
thetaR_max_ci_low	0.004088726
thetaR_max_ci_med	0.0115651
thetaR_max_ci_up	0.9520292
cumInf_mean	0.1191564
cumInf_ci_low	0.004089487
cumInf_ci_med	0.01157653
cumInf_ci_up	0.9597044
dthetaI_tp1_date	09/15/21
first_tp_mean	08/21/21
first_tp_ci_low	07/28/21
first_tp_ci_med	08/07/21
first_tp_ci_up	01/12/22
dthetaI_tp2_date	10/22/21
second_tp_mean	08/25/21
second_tp_ci_low	07/29/21
second_tp_ci_med	08/09/21
second_tp_ci_up	01/27/22
end_p_mean	09/17/21
end_p_ci_low	08/18/21
end_p_ci_med	08/22/21
end_p_ci_up	02/11/22
begin_str	07/27/2021
