stat	value
thetaS_last_obs_p_mean	0.9435931
thetaI_last_obs_p_mean	4.69703e-05
thetaR_last_obs_p_mean	0.05635998
thetaS_last_obs_p_ci_low	0.9421719
thetaS_last_obs_p_ci_med	0.9435941
thetaS_last_obs_p_ci_up	0.9449882
thetaI_last_obs_p_ci_low	1.398982e-05
thetaI_last_obs_p_ci_med	4.496372e-05
thetaI_last_obs_p_ci_up	9.142857e-05
thetaR_last_obs_p_ci_low	0.05496545
thetaR_last_obs_p_ci_med	0.05635895
thetaR_last_obs_p_ci_up	0.05777893
R0_p_mean	1.958673
R0_p_ci_low	0.7362516
R0_p_ci_med	1.776157
R0_p_ci_up	4.217134
gamma_p_mean	0.07051674
gamma_p_ci_low	0.008099028
gamma_p_ci_med	0.04934948
gamma_p_ci_up	0.2595174
beta_p_mean	0.1279864
beta_p_ci_low	0.01171745
beta_p_ci_med	0.09133723
beta_p_ci_up	0.4442577
incidence_mean	0.2181508
incidence_ci_low	0.03706927
incidence_ci_median	0.06123944
incidence_ci_up	0.9618715
thetaI_tp1_mean	0.007023983
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0902714
thetaR_tp1_mean	0.06634749
thetaR_tp1_ci_low	0.04686982
thetaR_tp1_ci_med	0.05714435
thetaR_tp1_ci_up	0.1508871
Y_tp1_mean	0.00702527
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.09036797
R_tp1_mean	0.06634782
R_tp1_ci_low	0.04673674
R_tp1_ci_med	0.05715022
R_tp1_ci_up	0.1507617
thetaI_tp2_mean	0.01672707
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0
thetaI_tp2_ci_up	0.1963797
thetaR_tp2_mean	0.1308677
thetaR_tp2_ci_low	0.04265369
thetaR_tp2_ci_med	0.05883933
thetaR_tp2_ci_up	0.8583129
Y_tp2_mean	0.01672851
Y_tp2_ci_low	0
Y_tp2_ci_med	0
Y_tp2_ci_up	0.1966212
R_tp2_mean	0.1308739
R_tp2_ci_low	0.0425559
R_tp2_ci_med	0.05884938
R_tp2_ci_up	0.8581156
thetaR_max_mean	0.2076944
thetaR_max_ci_low	0.03705186
thetaR_max_ci_med	0.06106955
thetaR_max_ci_up	0.9510048
cumInf_mean	0.2181508
cumInf_ci_low	0.03706927
cumInf_ci_med	0.06123944
cumInf_ci_up	0.9618715
dthetaI_tp1_date	09/24/21
first_tp_mean	09/08/21
first_tp_ci_low	08/01/21
first_tp_ci_med	08/12/21
first_tp_ci_up	02/16/22
dthetaI_tp2_date	11/12/21
second_tp_mean	09/15/21
second_tp_ci_low	08/03/21
second_tp_ci_med	08/14/21
second_tp_ci_up	02/16/22
end_p_mean	10/18/21
end_p_ci_low	08/19/21
end_p_ci_med	09/03/21
end_p_ci_up	02/16/22
begin_str	08/01/2021
