stat	value
thetaS_last_obs_p_mean	0.9740993
thetaI_last_obs_p_mean	0.0001124353
thetaR_last_obs_p_mean	0.02578828
thetaS_last_obs_p_ci_low	0.9729052
thetaS_last_obs_p_ci_med	0.9741029
thetaS_last_obs_p_ci_up	0.9752722
thetaI_last_obs_p_ci_low	4.64143e-05
thetaI_last_obs_p_ci_med	0.0001086057
thetaI_last_obs_p_ci_up	0.0002001807
thetaR_last_obs_p_ci_low	0.02461758
thetaR_last_obs_p_ci_med	0.02578483
thetaR_last_obs_p_ci_up	0.0269815
R0_p_mean	1.843973
R0_p_ci_low	0.702394
R0_p_ci_med	1.672424
R0_p_ci_up	3.969394
gamma_p_mean	0.06440963
gamma_p_ci_low	0.0075709
gamma_p_ci_med	0.04487522
gamma_p_ci_up	0.2371597
beta_p_mean	0.1079984
beta_p_ci_low	0.01085846
beta_p_ci_med	0.07817194
beta_p_ci_up	0.3703885
incidence_mean	0.2025414
incidence_ci_low	0.0102109
incidence_ci_median	0.03119638
incidence_ci_up	0.956217
thetaI_tp1_mean	0.007467889
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.09203526
thetaR_tp1_mean	0.0364486
thetaR_tp1_ci_low	0.01765182
thetaR_tp1_ci_med	0.02674816
thetaR_tp1_ci_up	0.128231
Y_tp1_mean	0.007468445
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.09189693
R_tp1_mean	0.03644735
R_tp1_ci_low	0.01751733
R_tp1_ci_med	0.02675742
R_tp1_ci_up	0.128273
thetaI_tp2_mean	0.01961794
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0
thetaI_tp2_ci_up	0.2101074
thetaR_tp2_mean	0.1141409
thetaR_tp2_ci_low	0.01373994
thetaR_tp2_ci_med	0.02888958
thetaR_tp2_ci_up	0.8575904
Y_tp2_mean	0.01961722
Y_tp2_ci_low	0
Y_tp2_ci_med	0
Y_tp2_ci_up	0.2099645
R_tp2_mean	0.1141398
R_tp2_ci_low	0.01369783
R_tp2_ci_med	0.02892034
R_tp2_ci_up	0.8574406
thetaR_max_mean	0.1881997
thetaR_max_ci_low	0.01019529
thetaR_max_ci_med	0.03093098
thetaR_max_ci_up	0.9404267
cumInf_mean	0.2025414
cumInf_ci_low	0.0102109
cumInf_ci_med	0.03119638
cumInf_ci_up	0.956217
dthetaI_tp1_date	09/27/21
first_tp_mean	09/19/21
first_tp_ci_low	08/07/21
first_tp_ci_med	08/15/21
first_tp_ci_up	02/22/22
dthetaI_tp2_date	11/28/21
second_tp_mean	09/28/21
second_tp_ci_low	08/09/21
second_tp_ci_med	08/22/21
second_tp_ci_up	02/22/22
end_p_mean	11/02/21
end_p_ci_low	08/20/21
end_p_ci_med	09/15/21
end_p_ci_up	02/22/22
begin_str	08/07/2021
