date	value	lower_ci	upper_ci	incidence	scenario
2021-08-17	29325	24861	34168	NA	No intervention
2021-08-18	29461	24293	35204	136	No intervention
2021-08-19	29603	23811	36138	142	No intervention
2021-08-20	29753	23376	37030	150	No intervention
2021-08-21	29911	22992	37949	158	No intervention
2021-08-22	30067	22648	38885	156	No intervention
2021-08-23	30233	22316	39756	166	No intervention
2021-08-24	30396	22007	40669	163	No intervention
2021-08-25	30570	21741	41593	174	No intervention
2021-08-26	30752	21495	42553	182	No intervention
2021-08-27	30942	21222	43509	190	No intervention
2021-08-28	31139	21020	44530	197	No intervention
2021-08-29	31346	20752	45614	207	No intervention
2021-08-30	31559	20548	46683	213	No intervention
2021-08-31	31787	20385	47819	228	No intervention
2021-09-01	32018	20186	49116	231	No intervention
2021-09-02	32263	20010	50337	245	No intervention
2021-09-03	32518	19833	51716	255	No intervention
2021-09-04	32788	19697	53119	270	No intervention
2021-09-05	33071	19513	54657	283	No intervention
2021-09-06	33368	19381	56263	297	No intervention
2021-09-07	33680	19250	57960	312	No intervention
2021-09-08	34012	19107	59920	332	No intervention
2021-09-09	34362	18969	61750	350	No intervention
2021-09-10	34725	18831	63863	363	No intervention
2021-09-11	35110	18712	66037	385	No intervention
2021-09-12	35517	18618	68443	407	No intervention
2021-09-13	35941	18510	71013	424	No intervention
2021-09-14	36394	18397	73627	453	No intervention
2021-09-15	36872	18312	76747	478	No intervention
2021-09-16	37377	18190	79750	505	No intervention
2021-09-17	37905	18091	83021	528	No intervention
2021-09-18	38465	18018	86655	560	No intervention
2021-09-19	39062	17925	90643	597	No intervention
2021-09-20	39681	17828	94676	619	No intervention
2021-09-21	40336	17755	98832	655	No intervention
2021-09-22	41020	17667	103837	684	No intervention
2021-09-23	41744	17558	108989	724	No intervention
2021-09-24	42501	17514	114421	757	No intervention
2021-09-25	43294	17445	120156	793	No intervention
2021-09-26	44129	17340	126322	835	No intervention
2021-09-27	44999	17288	133132	870	No intervention
2021-09-28	45910	17159	140384	911	No intervention
2021-09-29	46854	17114	147749	944	No intervention
2021-09-30	47851	17042	155415	997	No intervention
2021-10-01	48890	16944	163845	1039	No intervention
2021-10-02	49964	16882	172471	1074	No intervention
2021-10-03	51083	16855	182207	1119	No intervention
2021-10-04	52243	16735	192126	1160	No intervention
2021-10-05	53444	16661	202894	1201	No intervention
2021-10-06	54696	16620	213739	1252	No intervention
2021-10-07	55986	16570	224899	1290	No intervention
2021-10-08	57316	16487	237424	1330	No intervention
2021-10-09	58685	16442	249654	1369	No intervention
2021-10-10	60105	16400	263032	1420	No intervention
2021-10-11	61564	16274	277872	1459	No intervention
2021-10-12	63061	16182	291852	1497	No intervention
2021-10-13	64605	16159	307407	1544	No intervention
2021-10-14	66178	16033	322978	1573	No intervention
2021-10-15	67807	15989	339465	1629	No intervention
2021-10-16	69476	15990	356406	1669	No intervention
2021-10-17	71182	15873	374041	1706	No intervention
2021-10-18	72925	15823	392157	1743	No intervention
2021-10-19	74709	15823	411588	1784	No intervention
2021-10-20	76529	15710	430192	1820	No intervention
2021-10-21	78387	15680	450107	1858	No intervention
2021-10-22	80279	15637	470760	1892	No intervention
2021-10-23	82207	15567	490974	1928	No intervention
2021-10-24	84169	15534	513725	1962	No intervention
2021-10-25	86167	15470	535057	1998	No intervention
2021-10-26	88198	15415	556852	2031	No intervention
2021-10-27	90269	15324	579848	2071	No intervention
2021-10-28	92360	15304	603126	2091	No intervention
2021-10-29	94489	15247	624565	2129	No intervention
2021-10-30	96645	15166	648486	2156	No intervention
2021-10-31	98833	15114	672185	2188	No intervention
2021-11-01	101049	15120	697084	2216	No intervention
2021-11-02	103285	15027	721183	2236	No intervention
2021-11-03	105552	15009	745104	2267	No intervention
2021-11-04	107842	14983	770999	2290	No intervention
2021-11-05	110156	14920	795644	2314	No intervention
2021-11-06	112494	14809	822485	2338	No intervention
2021-11-07	114862	14757	847526	2368	No intervention
2021-11-08	117248	14692	872045	2386	No intervention
2021-11-09	119655	14674	897671	2407	No intervention
2021-11-10	122085	14561	922711	2430	No intervention
2021-11-11	124539	14521	947658	2454	No intervention
2021-11-12	127004	14469	970916	2465	No intervention
2021-11-13	129481	14441	995284	2477	No intervention
2021-11-14	131978	14368	1019231	2497	No intervention
2021-11-15	134488	14313	1044478	2510	No intervention
2021-11-16	137025	14280	1068103	2537	No intervention
2021-11-17	139566	14206	1092901	2541	No intervention
2021-11-18	142120	14169	1116439	2554	No intervention
2021-11-19	144688	14088	1139267	2568	No intervention
2021-11-20	147270	14055	1163021	2582	No intervention
2021-11-21	149871	13995	1187235	2601	No intervention
2021-11-22	152477	13931	1209581	2606	No intervention
2021-11-23	155102	13913	1232053	2625	No intervention
2021-11-24	157725	13859	1253971	2623	No intervention
2021-11-25	160361	13791	1275855	2636	No intervention
2021-11-26	162998	13754	1295570	2637	No intervention
2021-11-27	165656	13723	1316469	2658	No intervention
2021-11-28	168317	13636	1336699	2661	No intervention
2021-11-29	170965	13595	1355939	2648	No intervention
2021-11-30	173633	13576	1376783	2668	No intervention
2021-12-01	176309	13504	1397699	2676	No intervention
2021-12-02	178977	13446	1417347	2668	No intervention
2021-12-03	181647	13396	1435890	2670	No intervention
2021-12-04	184327	13382	1454662	2680	No intervention
2021-12-05	187013	13306	1473140	2686	No intervention
2021-12-06	189691	13253	1489288	2678	No intervention
2021-12-07	192382	13179	1505800	2691	No intervention
2021-12-08	195064	13123	1522877	2682	No intervention
2021-12-09	197749	13054	1536898	2685	No intervention
2021-12-10	200441	13064	1554096	2692	No intervention
2021-12-11	203127	13030	1568945	2686	No intervention
2021-12-12	205813	12951	1583198	2686	No intervention
2021-12-13	208490	12864	1599585	2677	No intervention
2021-12-14	211175	12833	1612717	2685	No intervention
2021-12-15	213858	12792	1627362	2683	No intervention
2021-12-16	216540	12755	1639918	2682	No intervention
2021-12-17	219216	12696	1652298	2676	No intervention
2021-12-18	221889	12682	1663433	2673	No intervention
2021-12-19	224551	12593	1675502	2662	No intervention
2021-12-20	227220	12543	1687506	2669	No intervention
2021-12-21	229882	12515	1699758	2662	No intervention
2021-12-22	232530	12504	1709899	2648	No intervention
2021-12-23	235180	12505	1721357	2650	No intervention
2021-12-24	237832	12475	1732738	2652	No intervention
2021-12-25	240471	12359	1744202	2639	No intervention
2021-12-26	243104	12296	1754099	2633	No intervention
2021-12-27	245735	12292	1765752	2631	No intervention
2021-12-28	248362	12236	1776042	2627	No intervention
2021-12-29	250979	12142	1786253	2617	No intervention
2021-12-30	253599	12128	1796077	2620	No intervention
2021-12-31	256200	12060	1806224	2601	No intervention
2022-01-01	258802	12030	1814327	2602	No intervention
2022-01-02	261390	12007	1824190	2588	No intervention
2022-01-03	263972	11959	1832854	2582	No intervention
2022-01-04	266540	11914	1841665	2568	No intervention
2022-01-05	269121	11894	1848293	2581	No intervention
2022-01-06	271678	11787	1855862	2557	No intervention
2022-01-07	274222	11725	1864906	2544	No intervention
2022-01-08	276764	11715	1872174	2542	No intervention
2022-01-09	279304	11664	1880655	2540	No intervention
2022-01-10	281827	11640	1887391	2523	No intervention
2022-01-11	284345	11547	1895157	2518	No intervention
2022-01-12	286856	11545	1903339	2511	No intervention
2022-01-13	289361	11446	1909354	2505	No intervention
2022-01-14	291854	11463	1915330	2493	No intervention
2022-01-15	294332	11391	1923276	2478	No intervention
2022-01-16	296807	11348	1929212	2475	No intervention
