stat	value
thetaS_last_obs_p_mean	0.9527972
thetaI_last_obs_p_mean	0.003991902
thetaR_last_obs_p_mean	0.04321093
thetaS_last_obs_p_ci_low	0.9510556
thetaS_last_obs_p_ci_med	0.9527976
thetaS_last_obs_p_ci_up	0.9545275
thetaI_last_obs_p_ci_low	0.003484692
thetaI_last_obs_p_ci_med	0.003983035
thetaI_last_obs_p_ci_up	0.004555286
thetaR_last_obs_p_ci_low	0.04155648
thetaR_last_obs_p_ci_med	0.04320992
thetaR_last_obs_p_ci_up	0.04488051
R0_p_mean	1.19266
R0_p_ci_low	0.5410359
R0_p_ci_med	1.073584
R0_p_ci_up	2.518842
gamma_p_mean	0.05210754
gamma_p_ci_low	0.006586408
gamma_p_ci_med	0.040324
gamma_p_ci_up	0.1578872
beta_p_mean	0.05398261
beta_p_ci_low	0.008399242
beta_p_ci_med	0.0443085
beta_p_ci_up	0.1531212
incidence_mean	0.1268707
incidence_ci_low	0.02984252
incidence_ci_median	0.07374822
incidence_ci_up	0.6021397
thetaI_tp1_mean	0.00940221
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.003250525
thetaI_tp1_ci_up	0.06169975
thetaR_tp1_mean	0.0672302
thetaR_tp1_ci_low	0.03282174
thetaR_tp1_ci_med	0.05789628
thetaR_tp1_ci_up	0.169469
Y_tp1_mean	0.009403735
Y_tp1_ci_low	0
Y_tp1_ci_med	0.003248099
Y_tp1_ci_up	0.06171553
R_tp1_mean	0.06723557
R_tp1_ci_low	0.03271926
R_tp1_ci_med	0.05790334
R_tp1_ci_up	0.1693192
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.110695
thetaR_max_ci_low	0.02895505
thetaR_max_ci_med	0.06952539
thetaR_max_ci_up	0.5087172
cumInf_mean	0.1268707
cumInf_ci_low	0.02984252
cumInf_ci_med	0.07374822
cumInf_ci_up	0.6021397
dthetaI_tp1_date	11/18/21
first_tp_mean	10/10/21
first_tp_ci_low	08/08/21
first_tp_ci_med	08/22/21
first_tp_ci_up	02/23/22
dthetaI_tp2_date	11/18/21
second_tp_mean	10/22/21
second_tp_ci_low	08/08/21
second_tp_ci_med	09/17/21
second_tp_ci_up	02/23/22
end_p_mean	01/28/22
end_p_ci_low	10/10/21
end_p_ci_med	02/23/22
end_p_ci_up	02/23/22
begin_str	08/08/2021
