date	value	incidence	scenario	lower_ci	upper_ci
2021-08-12	106701	NA	Observed	NA	NA
2021-08-13	107223	522	Observed	NA	NA
2021-08-14	107662	439	Observed	NA	NA
2021-08-15	108264	602	Observed	NA	NA
2021-08-16	108539	275	Observed	NA	NA
2021-08-17	109120	NA	No intervention	95756	123526
2021-08-18	109644	524	No intervention	93922	126975
2021-08-19	110202	558	No intervention	92404	130076
2021-08-20	110789	587	No intervention	91095	133332
2021-08-21	111401	612	No intervention	89995	136438
2021-08-22	112038	637	No intervention	88825	139898
2021-08-23	112715	677	No intervention	87968	143305
2021-08-24	113427	712	No intervention	87116	147067
2021-08-25	114170	743	No intervention	86169	150695
2021-08-26	114966	796	No intervention	85463	154802
2021-08-27	115800	834	No intervention	84692	159220
2021-08-28	116693	893	No intervention	83979	163901
2021-08-29	117646	953	No intervention	83354	169032
2021-08-30	118670	1024	No intervention	82819	174396
2021-08-31	119749	1079	No intervention	82107	180416
2021-09-01	120917	1168	No intervention	81608	186569
2021-09-02	122153	1236	No intervention	81079	193300
2021-09-03	123487	1334	No intervention	80612	200814
2021-09-04	124896	1409	No intervention	80027	209112
2021-09-05	126395	1499	No intervention	79509	217888
2021-09-06	128002	1607	No intervention	79111	227859
2021-09-07	129704	1702	No intervention	78582	238256
2021-09-08	131527	1823	No intervention	78272	249897
2021-09-09	133446	1919	No intervention	77887	263095
2021-09-10	135491	2045	No intervention	77544	277348
2021-09-11	137650	2159	No intervention	77096	292541
2021-09-12	139935	2285	No intervention	76772	309064
2021-09-13	142329	2394	No intervention	76368	326383
2021-09-14	144843	2514	No intervention	76027	345973
2021-09-15	147494	2651	No intervention	75694	366823
2021-09-16	150268	2774	No intervention	75580	389306
2021-09-17	153161	2893	No intervention	75107	413601
2021-09-18	156178	3017	No intervention	74772	439610
2021-09-19	159322	3144	No intervention	74592	467129
2021-09-20	162565	3243	No intervention	74263	495547
2021-09-21	165925	3360	No intervention	73985	527355
2021-09-22	169422	3497	No intervention	73949	558619
2021-09-23	173014	3592	No intervention	73685	592071
2021-09-24	176721	3707	No intervention	73452	628254
2021-09-25	180544	3823	No intervention	73223	667275
2021-09-26	184459	3915	No intervention	72909	704560
2021-09-27	188492	4033	No intervention	72844	743649
2021-09-28	192599	4107	No intervention	72614	783587
2021-09-29	196807	4208	No intervention	72466	825694
2021-09-30	201096	4289	No intervention	72275	869017
2021-10-01	205496	4400	No intervention	72033	913002
2021-10-02	209968	4472	No intervention	71760	957128
2021-10-03	214507	4539	No intervention	71600	1003828
2021-10-04	219121	4614	No intervention	71402	1046521
2021-10-05	223802	4681	No intervention	71174	1096911
2021-10-06	228566	4764	No intervention	71155	1145919
2021-10-07	233390	4824	No intervention	70859	1195677
2021-10-08	238283	4893	No intervention	70797	1244702
2021-10-09	243246	4963	No intervention	70654	1292387
2021-10-10	248237	4991	No intervention	70348	1342990
2021-10-11	253285	5048	No intervention	70303	1391849
2021-10-12	258371	5086	No intervention	69875	1439852
2021-10-13	263510	5139	No intervention	69861	1487456
2021-10-14	268694	5184	No intervention	69628	1537968
2021-10-15	273894	5200	No intervention	69632	1583975
2021-10-16	279146	5252	No intervention	69361	1629857
2021-10-17	284421	5275	No intervention	69304	1678112
2021-10-18	289724	5303	No intervention	68855	1723505
2021-10-19	295062	5338	No intervention	68842	1769223
2021-10-20	300426	5364	No intervention	68555	1815120
2021-10-21	305780	5354	No intervention	68501	1853359
2021-10-22	311167	5387	No intervention	68431	1897726
2021-10-23	316567	5400	No intervention	68343	1939646
2021-10-24	321983	5416	No intervention	68203	1982092
2021-10-25	327393	5410	No intervention	67957	2022975
2021-10-26	332826	5433	No intervention	67851	2062988
2021-10-27	338261	5435	No intervention	67500	2098425
2021-10-28	343717	5456	No intervention	67371	2134278
2021-10-29	349172	5455	No intervention	67306	2169852
2021-10-30	354627	5455	No intervention	67188	2205246
2021-10-31	360082	5455	No intervention	66946	2239012
2021-11-01	365543	5461	No intervention	66811	2272345
2021-11-02	370997	5454	No intervention	66679	2304544
2021-11-03	376473	5476	No intervention	66374	2334547
2021-11-04	381916	5443	No intervention	66210	2363224
2021-11-05	387359	5443	No intervention	66185	2390812
2021-11-06	392767	5408	No intervention	66014	2415581
2021-11-07	398185	5418	No intervention	65827	2439446
2021-11-08	403564	5379	No intervention	65562	2466953
2021-11-09	408963	5399	No intervention	65521	2490155
2021-11-10	414327	5364	No intervention	65580	2513004
2021-11-11	419694	5367	No intervention	65424	2532984
2021-11-12	425044	5350	No intervention	65387	2553069
2021-11-13	430390	5346	No intervention	65074	2574587
2021-11-14	435692	5302	No intervention	65060	2598428
2021-11-15	440966	5274	No intervention	64918	2617687
2021-11-16	446233	5267	No intervention	64741	2637038
2021-11-17	451488	5255	No intervention	64625	2656059
2021-11-18	456723	5235	No intervention	64417	2675691
2021-11-19	461924	5201	No intervention	64242	2696255
