date	value	lower_ci	upper_ci	incidence	scenario
2021-10-11	10539	9875	11196		No intervention
2021-10-12	10920	9856	13061	381	No intervention
2021-10-13	33792	10072	143544	22872	No intervention
2021-10-14	234478	10173	614803	200686	No intervention
2021-10-15	429524	10160	852539	195046	No intervention
2021-10-16	491122	10214	807686	61598	No intervention
2021-10-17	509999	10149	750417	18877	No intervention
2021-10-18	516042	10189	697708	6043	No intervention
2021-10-19	517664	10126	652212	1622	No intervention
2021-10-20	518180	10211	625767	516	No intervention
2021-10-21	518418	10182	609201	238	No intervention
2021-10-22	518505	10148	599817	87	No intervention
2021-10-23	518545	10081	593306	40	No intervention
2021-10-24	518568	10074	589513	23	No intervention
2021-10-25	518546	10073	587429	-22	No intervention
2021-10-26	518563	10070	586279	17	No intervention
2021-10-27	518554	10071	585423	-9	No intervention
2021-10-28	518556	10000	585015	2	No intervention
2021-10-29	518556	9991	584877	0	No intervention
2021-10-30	518517	10018	584821	-39	No intervention
2021-10-31	518520	10145	584834	3	No intervention
2021-11-01	518525	10119	584890	5	No intervention
2021-11-02	518522	10065	584909	-3	No intervention
2021-11-03	518520	10089	584930	-2	No intervention
2021-11-04	518523	10046	584951	3	No intervention
2021-11-05	518527	9960	584943	4	No intervention
2021-11-06	518512	9946	584987	-15	No intervention
2021-11-07	518516	9764	585028	4	No intervention
2021-11-08	518517	9795	585043	1	No intervention
2021-11-09	518518	9779	585003	1	No intervention
2021-11-10	518512	9766	585004	-6	No intervention
2021-11-11	518508	9789	584982	-4	No intervention
2021-11-12	518514	9730	585010	6	No intervention
2021-11-13	518515	9790	584958	1	No intervention
2021-11-14	518512	9751	584970	-3	No intervention
2021-11-15	518504	9771	585022	-8	No intervention
2021-11-16	518497	9766	584977	-7	No intervention
2021-11-17	518508	9683	585021	11	No intervention
2021-11-18	518506	9682	585015	-2	No intervention
2021-11-19	518507	9837	585015	1	No intervention
2021-11-20	518501	9765	584991	-6	No intervention
2021-11-21	518505	9703	584980	4	No intervention
2021-11-22	518518	9598	584956	13	No intervention
2021-11-23	518521	9713	585003	3	No intervention
2021-11-24	518518	9692	585039	-3	No intervention
2021-11-25	518524	9702	585007	6	No intervention
2021-11-26	518524	9646	585026	0	No intervention
2021-11-27	518530	9648	585031	6	No intervention
2021-11-28	518537	9634	585031	7	No intervention
2021-11-29	518535	9618	585057	-2	No intervention
2021-11-30	518527	9632	585017	-8	No intervention
2021-12-01	518525	9562	585058	-2	No intervention
2021-12-02	518529	9662	585065	4	No intervention
2021-12-03	518530	9496	585100	1	No intervention
2021-12-04	518532	9606	585093	2	No intervention
2021-12-05	518537	9554	585118	5	No intervention
2021-12-06	518535	9520	585085	-2	No intervention
2021-12-07	518538	9436	585093	3	No intervention
2021-12-08	518541	9530	585123	3	No intervention
2021-12-09	518548	9521	585091	7	No intervention
2021-12-10	518542	9576	585116	-6	No intervention
2021-12-11	518540	9533	585099	-2	No intervention
2021-12-12	518545	9486	585076	5	No intervention
2021-12-13	518541	9520	585122	-4	No intervention
2021-12-14	518544	9403	585126	3	No intervention
2021-12-15	518538	9340	585101	-6	No intervention
2021-12-16	518544	9328	585156	6	No intervention
2021-12-17	518546	9369	585130	2	No intervention
2021-12-18	518531	9252	585130	-15	No intervention
2021-12-19	518536	9490	585139	5	No intervention
2021-12-20	518534	9546	585124	-2	No intervention
2021-12-21	518537	9391	585175	3	No intervention
2021-12-22	518546	9547	585152	9	No intervention
2021-12-23	518545	9482	585196	-1	No intervention
2021-12-24	518545	9535	585152	0	No intervention
2021-12-25	518551	9566	585184	6	No intervention
2021-12-26	518547	9472	585156	-4	No intervention
2021-12-27	518536	9354	585152	-11	No intervention
2021-12-28	518542	9460	585181	6	No intervention
2021-12-29	518543	9508	585165	1	No intervention
2021-12-30	518541	9498	585200	-2	No intervention
2021-12-31	518535	9469	585185	-6	No intervention
