date	value	incidence	scenario	lower_ci	upper_ci
2021-08-28	656609	NA	Observed	NA	NA
2021-08-29	656866	257	Observed	NA	NA
2021-08-30	657206	340	Observed	NA	NA
2021-08-31	657544	338	Observed	NA	NA
2021-09-01	657866	322	Observed	NA	NA
2021-09-02	658179	313	Observed	NA	NA
2021-09-03	658497	318	Observed	NA	NA
2021-09-04	658803	306	Observed	NA	NA
2021-09-05	659033	230	Observed	NA	NA
2021-09-06	659334	301	Observed	NA	NA
2021-09-07	659632	298	Observed	NA	NA
2021-09-08	659961	329	Observed	NA	NA
2021-09-09	660276	315	Observed	NA	NA
2021-09-10	660496	220	Observed	NA	NA
2021-09-11	660792	296	Observed	NA	NA
2021-09-12	661041	249	Observed	NA	NA
2021-09-13	661356	315	Observed	NA	NA
2021-09-14	661692	336	Observed	NA	NA
2021-09-15	662016	324	Observed	NA	NA
2021-09-16	662275	259	Observed	NA	NA
2021-09-17	662516	241	Observed	NA	NA
2021-09-18	662771	255	Observed	NA	NA
2021-09-19	662944	173	Observed	NA	NA
2021-09-20	663152	208	Observed	NA	NA
2021-09-21	663396	244	Observed	NA	NA
2021-09-22	663654	258	Observed	NA	NA
2021-09-23	663901	247	Observed	NA	NA
2021-09-24	664140	239	Observed	NA	NA
2021-09-25	664388	248	Observed	NA	NA
2021-09-26	664558	170	Observed	NA	NA
2021-09-27	664774	216	Observed	NA	NA
2021-09-28	664994	220	Observed	NA	NA
2021-09-29	665239	245	Observed	NA	NA
2021-09-30	665453	214	Observed	NA	NA
2021-10-01	665673	220	Observed	NA	NA
2021-10-02	665874	201	Observed	NA	NA
2021-10-03	666036	162	Observed	NA	NA
2021-10-04	666243	207	Observed	NA	NA
2021-10-05	666461	218	Observed	NA	NA
2021-10-06	666648	187	Observed	NA	NA
2021-10-07	666824	176	Observed	NA	NA
2021-10-08	667025	201	Observed	NA	NA
2021-10-09	667215	190	Observed	NA	NA
2021-10-10	667377	162	Observed	NA	NA
2021-10-11	668084	NA	No intervention	627118	710042
2021-10-12	668595	511	No intervention	621629	719885
2021-10-13	668949	354	No intervention	615237	726344
2021-10-14	669509	560	No intervention	612609	733733
2021-10-15	669717	208	No intervention	608893	737526
2021-10-16	669662	-55	No intervention	605465	741697
2021-10-17	670368	706	No intervention	603020	748594
2021-10-18	670258	-110	No intervention	597897	750182
2021-10-19	670481	223	No intervention	596015	753206
2021-10-20	670896	415	No intervention	593794	760639
2021-10-21	671316	420	No intervention	591772	762164
2021-10-22	672152	836	No intervention	584554	767755
2021-10-23	672732	580	No intervention	581067	771958
2021-10-24	673342	610	No intervention	577397	777425
2021-10-25	674062	720	No intervention	575289	781304
2021-10-26	674332	270	No intervention	576955	782885
2021-10-27	675133	801	No intervention	571688	793295
2021-10-28	675407	274	No intervention	573771	791846
2021-10-29	675197	-210	No intervention	571794	799778
2021-10-30	675861	664	No intervention	565832	801789
2021-10-31	676162	301	No intervention	567554	803842
2021-11-01	676794	632	No intervention	560852	808672
2021-11-02	677469	675	No intervention	561861	811019
2021-11-03	678393	924	No intervention	560218	818413
2021-11-04	679313	920	No intervention	556944	820614
2021-11-05	679354	41	No intervention	556131	823886
2021-11-06	679924	570	No intervention	558139	831940
2021-11-07	680677	753	No intervention	552243	833358
2021-11-08	680928	251	No intervention	557715	838105
2021-11-09	681106	178	No intervention	550003	846029
2021-11-10	681439	333	No intervention	546665	848236
2021-11-11	681903	464	No intervention	546864	853760
2021-11-12	682702	799	No intervention	541405	857242
2021-11-13	683173	471	No intervention	539646	857347
2021-11-14	684043	870	No intervention	539250	866565
2021-11-15	684767	724	No intervention	539000	867622
2021-11-16	686052	1285	No intervention	533553	875375
2021-11-17	686257	205	No intervention	532865	878471
2021-11-18	687143	886	No intervention	531452	887411
2021-11-19	687812	669	No intervention	531095	892400
2021-11-20	688260	448	No intervention	530038	896905
2021-11-21	689076	816	No intervention	524798	900503
2021-11-22	690172	1096	No intervention	528565	911481
2021-11-23	691384	1212	No intervention	530419	914834
2021-11-24	692449	1065	No intervention	526390	919846
2021-11-25	693459	1010	No intervention	524466	923055
2021-11-26	694193	734	No intervention	521029	941655
2021-11-27	695233	1040	No intervention	519611	948301
2021-11-28	696353	1120	No intervention	515930	961977
2021-11-29	697636	1283	No intervention	514104	965215
2021-11-30	699134	1498	No intervention	515076	976562
2021-12-01	700382	1248	No intervention	518594	990374
2021-12-02	701917	1535	No intervention	517019	993557
2021-12-03	703395	1478	No intervention	514801	999613
2021-12-04	704715	1320	No intervention	513171	1017772
2021-12-05	706192	1477	No intervention	512565	1020533
2021-12-06	708035	1843	No intervention	509564	1040073
2021-12-07	710388	2353	No intervention	509947	1052273
2021-12-08	712158	1770	No intervention	511321	1060577
2021-12-09	714094	1936	No intervention	504657	1079787
2021-12-10	715885	1791	No intervention	503430	1098186
2021-12-11	717931	2046	No intervention	504569	1093420
2021-12-12	720467	2536	No intervention	503629	1115645
2021-12-13	723119	2652	No intervention	499861	1142201
2021-12-14	725777	2658	No intervention	500115	1144290
2021-12-15	728435	2658	No intervention	494822	1177316
2021-12-16	731504	3069	No intervention	495006	1200508
2021-12-17	734674	3170	No intervention	495173	1228156
2021-12-18	737475	2801	No intervention	492166	1237258
2021-12-19	740556	3081	No intervention	491197	1276860
2021-12-20	744372	3816	No intervention	491315	1305911
2021-12-21	748200	3828	No intervention	498244	1322918
2021-12-22	752182	3982	No intervention	495354	1351500
2021-12-23	756808	4626	No intervention	493984	1401541
2021-12-24	761562	4754	No intervention	494824	1438575
2021-12-25	765746	4184	No intervention	492355	1445520
2021-12-26	770757	5011	No intervention	487266	1503754
2021-12-27	775145	4388	No intervention	488122	1538010
2021-12-28	780247	5102	No intervention	488222	1581893
2021-12-29	785342	5095	No intervention	491448	1613067
2021-12-30	790767	5425	No intervention	488121	1691803
2021-12-31	796332	5565	No intervention	490712	1718773
2022-01-01	802385	6053	No intervention	488470	1770411
2022-01-02	808776	6391	No intervention	486144	1831802
2022-01-03	815114	6338	No intervention	479051	1882767
2022-01-04	821687	6573	No intervention	485970	1955993
2022-01-05	828766	7079	No intervention	489041	2011469
2022-01-06	836152	7386	No intervention	487304	2042441
2022-01-07	844075	7923	No intervention	490880	2120575
2022-01-08	851308	7233	No intervention	489528	2177724
2022-01-09	859918	8610	No intervention	489283	2249775
2022-01-10	868220	8302	No intervention	488506	2338018
2022-01-11	876843	8623	No intervention	483153	2433336
2022-01-12	885629	8786	No intervention	487033	2534392
2022-01-13	894691	9062	No intervention	481779	2583844
2022-01-14	904098	9407	No intervention	479656	2638873
2022-01-15	913713	9615	No intervention	483215	2712555
2022-01-16	923320	9607	No intervention	481262	2793643
2022-01-17	933514	10194	No intervention	480068	2895665
2022-01-18	944569	11055	No intervention	477396	3023665
2022-01-19	955757	11188	No intervention	472029	3098391
2022-01-20	966679	10922	No intervention	474020	3219871
2022-01-21	978023	11344	No intervention	475883	3353034
2022-01-22	989475	11452	No intervention	479532	3459531
2022-01-23	1000893	11418	No intervention	468576	3594753
2022-01-24	1013146	12253	No intervention	475151	3709856
2022-01-25	1025674	12528	No intervention	470551	3779009
2022-01-26	1038881	13207	No intervention	474417	3893697
2022-01-27	1052437	13556	No intervention	467688	3963234
2022-01-28	1065561	13124	No intervention	472735	4081826
2022-01-29	1079365	13804	No intervention	464365	4290356
2022-01-30	1092840	13475	No intervention	464957	4507006
2022-01-31	1106963	14123	No intervention	463624	4709306
2022-02-01	1120810	13847	No intervention	464968	4838958
2022-02-02	1135657	14847	No intervention	462704	4908920
2022-02-03	1150823	15166	No intervention	462866	5064911
2022-02-04	1166115	15292	No intervention	462539	5296886
2022-02-05	1181905	15790	No intervention	460916	5468476
2022-02-06	1197050	15145	No intervention	463970	5588680
2022-02-07	1212884	15834	No intervention	461494	5793534
2022-02-08	1229104	16220	No intervention	459672	5969971
2022-02-09	1245685	16581	No intervention	464136	6061660
2022-02-10	1262133	16448	No intervention	463425	6274239
2022-02-11	1279151	17018	No intervention	460477	6471854
2022-02-12	1296339	17188	No intervention	461439	6619330
2022-02-13	1313168	16829	No intervention	462064	6771931
2022-02-14	1331072	17904	No intervention	459186	7017755
2022-02-15	1348843	17771	No intervention	453781	7208250
2022-02-16	1366188	17345	No intervention	457928	7486742
2022-02-17	1383590	17402	No intervention	455076	7759058
2022-02-18	1402377	18787	No intervention	453590	7983023
2022-02-19	1421393	19016	No intervention	453482	8256525
2022-02-20	1439999	18606	No intervention	450883	8356121
2022-02-21	1458233	18234	No intervention	453215	8562810
2022-02-22	1476931	18698	No intervention	452223	8894956
2022-02-23	1496382	19451	No intervention	448751	9117463
2022-02-24	1515957	19575	No intervention	446294	9444264
2022-02-25	1535581	19624	No intervention	449616	9740278
2022-02-26	1555104	19523	No intervention	449653	10054488
2022-02-27	1575325	20221	No intervention	450848	10428046
2022-02-28	1595409	20084	No intervention	445775	10676751
2022-03-01	1615593	20184	No intervention	445403	11079501
2022-03-02	1636310	20717	No intervention	447108	11461893
2022-03-03	1657209	20899	No intervention	446279	11647600
2022-03-04	1678039	20830	No intervention	443971	11930085
2022-03-05	1698305	20266	No intervention	440759	12226148
2022-03-06	1719218	20913	No intervention	440507	12569596
2022-03-07	1740522	21304	No intervention	444270	12856973
2022-03-08	1762791	22269	No intervention	442865	13004479
2022-03-09	1784238	21447	No intervention	442357	13257619
2022-03-10	1805567	21329	No intervention	443686	13581839
2022-03-11	1827066	21499	No intervention	440815	13938417
2022-03-12	1848710	21644	No intervention	442929	14345597
2022-03-13	1870362	21652	No intervention	442396	14508185
2022-03-14	1892303	21941	No intervention	445987	14659173
2022-03-15	1914826	22523	No intervention	440477	15093033
